Scenario,Method,Community,TimeSlot,Data_Pload,Data_PloadFixed,Data_PdrShiftBase,Data_PdrShiftMax,Data_PdrCutEmax,Data_Hload,Data_HdrCutMax,Data_H2load,Data_H2drCutMax,Data_Ppv,Data_Pwind,Data_PcompFixed,Pgrid,Pch,Pdis,SOC_e,PpvUse,PpvCurt,PwindUse,PwindCurt,Pchp,Hchp,Fgas,Peb,Heb,Pelec,H2prod,H2cons_fc,Pfc,Pcomp,Hch,Hdis,SOC_th,H2ch,H2dis,SOC_h2,H2short,Hdump,PdrShift,PdrShiftDev,PdrCutE,HdrCut,H2drCut,PloadDR,HloadDR,H2loadDR,Qpv,Qwind,Qes,QinjLocal,PinjLocal,V,CarbonEmission_kg,CarbonQuota_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeWithCommunities_kg,CarbonUnusedAllowance_kg,Data_Emax,Data_SOC0_e,Data_EthMax,Data_SOC0_th,Data_EH2Max,Data_SOC0_h2
S4_DDRE_067,centralized,1,1,0.22,0.2024,0.0176,0.0552,0.0132,0.625,0.05,1.4,0.14,0,0,0,0,0,0.22,1.36842105263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,4.34210526315789,0,1.4,51.75,0,0,0.0176,0,0,0,0,0.22,0.625,1.4,0,0,0,0,0,0,0,0,0,0,0,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,2,0.2,0.184,0.016,0.052,0.012,0.61,0.0488,1.4,0.14,0,0,0,0.46311087184355,0,0,1.36842105263158,0,0,0,0,0,0,0,0,0,0.25299122292649,5.0598244585298,0,0,0.0101196489170596,0,0.61,3.7,10.7299122292649,7.0700877707351,55.4098244585298,0,0,0.016,0,0,0,0,0.2,0.61,1.4,0.279946744168636,0.279946744168636,0.279946744168636,0,0,0,500.159741591034,337.144714702104,0,0,163.01502688893,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,3,0.28,0.2576,0.0224,0.0648,0.0168,0.6,0.048,2.8,0.28,0,0,0,2.15742720514685,0.475759632272372,0,1.82039270329033,0,0,0,0,0,0,0,0.618556701030928,0.6,0.75299122292649,15.0598244585298,0,0,0.0301196489170596,0,0,3.7,15.0299122292649,2.7700877707351,67.6696489170596,0,0,0.0224,0,0,0,0,0.28,0.6,2.8,0.672014439469908,0.44,0.672014439469908,0,0,0,2330.0213815586,1570.60700534691,2359.41437621169,0,-1600,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,4,0.27,0.2484,0.0216,0.0632,0.0162,0.59,0.0472,2.8,0.28,0,0,0,2.15550466622186,0.237257243541447,0,2.04578708465471,0,0,0,0,0,0,0,0.608247422680412,0.59,1,20,0,0,0.04,0,0,3.7,17.5,0.300000000000001,84.8696489170596,0,0,0.0216,0,0,0,0,0.27,0.59,2.8,0.669820780476849,0.44,0.669820780476849,0,0,0,2327.94503951961,1569.20739700951,2358.7376425101,0,-1600,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,5,0.29,0.2668,0.0232,0.0664,0.0174,0.61,0.0488,3.15,0.315,0,0,0,1.67352165357224,0.878118858258204,0,2.88,0,0,0,0,0.36,0.462857142857143,1.02857142857143,0.151693667157585,0.147142857142857,0.68625877707351,13.7251755414702,0,0,0.0274503510829404,0,0,3.7,14.1875877707351,3.6124122292649,95.4448244585298,0,5.55111512312578e-17,0.0232,0,0,0,0,0.29,0.61,3.15,0.709364546931936,0.44,0.387954289552676,0,0,0,2151.77298814373,1608.60931305773,0,0,543.163675086,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,6,0.38,0.3496,0.0304,0.0808,0.0228,0.69,0.0552,3.5,0.35,0,0,0,0,0,0,2.88,0,0,0,0,0.573709128156451,0.737626021915436,1.63916893758986,0,0,0.18625877707351,3.7251755414702,0,0,0.00745035108294041,0.0476260219154365,0,3.74524472081966,0.225175541470201,0,95.67,0,0,0.0304,0,0,0,0,0.38,0.69,3.5,0.0751360352917521,0.0751360352917521,0.0751360352917521,0,0,0,548.799956363669,621.973283878825,0,0,-73.1733275151558,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,7,0.4,0.368,0.032,0.084,0.024,0.78,0.0624,4.2,0.42,0,0,0,0,0,0,2.88,0,0,0,0,0.606666666666667,0.78,1.73333333333333,0,0,0.198717948717949,3.97435897435897,0,0,0.00794871794871795,0,0,3.74524472081966,8.78717948717949,9.01282051282051,95.444358974359,0,1.11022302462516e-16,0.032,0,0,0,0,0.4,0.78,4.2,0.015475110438696,0.015475110438696,0.015475110438696,0,0,0,580.326552,657.7034256,0,0,-77.3768736,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,8,0.42,0.3864,0.0336,0.0872,0.0252,0.86,0.0688,4.9,0.49,0,0,0,0,0,0,2.88,0,0,0,0,0.668888888888889,0.86,1.91111111111111,0,0,0.239316239316239,4.78632478632478,0,0,0.00957264957264957,0,0,3.74524472081966,8.84316239316239,8.95683760683761,95.3306837606838,0,0,0.0336,0,0,0,0,0.42,0.86,4.9,0,0,0,0,0,0,639.847224,725.1601872,0,0,-85.3129631999999,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,9,0.5,0.46,0.04,0.1,0.03,0.83,0.0664,5.6,0.56,0.00599239400787654,0,0,0,0,0.0676188783290018,2.80882223333789,0.00599239400787654,0,0,0,0.645555555555555,0.83,1.84444444444444,0,0,0.210737334511956,4.21474669023911,0,0,0.00842949338047822,0,0,3.74524472081966,8.20737334511956,9.59262665488044,93.9454304509229,0,0,0.04,0,0,0,0,0.5,0.83,5.6,0,0,0,0,0,0,617.526972,699.8639016,0,0,-82.3369295999999,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,10,0.54,0.4968,0.0432,0.1064,0.0324,0.75,0.06,6.3,0.63,0.0348379390363361,0,0,0,0,0.140995555522764,2.6604058591034,0.0348379390363361,0,0,0,0.583333333333333,0.75,1.66666666666667,0,0,0.210737334511956,4.21474669023911,0,0,0.00842949338047822,0,0,3.74524472081966,7.85737334511956,9.94262665488045,91.860177141162,0,0,0.0432,0,0,0,0,0.54,0.75,6.3,0,0,0,0,0,0,558.0063,632.40714,0,0,-74.40084,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,11,0.6,0.552,0.048,0.116,0.036,0.68,0.0544,7,0.7,0.0874422949156675,0,0,0,0,0.202835644087877,2.44689465480038,0.0874422949156675,0,0,0,0.528888888888889,0.68,1.51111111111111,0,0,0.210737334511956,4.21474669023911,0,0,0.00842949338047822,0,0,3.74524472081966,7.50737334511956,10.2926266548804,89.0749238314011,0,0,0.048,0,0,0,0,0.6,0.68,7,0,0,0,0,0,0,505.925712,573.3824736,0,0,-67.4567616,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,12,0.58,0.5336,0.0464,0.1128,0.0348,0.64,0.0512,7,0.7,0.13138852070483,0,0,0,0,0.138889418298715,2.30069526711752,0.13138852070483,0,0,0,0.528888888888889,0.68,1.51111111111111,0,0,0.210737334511956,4.21474669023911,0,0,0.00842949338047822,0.04,0,3.78324472081966,7.50737334511956,10.2926266548804,86.2896705216402,0,0,0.0464,0,0,0,0,0.58,0.64,7,0,0,0,0,0,0,505.925712,573.3824736,0,0,-67.4567616,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,13,0.56,0.5152,0.0448,0.1096,0.0336,0.61,0.0488,7,0.7,0.189632909775573,0,0,0,0,0,2.30069526711752,0.189632909775573,0,0,0,0.670835402170075,0.862502659932954,1.91667257762879,0,0,0.288911838409277,5.77823676818555,0,0,0.0115564735363711,0.252502659932954,0,4.02312224775597,8.28911838409277,9.51088161590723,85.0679072898257,0,0,0.0448,0,0,0,0,0.56,0.61,7,0.0982999206004835,0.0982999206004835,0.0982999206004835,0,0,0,641.709224012461,727.270453880789,0,0,-85.5612298683281,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,14,0.55,0.506,0.044,0.108,0.033,0.6,0.048,7,0.7,0.181194466939334,0,0,0,0,0,2.30069526711752,0.181194466939334,0,0,0,0.670835402170075,0.862502659932954,1.91667257762879,0,0,0.290413335682124,5.80826671364248,0,0,0.011616533427285,0.262502659932954,0,4.27249977469228,8.30413335682124,9.49586664317876,83.8761740034682,0,0,0.044,0,0,0,0,0.55,0.6,7,0.231326807000145,0.231326807000145,0.231326807000145,0,0,0,641.709224012461,727.270453880789,0,0,-85.5612298683281,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,15,0.56,0.5152,0.0448,0.1096,0.0336,0.61,0.0488,6.65,0.665,0.152000537112096,0,0,0,0,0,2.30069526711752,0.152000537112096,0,0,0,0.710029331997313,0.912894855425117,2.02865523427804,0,0,0.290413335682124,5.80826671364248,0,0,0.011616533427285,0.302894855425117,0,4.56024988734614,8.47913335682124,9.32086664317876,83.0344407171107,0,0,0.0448,0,0,0,0,0.56,0.61,6.65,0.646738289656337,0.44,0.646738289656337,0,0,0,679.201440753073,769.761632853483,0,0,-90.5601921004097,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,16,0.6,0.552,0.048,0.116,0.036,0.64,0.0512,6.65,0.665,0.0656908618240412,0,0,0,0,0,2.30069526711752,0.0656908618240412,0,0,0,0.710029331997313,0.912894855425117,2.02865523427804,0,0,0.168961724828226,3.37923449656451,0,0,0.00675846899312903,0.272894855425117,0,4.8195,7.26461724828226,10.5353827517177,79.7636752136752,0,0,0.048,0,0,0,0,0.6,0.64,6.65,0.357361248549127,0.357361248549127,0.357361248549127,0,0,0,679.201440753073,769.761632853483,0,0,-90.5601921004097,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,17,0.68,0.6256,0.0544,0.1288,0.0408,0.7,0.056,6.3,0.63,0.0543394962383591,0,0,0,0,0.0112160593171966,2.28888888888889,0.0543394962383591,0,0,0,0.614444444444444,0.79,1.75555555555556,0,0,0,0,0,0,0,0.09,0,4.905,5.75,12.05,73.4636752136752,0,0,0.0544,0,0,0,0,0.68,0.7,6.3,0.000416569916473374,0.000416569916473374,0.000416569916473374,0,0,0,587.766636,666.1355208,0,0,-78.3688847999999,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,18,0.78,0.7176,0.0624,0.1448,0.0468,0.79,0.0632,5.95,0.595,0,0,0,0,0,0.165555555555556,2.11461988304094,0,0,0,0,0.614444444444444,0.79,1.75555555555556,0,0,0,0,0,0,0,0,0,4.905,5.925,11.875,67.5136752136752,0,0,0.0624,0,0,0,0,0.78,0.79,5.95,0.000416569916473374,0.000416569916473374,0.000416569916473374,0,0,0,587.766636,666.1355208,0,0,-78.3688848,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,19,0.86,0.7912,0.0688,0.1576,0.0516,0.87,0.0696,5.6,0.56,0,0,0,0,0,0.183333333333333,1.92163742690059,0,0,0,0,0.676666666666667,0.87,1.93333333333333,0,0,0,0,0,0,0,0,0,4.905,0,5.6,61.9136752136752,0,0,0.0688,0,0,0,0,0.86,0.87,5.6,0.00371191310513033,0.00371191310513033,0.00371191310513033,0,0,0,647.287308,733.5922824,0,0,-86.3049743999999,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,20,0.92,0.8464,0.0736,0.1672,0.0552,0.93,0.0744,4.9,0.49,0,0,0,0,0,0.196666666666667,1.71461988304094,0,0,0,0,0.723333333333333,0.93,2.06666666666667,0,0,0,0,0,0,0,0,0,4.905,6.45,11.35,57.0136752136752,0,-1.11022302462516e-16,0.0736,0,0,0,0,0.92,0.93,4.9,0,0,0,0,0,0,691.927812,784.1848536,0,0,-92.2570416,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,21,0.78,0.7176,0.0624,0.1448,0.0468,0.95,0.076,4.2,0.42,0,0,0,0,0,0.0411111111111113,1.67134502923977,0,0,0,0,0.738888888888889,0.95,2.11111111111111,0,0,0,0,0,0,0,0,0,4.905,0,4.2,52.8136752136752,0,0,0.0624,0,0,0,0,0.78,0.95,4.2,0,0,0,0,0,0,706.80798,801.049044,0,0,-94.2410639999999,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,22,0.76,0.6992,0.0608,0.1416,0.0456,0.89,0.0712,3.5,0.35,0,0,0,0,0,0.0677777777777778,1.6,0,0,0,0,0.692222222222222,0.89,1.97777777777778,0,0,0,0,0,0,0,0,0,4.905,7.15,10.65,49.3136752136752,0,0,0.0608,0,0,0,0,0.76,0.89,3.5,0,0,0,0,0,0,662.167476,750.4564728,0,0,-88.2889967999999,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,23,0.42,0.3864,0.0336,0.0872,0.0252,0.79,0.0632,3.15,0.315,0,0,0,0,0,0,1.6,0,0,0,0,0.614444444444444,0.79,1.75555555555556,0,0,0.186965811965812,3.73931623931624,0,0,0.00747863247863248,0,0,4.905,9.19465811965812,8.60534188034188,49.9029914529915,0,0,0.0336,0,0,0,0,0.42,0.79,3.15,0,0,0,0,0,0,587.766636,666.1355208,0,0,-78.3688848,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,1,24,0.3,0.276,0.024,0.068,0.018,0.69,0.0552,2.8,0.28,0,0,0,0,0,0,1.6,0,0,0,0,0.614444444444444,0.79,1.75555555555556,0,0,0.302350427350427,6.04700854700855,0,0,0.0120940170940171,0.1,0,5,10.5235042735043,7.27649572649573,53.15,0,0,0.024,0,0,0,0,0.3,0.69,2.8,0.135559475608671,0.135559475608671,0.135559475608671,0,0,0,587.766636,666.1355208,0,0,-78.3688847999999,0,3.2,1.6,10,5,106.3,53.15
S4_DDRE_067,centralized,2,1,0.85,0.748,0.102,0.224,0.034,1.45,0.087,4,0.32,0,1.91720847974891,0,0,0,0,2.4,0,0,1.91720847974891,0,0.75,0.964285714285714,2.14285714285714,0.863208479748914,0.837312225356447,0.8,16,0,0,0.032,0.438597939642161,0,8.70216804266005,12,0,83.25,0,0,0.224,0.122,0,0.087,0,0.972,1.363,4,0,0,0,0,0,0,717.436671428571,813.094894285714,0,0,-95.6582228571428,0,4.8,2.4,16.571,8.2855,142.5,71.25
S4_DDRE_067,centralized,2,2,0.82,0.7216,0.0984,0.2168,0.0328,1.42,0.0852,4,0.32,0,0.724363862649704,0,2.16617701036474,0,0,2.4,0,0,0.724363862649704,0,0.75,0.964285714285714,2.14285714285714,1.87014087301444,1.81403664682401,0.8,16,0,0,0.032,1.44352236110972,0,10.0735142857143,12,0,95.25,0,-4.44089209850063e-16,0.2168,0.1184,0,0.0852,0,0.9384,1.3348,4,0.688084184578171,0.688084184578171,0.688084184578171,0,0,0,3056.90784262249,2390.07175783124,1334.65280635107,0,-667.81672155982,0,4.8,2.4,16.571,8.2855,142.5,71.25
S4_DDRE_067,centralized,2,3,0.8,0.704,0.096,0.212,0.032,1.4,0.084,8,0.64,0,0.591472073272185,0,2.56308099847591,0.156553071748091,0,2.54872541816069,0,0,0.591472073272185,0,0.75,0.964285714285714,2.14285714285714,2,1.94,0.8,16,0,0,0.032,1.58828571428571,0,11.5823857142857,10.65,2.65,103.25,0,0,0.212,0.116,0,0.084,0,0.916,1.316,8,1.1334254339375,1.1334254339375,1.1334254339375,0,0,0,3485.56414978255,2679.01786117617,42.8426009311668,0,763.70368767521,0,4.8,2.4,16.571,8.2855,142.5,71.25
S4_DDRE_067,centralized,2,4,0.79,0.6952,0.0948,0.2096,0.0316,1.4,0.084,8,0.64,0,1.18057052514438,0,2.57034965265382,0.764120177798206,0,3.27463958706898,0,0,1.18057052514438,0,0.75,0.964285714285714,2.14285714285714,2,1.94,0.8,16,0,0,0.032,1.58828571428571,0,13.0912571428571,10.65,2.65,111.25,0,0,0.2096,0.1148,0,0.084,0,0.9048,1.316,8,1.13123177494444,1.13123177494444,1.13123177494444,0,0,0,3493.4142962947,2684.3094414177,49.5209346327633,0,759.58392024424,0,4.8,2.4,16.571,8.2855,142.5,71.25
S4_DDRE_067,centralized,2,5,0.82,0.7216,0.0984,0.2168,0.0328,1.42,0.0852,9,0.72,0,1.33569080352296,0,2.78508857850969,1.10037938203265,0,4.32,0,0,1.33569080352296,0,0.75,0.964285714285714,2.14285714285714,2,1.94,0.8,16,0,0,0.032,1.56948571428571,0,14.5822685714286,10.15,3.15,118.25,0,0,0.2168,0.1184,0,0.0852,0,0.9384,1.3348,9,1.29545320248558,1.29545320248558,0.865544478258218,0,0,0,3725.33233621904,2840.63937944077,0,0,884.692956778269,0,4.8,2.4,16.571,8.2855,142.5,71.25
S4_DDRE_067,centralized,2,6,0.92,0.8096,0.1104,0.2408,0.0368,1.48,0.0888,10,0.8,0,1.05471323086683,0,0.877686769133175,0,0,4.32,0,0,1.05471323086683,0,0.75,0.964285714285714,2.14285714285714,0.8,0.776,0.8,16,0,0,0.032,0.349085714285714,0,14.9139,9.65,3.65,124.25,0,0,0.2408,0.1304,0,0.0888,0,1.0504,1.3912,10,0.184677688357106,0.184677688357106,0.184677688357106,0,0,0,1665.3383820924,1452.05086221467,0,0,213.287519877735,0,4.8,2.4,16.571,8.2855,142.5,71.25
S4_DDRE_067,centralized,2,7,1.1,0.968,0.132,0.284,0.044,1.58,0.0948,12,0.96,0,0.712090785416607,0,0.469909214583394,0,0,4.32,0,0,0.712090785416607,0,0.75,0.964285714285714,2.14285714285714,0,0,0.8,16,0,0,0.032,0,0.520914285714286,14.3655691729323,4,0,128.25,0,0,0.132,0,0,0.0948,0,1.1,1.4852,12,0.0380364443211848,0.0380364443211848,0.0380364443211848,0,0,0,1224.93862317864,1155.18880250242,0,0,69.7498206762118,0,4.8,2.4,16.571,8.2855,142.5,71.25
S4_DDRE_067,centralized,2,8,1.32,1.1616,0.1584,0.3368,0.0528,1.68,0.1008,14,1.12,0,0.0780944930743787,0,0.174822652630712,0,0.521882854294909,3.77064962705799,0,0,0.0780944930743787,0,0.75,0.964285714285714,2.14285714285714,0,0,0.4,8,0,0,0.016,0,0.614914285714286,13.7182909774436,0,6,122.25,0,0,0,0.1584,0.0528,0.1008,0,1.1088,1.5792,14,0,0,0,0,0,0,906.24513626974,940.365785400873,0,0,-34.1206491311322,0,4.8,2.4,16.571,8.2855,142.5,71.25
S4_DDRE_067,centralized,2,9,1.48,1.3024,0.1776,0.3752,0.0592,1.76,0.1056,16,1.28,0.00681712403964437,0.124346866358332,0,0,0,0.512836009602024,3.23082224852954,0.00681712403964437,0,0.124346866358332,0,0.75,0.964285714285714,2.14285714285714,0,0,0.145,2.89999999999999,0,0,0.00579999999999998,0,0.690114285714286,12.9918548872181,0.0999999999999961,13.2,109.15,0,1.11022302462516e-16,0,0.1776,0.0592,0.1056,0,1.2432,1.6544,16,0,0,0,0,0,0,717.436671428571,813.094894285714,0,0,-95.6582228571428,0,4.8,2.4,16.571,8.2855,142.5,71.25
S4_DDRE_067,centralized,2,10,1.6,1.408,0.192,0.404,0.064,1.82,0.1092,18,1.44,0.039331855907395,0.0377307865200801,0,0,0,0.761337357572525,2.42941450371636,0.039331855907395,0,0.0377307865200801,0,0.75,0.964285714285714,2.14285714285714,0,0,0.235,4.7,0,0,0.0094,0,0.746514285714286,12.2060503759399,0,13.3,95.85,0,0,0,0.192,0.064,0.1092,0,1.344,1.7108,18,0,0,0,0,0,0,717.436671428571,813.094894285714,0,0,-95.6582228571428,0,4.8,2.4,16.571,8.2855,142.5,71.25
