Scenario,ScenarioCN,DDREScenarioId,Method,Status,ErrorMessage,TotalObjective_Yuan,GridEnergy_MWh,GasEnergy_MWhth,CarbonEmission_kg,CarbonQuota_kg,CarbonSurplusBeforeTrade_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeAbs_kg,CarbonUnusedAllowance_kg,RenewableAvailable_MWh,RenewableUse_MWh,RenewableCurtailment_MWh,RenewableUseRate_percent,AvgMinimumVoltage_pu,GridVoltageDeviation_pu
S4_DDRE_001,Scenario 4 - With carbon trading - With demand response - DDRE 001,1,centralized-multi-energy-pq,Solved,,48375.7735850155,35.1837687919952,110.450087960278,74977.5772457884,67523.4382243973,-7454.13902139119,10538.2911165849,3084.15209519368,9199.39458554295,0,45.2715725651714,40.8937101864372,4.37786237873412,90.3297762134684,0.957289672135571,0.0255016460288144
S4_DDRE_002,Scenario 4 - With carbon trading - With demand response - DDRE 002,2,centralized-multi-energy-pq,Solved,,41712.6473230697,23.8731541911073,95.1028519069652,57623.800833628,53465.8897993225,-4157.91103430547,7003.32042168852,2845.40938738304,7226.47183676973,0,100.778681925478,84.8210852886941,15.9575966367841,84.1657021783793,0.958559932534902,0.0261581700571461
S4_DDRE_003,Scenario 4 - With carbon trading - With demand response - DDRE 003,3,centralized-multi-energy-pq,Solved,,26082.9248233054,12.8055125738016,62.8619314913284,34876.3658611035,33175.0137393117,-1701.35212179181,4332.06073551988,2630.70861372913,2033.504586659,0,131.174107835003,117.743131942783,13.4309758922197,89.7609550284773,0.961887839421305,0.0252630988510118
S4_DDRE_004,Scenario 4 - With carbon trading - With demand response - DDRE 004,4,centralized-multi-energy-pq,Solved,,39906.1214885371,25.7969851322654,102.368520790135,62134.1116563923,57623.355251641,-4510.75640475133,8041.0928662648,3530.33646151347,7649.45196468938,0,58.2893747447817,57.4963388670743,0.793035877707388,98.6394846724988,0.957673961790999,0.0258281903030341
S4_DDRE_005,Scenario 4 - With carbon trading - With demand response - DDRE 005,5,centralized-multi-energy-pq,Solved,,34278.6036216144,26.5158947074527,82.2448864804233,56173.0651633655,50510.9234102511,-5662.14175311447,8387.76150903224,2725.61975591779,2645.45941370888,0,73.6524256250723,73.6524256236214,1.45086575566167e-09,99.9999999980301,0.956188935767767,0.0256290042985138
S4_DDRE_006,Scenario 4 - With carbon trading - With demand response - DDRE 006,6,centralized-multi-energy-pq,Solved,,50883.3861193928,41.4605465090133,110.097988269062,81638.612872612,71959.3301871564,-9679.28268545566,12332.5123627647,2653.22967735574,4313.1710781904,0,34.4018620715232,34.4018620663236,5.19962914792647e-09,99.9999999848856,0.954291253382015,0.0255927041094026
S4_DDRE_007,Scenario 4 - With carbon trading - With demand response - DDRE 007,7,centralized-multi-energy-pq,Solved,,38548.3657098441,24.9928303540808,101.981920903616,61136.1893925988,56891.2374559879,-4244.95193661089,8226.10021707103,3981.14828046014,7057.01255678166,0,57.8014724920929,57.8014724920929,0,100,0.958120081714013,0.0254981014219177
S4_DDRE_008,Scenario 4 - With carbon trading - With demand response - DDRE 008,8,centralized-multi-energy-pq,Solved,,57784.4145830745,48.80022026499,119.27584698646,92638.2423199577,80785.0987111837,-11853.143608774,14503.2973586542,2650.15374988519,3971.45567027143,0,19.4871901526633,19.4871901053003,4.73630062099249e-08,99.9999997569531,0.955109505789164,0.0259572523418299
S4_DDRE_009,Scenario 4 - With carbon trading - With demand response - DDRE 009,9,centralized-multi-energy-pq,Solved,,39688.7025310778,24.9886523272508,104.86927430675,62098.3739571876,57983.7855971628,-4114.58836002474,7971.12830833399,3856.53994831213,1502.61858313742,0,56.4449540126727,56.4449540107781,1.89465397537614e-09,99.9999999966434,0.959756842349129,0.025210207420757
S4_DDRE_010,Scenario 4 - With carbon trading - With demand response - DDRE 010,10,centralized-multi-energy-pq,Solved,,35824.0104274262,23.9871778886113,93.5343311200697,57221.7997384711,52953.7328041828,-4268.06693428837,7818.78625729618,3550.71932300783,1083.93439911216,0,66.5166951823913,66.5166951679887,1.44025221818223e-08,99.9999999783475,0.959490433660928,0.0253284047528187
S4_DDRE_011,Scenario 4 - With carbon trading - With demand response - DDRE 011,11,centralized-multi-energy-pq,Solved,,40513.599159771,26.7997897898626,107.579349635441,64961.7458809389,60330.6162626256,-4631.12961831334,8345.88686374497,3714.75724624292,2260.99525187934,0,52.8854928070206,52.8854927157084,9.13122083293083e-08,99.9999998273398,0.958885745453701,0.0256516950289212
S4_DDRE_012,Scenario 4 - With carbon trading - With demand response - DDRE 012,12,centralized-multi-energy-pq,Solved,,38655.0902181367,25.8846797631379,97.8886868831674,60728.9565319098,55987.349573648,-4741.60695826175,8239.46662789741,3497.85966963541,2190.15463813482,0,61.09796136046,60.8558473927305,0.24211396772943,99.6037282384906,0.959881499323407,0.0252087415480014
S4_DDRE_013,Scenario 4 - With carbon trading - With demand response - DDRE 013,13,centralized-multi-energy-pq,Solved,,27904.8205773408,21.6831256599487,70.9210783570654,47162.4208283663,42695.9132781472,-4466.50755021903,7354.4147873258,2887.90723710715,976.638971280131,0,89.387099796819,88.340988940568,1.04611085625103,98.829684754703,0.961238320636508,0.0252957042237162
S4_DDRE_014,Scenario 4 - With carbon trading - With demand response - DDRE 014,14,centralized-multi-energy-pq,Solved,,23305.0861816301,17.6133357703011,53.4835605911432,36928.9008856989,33116.5397950561,-3812.36109064282,5763.76039922347,1951.39931017943,2378.21650347958,0,113.127341791098,106.514938052118,6.61240373897975,94.1549022240881,0.962002853876487,0.0248721390407993
S4_DDRE_015,Scenario 4 - With carbon trading - With demand response - DDRE 015,15,centralized-multi-energy-pq,Solved,,38250.0523897512,28.9704292357785,92.781115082697,62351.5316169428,56295.7362649224,-6055.79535202045,8880.03875525091,2824.24340326086,3762.22109693211,0,61.2577501526942,61.2577501296273,2.30669030844548e-08,99.9999999623445,0.954948889744219,0.0257424167258786
S4_DDRE_016,Scenario 4 - With carbon trading - With demand response - DDRE 016,16,centralized-multi-energy-pq,Solved,,62567.0770028753,55.3656240944043,119.920158033128,99944.5962296452,85809.1928427734,-14135.4033868718,16377.2375244608,2241.83413761042,5174.13362250871,0,12.2404471798113,12.2404471700907,9.72067566414395e-09,99.9999999205856,0.954019139778152,0.0264046562021133
