Scenario,ScenarioCN,DDREScenarioId,PVScaleFinal,WindScaleFinal,StorageEnabled,DemandResponseEnabled,EnableCarbonQuota,EnableCommunityCarbonTrading,AllowCarbonMarketSell,CarbonQuotaMode
S4_DDRE_001,Scenario 4 - With carbon trading - With demand response - DDRE 001,1,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_002,Scenario 4 - With carbon trading - With demand response - DDRE 002,2,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_003,Scenario 4 - With carbon trading - With demand response - DDRE 003,3,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_004,Scenario 4 - With carbon trading - With demand response - DDRE 004,4,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_005,Scenario 4 - With carbon trading - With demand response - DDRE 005,5,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_006,Scenario 4 - With carbon trading - With demand response - DDRE 006,6,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_007,Scenario 4 - With carbon trading - With demand response - DDRE 007,7,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_008,Scenario 4 - With carbon trading - With demand response - DDRE 008,8,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_009,Scenario 4 - With carbon trading - With demand response - DDRE 009,9,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_010,Scenario 4 - With carbon trading - With demand response - DDRE 010,10,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_011,Scenario 4 - With carbon trading - With demand response - DDRE 011,11,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_012,Scenario 4 - With carbon trading - With demand response - DDRE 012,12,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_013,Scenario 4 - With carbon trading - With demand response - DDRE 013,13,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_014,Scenario 4 - With carbon trading - With demand response - DDRE 014,14,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_015,Scenario 4 - With carbon trading - With demand response - DDRE 015,15,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_016,Scenario 4 - With carbon trading - With demand response - DDRE 016,16,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_017,Scenario 4 - With carbon trading - With demand response - DDRE 017,17,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_018,Scenario 4 - With carbon trading - With demand response - DDRE 018,18,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_019,Scenario 4 - With carbon trading - With demand response - DDRE 019,19,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_020,Scenario 4 - With carbon trading - With demand response - DDRE 020,20,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_021,Scenario 4 - With carbon trading - With demand response - DDRE 021,21,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_022,Scenario 4 - With carbon trading - With demand response - DDRE 022,22,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_023,Scenario 4 - With carbon trading - With demand response - DDRE 023,23,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_024,Scenario 4 - With carbon trading - With demand response - DDRE 024,24,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_025,Scenario 4 - With carbon trading - With demand response - DDRE 025,25,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_026,Scenario 4 - With carbon trading - With demand response - DDRE 026,26,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_027,Scenario 4 - With carbon trading - With demand response - DDRE 027,27,5.5,5.5,1,1,1,1,1,baseline-scenario
S4_DDRE_028,Scenario 4 - With carbon trading - With demand response - DDRE 028,28,5.5,5.5,1,1,1,1,1,baseline-scenario
