Scenario,ScenarioCN,DDREScenarioId,Method,Status,ErrorMessage,TotalObjective_Yuan,Iterations,CarbonTradingCost_Yuan
S4_DDRE_001,Scenario 4 - With carbon trading - With demand response - DDRE 001,1,centralized-multi-energy-pq,Solved,,48375.7735850155,NaN,1272.32845796836
S4_DDRE_002,Scenario 4 - With carbon trading - With demand response - DDRE 002,2,centralized-multi-energy-pq,Solved,,41712.6473230697,NaN,765.957124514974
S4_DDRE_003,Scenario 4 - With carbon trading - With demand response - DDRE 003,3,centralized-multi-energy-pq,Solved,,26082.9248233054,NaN,386.738248955071
S4_DDRE_004,Scenario 4 - With carbon trading - With demand response - DDRE 004,4,centralized-multi-energy-pq,Solved,,39906.1214885371,NaN,853.130283788372
S4_DDRE_005,Scenario 4 - With carbon trading - With demand response - DDRE 005,5,centralized-multi-energy-pq,Solved,,34278.6036216144,NaN,985.602250763057
S4_DDRE_006,Scenario 4 - With carbon trading - With demand response - DDRE 006,6,centralized-multi-energy-pq,Solved,,50883.3861193928,NaN,1584.55388667914
S4_DDRE_007,Scenario 4 - With carbon trading - With demand response - DDRE 007,7,centralized-multi-energy-pq,Solved,,38548.3657098441,NaN,835.800204514641
S4_DDRE_008,Scenario 4 - With carbon trading - With demand response - DDRE 008,8,centralized-multi-energy-pq,Solved,,57784.4145830745,NaN,1910.47922880961
S4_DDRE_009,Scenario 4 - With carbon trading - With demand response - DDRE 009,9,centralized-multi-energy-pq,Solved,,39688.7025310778,NaN,810.015251418886
S4_DDRE_010,Scenario 4 - With carbon trading - With demand response - DDRE 010,10,centralized-multi-energy-pq,Solved,,35824.0104274262,NaN,817.746006293644
S4_DDRE_011,Scenario 4 - With carbon trading - With demand response - DDRE 011,11,centralized-multi-energy-pq,Solved,,40513.599159771,NaN,880.407304937453
S4_DDRE_012,Scenario 4 - With carbon trading - With demand response - DDRE 012,12,centralized-multi-energy-pq,Solved,,38655.0902181367,NaN,886.134027221072
S4_DDRE_013,Scenario 4 - With carbon trading - With demand response - DDRE 013,13,centralized-multi-energy-pq,Solved,,27904.8205773408,NaN,814.371494388155
S4_DDRE_014,Scenario 4 - With carbon trading - With demand response - DDRE 014,14,centralized-multi-energy-pq,Solved,,23305.0861816301,NaN,669.424128865578
S4_DDRE_015,Scenario 4 - With carbon trading - With demand response - DDRE 015,15,centralized-multi-energy-pq,Solved,,38250.0523897512,NaN,1049.58147296155
S4_DDRE_016,Scenario 4 - With carbon trading - With demand response - DDRE 016,16,centralized-multi-energy-pq,Solved,,62567.0770028753,NaN,2232.40221490808
S4_DDRE_017,Scenario 4 - With carbon trading - With demand response - DDRE 017,17,centralized-multi-energy-pq,Solved,,45021.6525691219,NaN,1063.26755773642
S4_DDRE_018,Scenario 4 - With carbon trading - With demand response - DDRE 018,18,centralized-multi-energy-pq,Solved,,52801.6720609529,NaN,1502.25544054597
