Scenario,Method,TimeSlot,DataSum_Pload,DataSum_PloadFixed,DataSum_PdrShiftBase,DataSum_PdrShiftMax,DataSum_PdrCutEmax,DataSum_Hload,DataSum_HdrCutMax,DataSum_H2load,DataSum_H2drCutMax,DataSum_Ppv,DataSum_Pwind,DataSum_PcompFixed,Sum_Pgrid,Sum_Pch,Sum_Pdis,Sum_PpvUse,Sum_PpvCurt,Sum_PwindUse,Sum_PwindCurt,Sum_Pchp,Sum_Hchp,Sum_Fgas,Sum_Peb,Sum_Heb,Sum_Pelec,Sum_H2prod,Sum_H2cons_fc,Sum_Pfc,Sum_Pcomp,Sum_Hch,Sum_Hdis,Sum_H2ch,Sum_H2dis,Sum_H2short,Sum_Hdump,Sum_PdrShift,Sum_PdrShiftDev,Sum_PdrCutE,Sum_HdrCut,Sum_H2drCut,Sum_PloadDR,Sum_HloadDR,Sum_H2loadDR,Sum_Qpv,Sum_Qwind,Sum_Qes,Sum_QinjLocal,Sum_PinjLocal,Sum_CarbonEmission_kg,Sum_CarbonQuota_kg,Sum_CarbonBuyMarket_kg,Sum_CarbonSellMarket_kg,Sum_CarbonTradeWithCommunities_kg,Sum_CarbonUnusedAllowance_kg,Mean_SOC_e,Mean_SOC_th,Mean_SOC_h2,Mean_V,TotalRenewableAvailable_MW,TotalRenewableUsed_MW,TotalRenewableCurtailment_MW
S1_Normal_NoStorage_NoCarbon,admm,1,1.37,0,0,0,0,2.285,0,7.6,0,0,4.22213002086876,0,0.663575257731958,0,0,0,0,3.588,0.634130020868764,0.402983660544648,0.518121849271691,1.15138188727042,2.30935891827661,2.24007815072831,0.98,19.6,12,0.216,0.0392,0,0,0,0,0,0.49,0.3216,0.172,0,0.0168,0,1.542,2.2682,7.6,0.0142251612438212,0.0142251612438212,0,0.503751297322879,0.663575257731958,1102.14828643219,919.96806345476,233.578490721649,0,0,51.3982677442229,0,0,0,0,4.22213002086876,3.588,0.634130020868764
S1_Normal_NoStorage_NoCarbon,admm,2,1.3,0,0,0,0,2.23,0,7.6,0,0,4.24317919985326,0,0.732584388807067,0,0,0,0,3.5544,0.688779199853258,0.36,0.462857142857143,1.02857142857143,2.34138438880707,2.27114285714286,0.98,19.6,12,0.216,0.0392,0,0,0,0,0,0.52,0.3448,0.2024,0,0.0160000000000004,0,1.5024,2.214,7.6,0.0137855431606488,0.0137855431606488,0,0.488183235674361,0.732584388807067,1135.56074219735,923.606984308688,222.495934020618,0,0,10.5421761319587,0,0,0,0,4.24317919985326,3.5544,0.688779199853258
S1_Normal_NoStorage_NoCarbon,admm,3,1.35,0,0,0,0,2.19,0,15.2,0,0,0.311350076104985,0,3.45500957043404,0,0,0,0,0.311350076104985,0,0.36,0.462857142857143,1.02857142857143,1.78055964653903,1.72714285714286,0.76,15.2,0,0,0.0304,0,0,0,0,0,-2.77555756156289e-17,0.3508,0.2054,0,0,0,1.5554,2.19,15.2,1.65341431733052,1.65341431733052,0,-2.78588902419882,3.45500957043404,4075.77993835448,2905.53251653313,1170.24742182135,0,0,0,0,0,0,0,0.311350076104985,0.311350076104985,0
S1_Normal_NoStorage_NoCarbon,admm,4,1.32,0,0,0,0,2.18,0,15.2,0,0,0.150131077302458,0,3.57291929088605,0,0,0,0,0.150131077302458,0,0.36,0.462857142857143,1.02857142857143,1.77025036818851,1.71714285714286,0.76,15.2,0,0,0.0304,0,0,0,0,0,2.77555756156289e-17,0.3448,0.2024,0,0,0,1.5224,2.18,15.2,1.75452670056454,1.73749322762057,0,-2.98090820783053,3.57291929088605,4203.12243644265,2991.37079302219,1211.75164342046,0,0,0,0,0,0,0,0.150131077302458,0.150131077302458,0
S1_Normal_NoStorage_NoCarbon,admm,5,1.39,0,0,0,0,2.23,0,17.1,0,0,0.0571927426120012,0,3.28296587299919,0,0,0,0,0.0571927426120012,0,0.6225,0.800357142857143,1.77857142857143,1.47385861561119,1.42964285714286,0.855,17.1,0,0,0.0342,0,0,0,0,0,5.55111512312578e-17,0.3592,0.2096,0,0,0,1.5996,2.23,17.1,1.48004205781118,1.48004205781118,0,-2.42476649181308,3.28296587299919,4141.07558012484,3064.86791780055,1076.20766232429,0,0,0,0,0,0,0,0.0571927426120012,0.0571927426120012,0
S1_Normal_NoStorage_NoCarbon,admm,6,1.65,0,0,0,0,2.41,0,19,0,0,0.0546297000124259,0,2.41190593352965,0,0,0,0,0.0546297000124259,0,1.20416244764087,1.54820886125255,3.44046413611677,0.796898081182942,0.772991138747454,0.95,19,0,0,0.038,0,0,0,0,0,0,0.4116,0.2358,0,0.0888,0,1.8858,2.3212,19,1.1141214746315,1.1141214746315,0,-1.6063408579123,2.41190593352965,3756.73880593835,3061.33197036609,695.406835572259,0,0,0,0,0,0,0,0.0546297000124259,0.0546297000124259,0
S1_Normal_NoStorage_NoCarbon,admm,7,2,0,0,0,0,2.685,0,22.8,0,0,0.0362572974971761,0,2.0651899615439,0,0,0,0,0.0362572974971761,0,1.60944444444444,2.06928571428571,4.5984126984127,0.537025036818851,0.520914285714286,1.14,22.8,0,0,0.0456,0,0,0,0,0,3.33066907387547e-16,0.202266666666667,0.0117333333333333,0,0.0948000000000001,0,1.98826666666667,2.5902,22.8,0.950826727408202,0.950826727408202,0,-1.24074819402095,2.0651899615439,3769.97111189598,3248.29970588967,599.048279606309,0,0,77.3768736,0,0,0,0,0.0362572974971761,0.0362572974971761,0
S1_Normal_NoStorage_NoCarbon,admm,8,2.56,0,0,0,0,3.015,0,26.6,0,0,0.0299449123841541,0,2.3941428964851,0,0,0,0,0.0299449123841541,0,1.78833333333333,2.29928571428571,5.10952380952381,0.633932253313696,0.614914285714286,1.33,26.6,0,0,0.0532,0,0,0,0,0,0,0.0276888888888888,0.246311111111111,0.1184,0.1008,0,2.19528888888889,2.9142,26.6,1.2200659584701,1.2200659584701,0,-1.71997471440711,2.3941428964851,4296.36221363248,3681.71563212687,699.959544705612,0,0,85.3129631999999,0,0,0,0,0.0299449123841541,0.0299449123841541,0
S1_Normal_NoStorage_NoCarbon,admm,9,2.81,0,0,0,0,3.23,0,30.4,0,0,0.0405123486886849,0,2.71221234448755,0,0,0,0,0.0405123486886849,0,1.89333333333333,2.43428571428571,5.40952380952381,0.711458026509573,0.690114285714286,1.52,30.4,0,0,0.0608,0,0,0,0,0,-1.11022302462516e-16,0,0.3006,0.1556,0.1056,0,2.3538,3.1244,30.4,1.56528406265618,1.56528406265618,0,-2.3514228883278,2.71221234448755,4740.31835147513,4027.10347547265,768.924961158031,0,0,55.7100851555554,0,0,0,0,0.0405123486886849,0.0405123486886849,0
S1_Normal_NoStorage_NoCarbon,admm,10,2.99,0,0,0,0,3.36,0,34.2,0,2.9327391453297,0.00505243988166717,0,1.63027333465712,0,0,2.9327391453297,0,0.00505243988166717,0,1.32982600829474,1.70977629637895,3.7995028808421,1.52352959136191,1.47782370362105,1.69200196588428,33.8400393176856,1.64003931768563,0.0295207077183414,0.0676800786353713,0,0,0,0,0.559999999999999,0,0.1064,0.3402,0.132,0.1724,1.44,2.6442,3.1876,32.76,1.10839405511229,1.10839405511229,0,-1.35763090821353,1.63027333465712,3032.78312805652,2628.53863780745,450.160437220492,0,0,45.9159469714285,0,0,0,0,2.93779158521136,2.93779158521136,0
