Scenario,Method,Community,TimeSlot,Data_Pload,Data_PloadFixed,Data_PdrShiftBase,Data_PdrShiftMax,Data_PdrCutEmax,Data_Hload,Data_HdrCutMax,Data_H2load,Data_H2drCutMax,Data_Ppv,Data_Pwind,Data_PcompFixed,Pgrid,Pch,Pdis,SOC_e,PpvUse,PpvCurt,PwindUse,PwindCurt,Pchp,Hchp,Fgas,Peb,Heb,Pelec,H2prod,H2cons_fc,Pfc,Pcomp,Hch,Hdis,SOC_th,H2ch,H2dis,SOC_h2,H2short,Hdump,PdrShift,PdrShiftDev,PdrCutE,HdrCut,H2drCut,PloadDR,HloadDR,H2loadDR,Qpv,Qwind,Qes,QinjLocal,PinjLocal,V,CarbonEmission_kg,CarbonQuota_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeWithCommunities_kg,CarbonUnusedAllowance_kg,Data_Emax,Data_SOC0_e,Data_EthMax,Data_SOC0_th,Data_EH2Max,Data_SOC0_h2
S1_NoCarbon_NoDR,admm,1,1,0.22,0.22,0,0,0,0.625,0,1.4,0,0,0,0,0,0,0.574679166103695,0.995074561996111,0,0,0,0,0,0,0,0.354679166103695,0.344038791120584,0,0,0,0,0,0,0.280961208879416,4.7042513590743,0,1.4,51.75,0,0,0,0,0,0,0,0.22,0.625,1.4,0.00755873302737347,0.00755873302737347,0.00755873302737347,0.0219967062573605,0,0,0,0,0,0,0,0,3.2,1.6,10,5,106.3,53.15
S1_NoCarbon_NoDR,admm,1,2,0.2,0.2,0,0,0,0.61,0,1.4,0,0,0,0,0,0,0.554679166103694,0.41120175557117,0,0,0,0,0,0,0,0.354679166103695,0.344038791120584,0,0,0,0,0,0,0.265961208879416,4.42429219183281,0,1.4,50.35,0,-5.55111512312578e-17,0,0,0,0,0,0.2,0.61,1.4,0.00686832117317635,0.00686832117317635,0.00686832117317635,0.0200067686072718,0,0,0,0,0,0,0,0,3.2,1.6,10,5,106.3,53.15
S1_NoCarbon_NoDR,admm,1,3,0.28,0.28,0,0,0,0.6,0,2.8,0,0,0,0,1.36399042099464,0,0,0.41120175557117,0,0,0,0,0,0,0,0.618556701030928,0.6,0.447532423042033,8.95064846084065,0,0,0.0179012969216813,0,0,4.42429219183281,11.9753242304203,5.82467576957967,56.5006484608407,0,0,0,0,0,0,0,0.28,0.6,2.8,0.533011302309088,0.44,0.533011302309088,-1.44859333813916,1.36399042099464,0,1473.10965467421,992.9850264841,480.124628190114,0,0,0,3.2,1.6,10,5,106.3,53.15
S1_NoCarbon_NoDR,admm,1,4,0.27,0.27,0,0,0,0.59,0,2.8,0,0,0,0,1.64129527474075,0.287304853746106,0,0.68414136662997,0,0,0,0,0,0,0,0.618556701030928,0.6,0.447532423042033,8.95064846084065,0,0,0.0179012969216813,0.01,0,4.43379219183281,6.15064846084065,0,62.6512969216813,0,0,0,0,0,0,0,0.27,0.59,2.8,0.538911358248878,0.44,0.538911358248878,-1.46242403662508,1.64129527474075,0,1772.59889672001,1194.86296001126,577.735936708743,0,0,0,3.2,1.6,10,5,106.3,53.15
S1_NoCarbon_NoDR,admm,1,5,0.29,0.29,0,0,0,0.61,0,3.15,0,0,0,0,1.63404462478341,0.24974492543825,0,0.921399045796308,0,0,0,0,0,0,0,0.628865979381443,0.61,0.447532423042033,8.95064846084065,0,0,0.0179012969216813,0,0,4.43379219183281,11.8003242304203,5.99967576957967,68.451945382522,0,0,0,0,0,0,0,0.29,0.61,3.15,0.555852157643197,0.44,0.555852157643197,-1.49224446220104,1.63404462478341,0,1764.76819476608,1189.58448684232,575.18370792376,0,0,0,3.2,1.6,10,5,106.3,53.15
S1_NoCarbon_NoDR,admm,1,6,0.38,0.38,0,0,0,0.69,0,3.5,0,0,0,0,0.130443031168831,0,0,0.921399045796308,0,0,0,0,0.36,0.462857142857143,1.02857142857143,0.110443031168831,0.107129740233766,0,0,0,0,0,0,0.120013116909091,4.3074625950864,7.15,10.65,64.951945382522,0,0,0,0,0,0,0,0.38,0.69,3.5,0.164453148514134,0.164453148514134,0.164453148514134,-0.416197154501479,0.130443031168831,0,485.248075948052,485.248075948052,0,0,0,0,3.2,1.6,10,5,106.3,53.15
S1_NoCarbon_NoDR,admm,1,7,0.4,0.4,0,0,0,0.78,0,4.2,0,0,0,0,0,0,0.150443031168831,0.763037960355434,0,0,0,0,0.36,0.462857142857143,1.02857142857143,0.110443031168831,0.107129740233766,0,0,0,0,0,0,0.210013116909091,4.08639615623472,0,4.2,60.751945382522,0,1.11022302462516e-16,0,0,0,0,0,0.4,0.78,4.2,0.0238054512004352,0.0238054512004352,0.0238054512004352,0.00980711065229598,0,0,344.369602285714,390.285549257143,0,0,0,45.9159469714285,3.2,1.6,10,5,106.3,53.15
S1_NoCarbon_NoDR,admm,1,8,0.42,0.42,0,0,0,0.86,0,4.9,0,0,0,0,0,0,0.170443031168831,0.583624243335612,0,0,0,0,0.36,0.462857142857143,1.02857142857143,0.110443031168831,0.107129740233766,0,0,0,0,0,0,0.290013116909091,3.78111919106726,0,4.9,55.851945382522,0,1.11022302462516e-16,0,0,0,0,0,0.42,0.86,4.9,0.0144342386205159,0.0144342386205159,0.0144342386205159,0.0419819216047342,0,0,344.369602285714,390.285549257143,0,0,0,45.9159469714285,3.2,1.6,10,5,106.3,53.15
S1_NoCarbon_NoDR,admm,1,9,0.5,0.5,0,0,0,0.83,0,5.6,0,0,0,0,0,0,0.250443031168831,0.32,0,0,0,0,0.36,0.462857142857143,1.02857142857143,0.110443031168831,0.107129740233766,0,0,0,0,0,0,0.260013116909091,3.50742117326821,6.1,11.7,50.251945382522,0,1.11022302462516e-16,0,0,0,0,0,0.5,0.83,5.6,0.0171838307774091,0.0171838307774091,0.0171838307774091,0.0499778379847749,0,0,344.369602285714,390.285549257143,0,0,0,45.9159469714285,3.2,1.6,10,5,106.3,53.15
S1_NoCarbon_NoDR,admm,1,10,0.54,0.54,0,0,0,0.75,0,6.3,0,0.922584900866113,0,0,0,0,0,0.32,0.922584900866113,0,0,0,0.36,0.462857142857143,1.02857142857143,0.296023564064801,0.287142857142857,0.429385900770492,8.58771801540984,0,0,0.0171754360308197,0,0,3.50742117326821,2.28771801540984,0,52.5396633979318,0,0,0,0,0,0,0,0.54,0.75,6.3,0.0186492879815872,0.0186492879815872,0.0186492879815872,0.0542534267505868,0,0,344.369602285714,390.285549257143,0,0,0,45.9159469714285,3.2,1.6,10,5,106.3,53.15
