Scenario,Method,Bus,TimeSlot,Voltage_pu,VoltageSq
S1_NoCarbon_NoDR,admm,1,1,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,2,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,3,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,4,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,5,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,6,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,7,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,8,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,9,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,10,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,11,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,12,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,13,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,14,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,15,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,16,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,17,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,18,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,19,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,20,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,21,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,22,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,23,1.05,1.1025
S1_NoCarbon_NoDR,admm,1,24,1.05,1.1025
S1_NoCarbon_NoDR,admm,2,1,1.0486457287970978,1.0996578645243964
S1_NoCarbon_NoDR,admm,2,2,1.0486838982634,1.099737918476921
S1_NoCarbon_NoDR,admm,2,3,1.046678294894189,1.095535453002607
S1_NoCarbon_NoDR,admm,2,4,1.0465928019878246,1.0953564931727255
S1_NoCarbon_NoDR,admm,2,5,1.046571477570149,1.0953118576633645
S1_NoCarbon_NoDR,admm,2,6,1.0479113599249341,1.0981182182597247
S1_NoCarbon_NoDR,admm,2,7,1.048010675930901,1.098326376865144
S1_NoCarbon_NoDR,admm,2,8,1.0479339136792303,1.0981654874390685
S1_NoCarbon_NoDR,admm,2,9,1.0477985199951803,1.0978817385040902
S1_NoCarbon_NoDR,admm,2,10,1.0476975870852847,1.0976702339843278
S1_NoCarbon_NoDR,admm,2,11,1.0476400007708575,1.0975495712151622
S1_NoCarbon_NoDR,admm,2,12,1.0476149068454854,1.0974969930448752
S1_NoCarbon_NoDR,admm,2,13,1.04759251629796,1.0974500802034914
S1_NoCarbon_NoDR,admm,2,14,1.0476482912597833,1.0975669421795438
S1_NoCarbon_NoDR,admm,2,15,1.047658630082705,1.0975886051867705
S1_NoCarbon_NoDR,admm,2,16,1.0475220396977862,1.0973024236526105
S1_NoCarbon_NoDR,admm,2,17,1.0473744973810581,1.0969933377642243
S1_NoCarbon_NoDR,admm,2,18,1.0474959448498098,1.0972477544767958
S1_NoCarbon_NoDR,admm,2,19,1.0475868690634802,1.097438248234225
S1_NoCarbon_NoDR,admm,2,20,1.0477056893768817,1.097687211552687
S1_NoCarbon_NoDR,admm,2,21,1.0478824094971162,1.098057544133482
S1_NoCarbon_NoDR,admm,2,22,1.048068714134668,1.0984480295478967
S1_NoCarbon_NoDR,admm,2,23,1.0479147230636037,1.0981252668134691
S1_NoCarbon_NoDR,admm,2,24,1.0474873618559237,1.097229773247883
S1_NoCarbon_NoDR,admm,3,1,1.0423217199438846,1.0864345678667775
S1_NoCarbon_NoDR,admm,3,2,1.0425316193966545,1.086872177441811
S1_NoCarbon_NoDR,admm,3,3,1.029635201934097,1.060148649061869
S1_NoCarbon_NoDR,admm,3,4,1.0290656911285592,1.0589761966578992
S1_NoCarbon_NoDR,admm,3,5,1.0289622537332321,1.0587633196077724
S1_NoCarbon_NoDR,admm,3,6,1.0377230962358088,1.076869224461234
S1_NoCarbon_NoDR,admm,3,7,1.0385482519870486,1.078582471705354
S1_NoCarbon_NoDR,admm,3,8,1.038226467351705,1.077914197509601
S1_NoCarbon_NoDR,admm,3,9,1.0374777004771534,1.076359978987362
S1_NoCarbon_NoDR,admm,3,10,1.0368985336716483,1.0751585691304144
S1_NoCarbon_NoDR,admm,3,11,1.036563212497665,1.074463293503479
S1_NoCarbon_NoDR,admm,3,12,1.0364192350897736,1.0741648308640717
S1_NoCarbon_NoDR,admm,3,13,1.0362925749393586,1.073902300874446
S1_NoCarbon_NoDR,admm,3,14,1.0366332461242789,1.0746084869701595
S1_NoCarbon_NoDR,admm,3,15,1.0366826267202165,1.0747108685435278
S1_NoCarbon_NoDR,admm,3,16,1.0358063579747079,1.0728948112208287
S1_NoCarbon_NoDR,admm,3,17,1.0348921566676157,1.0710017759321488
S1_NoCarbon_NoDR,admm,3,18,1.0357068026714096,1.0726885810998341
S1_NoCarbon_NoDR,admm,3,19,1.0362563659539552,1.0738272559800977
S1_NoCarbon_NoDR,admm,3,20,1.0369335721531454,1.0752312330582825
S1_NoCarbon_NoDR,admm,3,21,1.0379474778301727,1.077334966734017
S1_NoCarbon_NoDR,admm,3,22,1.0390049989103571,1.0795313877607113
S1_NoCarbon_NoDR,admm,3,23,1.0378648520387113,1.0771634510973362
S1_NoCarbon_NoDR,admm,3,24,1.0349837404064068,1.0711913429056366
S1_NoCarbon_NoDR,admm,4,1,1.0391654678194817,1.0798648695084823
S1_NoCarbon_NoDR,admm,4,2,1.039447908530524,1.0804519545484803
S1_NoCarbon_NoDR,admm,4,3,1.0183073672688856,1.0369498942340891
S1_NoCarbon_NoDR,admm,4,4,1.0173405523580807,1.0349817994722448
S1_NoCarbon_NoDR,admm,4,5,1.01723153091787,1.0347599874935138
S1_NoCarbon_NoDR,admm,4,6,1.0318376279466643,1.0646888904465988
S1_NoCarbon_NoDR,admm,4,7,1.0335171278094302,1.0681576534754542
S1_NoCarbon_NoDR,admm,4,8,1.033292110977828,1.067692586609016
S1_NoCarbon_NoDR,admm,4,9,1.0322795555386,1.0656010807829694
S1_NoCarbon_NoDR,admm,4,10,1.031453690949969,1.063896716574314
S1_NoCarbon_NoDR,admm,4,11,1.030965969043605,1.0628908293260197
S1_NoCarbon_NoDR,admm,4,12,1.0307607917426298,1.062467809793893
