Scenario,Method,Community,TimeSlot,Data_Pload,Data_PloadFixed,Data_PdrShiftBase,Data_PdrShiftMax,Data_PdrCutEmax,Data_Hload,Data_HdrCutMax,Data_H2load,Data_H2drCutMax,Data_Ppv,Data_Pwind,Data_PcompFixed,Pgrid,Pch,Pdis,SOC_e,PpvUse,PpvCurt,PwindUse,PwindCurt,Pchp,Hchp,Fgas,Peb,Heb,Pelec,H2prod,H2cons_fc,Pfc,Pcomp,Hch,Hdis,SOC_th,H2ch,H2dis,SOC_h2,H2short,Hdump,PdrShift,PdrShiftDev,PdrCutE,HdrCut,H2drCut,PloadDR,HloadDR,H2loadDR,Qpv,Qwind,Qes,QinjLocal,PinjLocal,V,CarbonEmission_kg,CarbonQuota_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeWithCommunities_kg,CarbonUnusedAllowance_kg,Data_Emax,Data_SOC0_e,Data_EthMax,Data_SOC0_th,Data_EH2Max,Data_SOC0_h2
S2_Normal_NoCarbon_DR,admm,1,1,0.22,0.2024,0.0176,0.0552,0.0132,0.625,0.05,1.4,0.14,0,0,0,0,0,0.254254736598719,1.33236343515924,0,0,0,0,0,0,0,0,0,0.0329372467295377,0.658744934590755,0,0,0.00131748986918151,0,0.625,4.34210526315789,0,0.741255065409245,52.4087449345908,0,0,0.0176,0,0,0,0,0.22,0.625,1.4,0.0101914398848737,0.0101914398848737,0.0101914398848737,0.0141407453606738,0,0,0,2.9358182645451e-06,0,0,0,0,3.2,1.6,10,5,106.3,53.15
S2_Normal_NoCarbon_DR,admm,1,2,0.2,0.184,0.016,0.052,0.012,0.61,0.0488,1.4,0.14,0,0,0,8.64487376294976e-09,0,0.234254727953845,1.0857795109973,0,0,0,0,0,0,0,0,0,0.0329372467295377,0.658744934590755,0,0,0.00131748986918151,0,0.61,3.7,0,0.741255065409245,51.6674898691815,0,0,0.016,0,0,0,0,0.2,0.61,1.4,0.00926584102229049,0.00926584102229049,0.00926584102229049,0.0128563687357432,8.64487376294976e-09,0,9.33646366398574e-06,9.33646366398574e-06,0,0,0,0,3.2,1.6,10,5,106.3,53.15
S2_Normal_NoCarbon_DR,admm,1,3,0.28,0.2576,0.0224,0.0648,0.0168,0.6,0.048,2.8,0.28,0,0,0,0.922502159279132,0,0,1.0857795109973,0,0,0,0,0,0,0,0.608247422680412,0.59,0.0329372467295377,0.658744934590755,0,0,0.00131748986918151,0,0.0099999999999999,3.68947368421053,0,2.14125506540925,49.5262348037723,0,0,0.0224,0,0,0,0,0.28,0.6,2.8,0.314297141664038,0.314297141664038,0.314297141664038,-0.88599284033878,0.922502159279132,0,996.302332021462,996.302332021462,0,0,0,0,3.2,1.6,10,5,106.3,53.15
S2_Normal_NoCarbon_DR,admm,1,4,0.27,0.2484,0.0216,0.0632,0.0162,0.59,0.0472,2.8,0.28,0,0,0,1.12479860354959,0,0,1.0857795109973,0,0,0,0,0,0,0,0.608247422680412,0.59,0.237068443143441,4.74136886286883,0,0,0.00948273772573765,0,0,3.68947368421053,1.94136886286883,0,51.4676036666411,0,0,0.0216,0,0,0,0,0.27,0.59,2.8,0.388828230070461,0.388828230070461,0.388828230070461,-1.11135540423298,1.12479860354959,0,1214.78249183356,1214.78249183356,0,0,0,0,3.2,1.6,10,5,106.3,53.15
S2_Normal_NoCarbon_DR,admm,1,5,0.29,0.2668,0.0232,0.0664,0.0174,0.61,0.0488,3.15,0.315,0,0,0,1.07994967486076,0,0,1.0857795109973,0,0,0,0,0,0,0,0.608247422680412,0.59,0.174713704019564,3.49427408039129,0,0,0.00698854816078257,0,0.0199999999999999,3.66842105263158,9.07213704019564,8.72786295980436,51.8118777470324,0,0,0.0232,0,0,0,0,0.29,0.61,3.15,0.402245393203459,0.402245393203459,0.402245393203459,-1.14762553448537,1.07994967486076,0,1166.34564884962,1166.34564884962,0,0,0,0,3.2,1.6,10,5,106.3,53.15
S2_Normal_NoCarbon_DR,admm,1,6,0.38,0.3496,0.0304,0.0808,0.0228,0.69,0.0552,3.5,0.35,0,0,0,0.130443044511766,0,0.0750404165559724,1.00678959883312,0,0,0,0,0.36,0.462857142857143,1.02857142857143,0.0676178196864618,0.0655892850958679,0.113332347481996,2.26664694963993,0,0,0.00453329389927986,0,0.161553572046989,3.49836466100317,8.28332347481997,9.51667652518003,50.5785246966723,0,0,0.0304,0,0,0,0,0.38,0.69,3.5,0.0947098977018116,0.0947098977018116,0.0947098977018116,-0.206822336659736,0.130443044511766,0,485.248090358421,485.248090358421,0,0,0,0,3.2,1.6,10,5,106.3,53.15
S2_Normal_NoCarbon_DR,admm,1,7,0.4,0.368,0.032,0.084,0.024,0.78,0.0624,4.2,0.42,0,0,0,0,0,0.177483372963821,0.819964995713307,0,0,0,0,0.408000088103917,0.524571541847893,1.16571453743976,0.0676178196864618,0.0655892850958679,0.113332347481996,2.26664694963993,0,0,0.00453329389927986,0,0.189839173056239,3.29853395252292,7.93332347481997,9.86667652518004,48.6451716463122,0,0,0.032,0,0,0,0,0.4,0.78,4.2,0.0185471463275539,0.0185471463275539,0.0185471463275539,0.025727090675717,0,0,390.285633535784,390.285618238625,0,0,0,-1.52971594280515e-05,3.2,1.6,10,5,106.3,53.15
S2_Normal_NoCarbon_DR,admm,1,8,0.42,0.3864,0.0336,0.0872,0.0252,0.86,0.0688,4.9,0.49,0,0,0,0,0,0.197483372963821,0.612087761014549,0,0,0,0,0.408000088103917,0.524571541847893,1.16571453743976,0.0676178196864618,0.0655892850958679,0.113332347481996,2.26664694963993,0,0,0.00453329389927986,0,0.269839173056239,3.01449271772688,7.58332347481997,10.21667652518,46.0118185959522,0,0,0.0336,0,0,0,0,0.42,0.86,4.9,0.0194727451829027,0.0194727451829027,0.0194727451829027,0.0270114673223507,0,0,390.285633535784,390.285633535784,0,0,0,0,3.2,1.6,10,5,106.3,53.15
S2_Normal_NoCarbon_DR,admm,1,9,0.5,0.46,0.04,0.1,0.03,0.83,0.0664,5.6,0.56,0,0,0,0,0,0.277483372963821,0.32,0,0,0,0,0.408000088103917,0.524571541847893,1.16571453743976,0.0676178196864618,0.0655892850958679,0.113332347481996,2.26664694963993,0,0,0.00453329389927986,0,0.239839173056239,2.76203043029926,7.23332347481997,10.56667652518,42.6784655455921,0,0,0.04,0,0,0,0,0.5,0.83,5.6,0.0231751406327472,0.0231751406327472,0.0231751406327472,0.0321489738235376,0,0,390.285633535784,390.285624448587,0,0,0,-9.08719710590589e-06,3.2,1.6,10,5,106.3,53.15
S2_Normal_NoCarbon_DR,admm,1,10,0.54,0.4968,0.0432,0.1064,0.0324,0.75,0.06,6.3,0.63,0.922584900866113,0,0,0,0,0,0.32,0.922584900866113,0,0,0,0.408000003359231,0.52457143289044,1.16571429531209,0.232400584649031,0.22542856710956,0.536715691900301,10.734313838006,0,0,0.021468627676012,0,0,2.76203043029926,11.117156919003,6.68284308099699,47.1127793835981,0,0,0.0432,0,0,0,0,0.54,0.75,6.3,0.0251484245737274,0.0251484245737274,0.0251484245737274,0.0348933991068125,0,0,390.285552470524,390.285552470524,0,0,0,0,3.2,1.6,10,5,106.3,53.15
