Scenario,Method,Bus,TimeSlot,Voltage_pu,VoltageSq
S2_Normal_NoCarbon_DR,admm,1,1,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,2,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,3,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,4,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,5,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,6,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,7,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,8,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,9,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,10,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,11,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,12,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,13,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,14,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,15,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,16,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,17,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,18,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,19,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,20,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,21,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,22,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,23,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,1,24,1.05,1.1025
S2_Normal_NoCarbon_DR,admm,2,1,1.0486643025897355,1.0996968195260164
S2_Normal_NoCarbon_DR,admm,2,2,1.0487108884693088,1.0997945275940872
S2_Normal_NoCarbon_DR,admm,2,3,1.0469884422517468,1.0961847982087392
S2_Normal_NoCarbon_DR,admm,2,4,1.0469000130432926,1.095999637310046
S2_Normal_NoCarbon_DR,admm,2,5,1.0469004621325608,1.0960005776133694
S2_Normal_NoCarbon_DR,admm,2,6,1.0479615775407605,1.098223468001719
S2_Normal_NoCarbon_DR,admm,2,7,1.0480931600465975,1.0984992721364624
S2_Normal_NoCarbon_DR,admm,2,8,1.0480160579314521,1.098337657682181
S2_Normal_NoCarbon_DR,admm,2,9,1.0478524503835411,1.0979947577747917
S2_Normal_NoCarbon_DR,admm,2,10,1.0477513558073257,1.0977829035960893
S2_Normal_NoCarbon_DR,admm,2,11,1.047682277084534,1.097638153717034
S2_Normal_NoCarbon_DR,admm,2,12,1.0476578141494066,1.0975868955483128
S2_Normal_NoCarbon_DR,admm,2,13,1.0476352613627884,1.0975396408506781
S2_Normal_NoCarbon_DR,admm,2,14,1.047666123868941,1.0976043071025716
S2_Normal_NoCarbon_DR,admm,2,15,1.0476863546980004,1.0976466978203845
S2_Normal_NoCarbon_DR,admm,2,16,1.04756732726607,1.0973973051553774
S2_Normal_NoCarbon_DR,admm,2,17,1.047462352830718,1.0971773805976637
S2_Normal_NoCarbon_DR,admm,2,18,1.0476122446913727,1.0974914152272965
S2_Normal_NoCarbon_DR,admm,2,19,1.04765378261905,1.0975784482360038
S2_Normal_NoCarbon_DR,admm,2,20,1.0477707461135972,1.0978235364114444
S2_Normal_NoCarbon_DR,admm,2,21,1.0479409717942556,1.0981802803650886
S2_Normal_NoCarbon_DR,admm,2,22,1.0481330436023022,1.0985828770910255
S2_Normal_NoCarbon_DR,admm,2,23,1.048271782255981,1.098873729474131
S2_Normal_NoCarbon_DR,admm,2,24,1.0478147709080816,1.0979157941331557
S2_Normal_NoCarbon_DR,admm,3,1,1.0424402342843808,1.0866816420548746
S2_Normal_NoCarbon_DR,admm,3,2,1.0427038468594352,1.0872313122554647
S2_Normal_NoCarbon_DR,admm,3,3,1.0316376506190572,1.0642762421748078
S2_Normal_NoCarbon_DR,admm,3,4,1.031049893419687,1.063063882720748
S2_Normal_NoCarbon_DR,admm,3,5,1.031086800883629,1.063139990956436
S2_Normal_NoCarbon_DR,admm,3,6,1.0380458877499752,1.077539265074634
S2_Normal_NoCarbon_DR,admm,3,7,1.0390764402395671,1.079679848660931
S2_Normal_NoCarbon_DR,admm,3,8,1.0387524008279687,1.0790065502258688
S2_Normal_NoCarbon_DR,admm,3,9,1.0378231110069496,1.0770768097401433
S2_Normal_NoCarbon_DR,admm,3,10,1.0372430680183213,1.0758731821520602
S2_Normal_NoCarbon_DR,admm,3,11,1.0368341876834717,1.0750251327492444
S2_Normal_NoCarbon_DR,admm,3,12,1.0366942858383672,1.0747350422899222
S2_Normal_NoCarbon_DR,admm,3,13,1.0365666134209246,1.0744703440589245
S2_Normal_NoCarbon_DR,admm,3,14,1.0367475468972842,1.0748454759975363
S2_Normal_NoCarbon_DR,admm,3,15,1.0368603204760158,1.0750793241776262
