Scenario,Method,TimeSlot,DataSum_Pload,DataSum_PloadFixed,DataSum_PdrShiftBase,DataSum_PdrShiftMax,DataSum_PdrCutEmax,DataSum_Hload,DataSum_HdrCutMax,DataSum_H2load,DataSum_H2drCutMax,DataSum_Ppv,DataSum_Pwind,DataSum_PcompFixed,Sum_Pgrid,Sum_Pch,Sum_Pdis,Sum_PpvUse,Sum_PpvCurt,Sum_PwindUse,Sum_PwindCurt,Sum_Pchp,Sum_Hchp,Sum_Fgas,Sum_Peb,Sum_Heb,Sum_Pelec,Sum_H2prod,Sum_H2cons_fc,Sum_Pfc,Sum_Pcomp,Sum_Hch,Sum_Hdis,Sum_H2ch,Sum_H2dis,Sum_H2short,Sum_Hdump,Sum_PdrShift,Sum_PdrShiftDev,Sum_PdrCutE,Sum_HdrCut,Sum_H2drCut,Sum_PloadDR,Sum_HloadDR,Sum_H2loadDR,Sum_Qpv,Sum_Qwind,Sum_Qes,Sum_QinjLocal,Sum_PinjLocal,Sum_CarbonEmission_kg,Sum_CarbonQuota_kg,Sum_CarbonBuyMarket_kg,Sum_CarbonSellMarket_kg,Sum_CarbonTradeWithCommunities_kg,Sum_CarbonUnusedAllowance_kg,Mean_SOC_e,Mean_SOC_th,Mean_SOC_h2,Mean_V,TotalRenewableAvailable_MW,TotalRenewableUsed_MW,TotalRenewableCurtailment_MW
S2_Normal_NoCarbon_DR,centralized,1,1.37,1.2204,0.1496,0.3592,0.0712,2.285,0.1538,7.6,0.68,0,4.22213002086876,0,1.13949360028418e-07,0.983190449475282,0.593262939030874,0,0,4.22213001670228,4.16648493484217e-09,0.565059978548826,0.726505686705633,1.61445708156807,2.04294316058932,1.98165486577164,0.829152857882778,16.5830571576556,3.89109409908248e-07,7.00396937834846e-09,0.0331661143153111,1.30350560447042,0.776544672684441,26.9427263360296,17.9596695077614,1.50765336665827e-08,7.95630157724524e-09,0.27160049199678,0.122000730686466,1.90778656168231e-08,0.10380038726501,4.52502803261239e-08,1.49200047291891,2.18119961273499,7.59999995474972,-2.50781543520998e-06,-2.51331055975518e-06,-2.38506237421212e-06,0,0,540.526456622068,418.996460021912,121.530230539591,0,0,0.000233996790094901,2.0365145409195,5.56880495977197,84.4610189427561,0,4.22213002086876,4.22213001670228,4.16648493484217e-09
S2_Normal_NoCarbon_DR,centralized,2,1.3,1.1576,0.1424,0.3448,0.0672,2.23,0.15,7.6,0.68,0,4.24317919985326,0,0.00269700064158028,1.03786144533819,1.16598209608378,0,0,4.24317919580627,4.04699118661256e-09,0.565081698478094,0.726533612328978,1.61451913850884,2.04294651609401,1.98165812061119,1.4208957363405,28.41791472681,3.91191255073864e-07,7.04144259132954e-09,0.05683582945362,1.33173342750549,0.752341332967064,33.4851802014492,12.6672658060803,1.5075050077947e-08,7.97750938321247e-09,0.26080049011931,0.118400727992648,1.93215152843433e-08,0.101200369575773,4.52800886406104e-08,1.41840047079779,2.12879963042423,7.59999995471991,-2.83770647346475e-06,-2.83905893827791e-06,-2.77603657326997e-06,0,0,543.45987114801,542.897225423528,0.562870937601166,0,0,0.000225270473616987,1.95605414034429,5.72654113009384,91.4003237412287,0,4.24317919985326,4.24317919580627,4.04699118661256e-09
S2_Normal_NoCarbon_DR,centralized,3,1.35,1.2046,0.1454,0.3508,0.0704,2.19,0.1472,15.2,1.36,0,0.311350076104985,0,4.56783056635864,0.267514713532165,2.23330176133478e-06,0,0,0.311350073622667,2.48231729615966e-09,0.749999891343585,0.96428557458461,2.14285683241024,1.74299704794355,1.69070713650525,2.02468391529859,40.4936783059717,3.86802109857155e-07,6.96243797742879e-09,0.0809873566119435,0.748985554326624,0.184792773439985,36.7679311418562,11.4742531616995,1.49672380342999e-08,8.01693219748465e-09,0.308399756448232,0.163000009490535,1.83179680023308e-08,0.0992000778137141,4.66250264282077e-08,1.51299973813026,2.09079992218629,15.199999953375,1.03842515114015,1.03842438490093,1.03842408021314,0,0,5650.6935791571,5650.6796500125,0.0141246189271088,0,0,0.000195531326486757,2.04076634934878,5.89888031933686,99.8315497346143,0,0.311350076104985,0.311350073622667,2.48231729615966e-09
S2_Normal_NoCarbon_DR,centralized,4,1.32,1.1776,0.1424,0.3448,0.0686,2.18,0.1464,15.2,1.36,0,0.150131077302458,0,5.58756800382489,0.247369852114195,4.91176001788249e-07,0,0,0.150131074873804,2.42865402788617e-09,0.749999886420323,0.964285568254701,2.14285681834378,2.43297805628281,2.35998871459432,2.2370690241029,44.741380482058,3.86625142635488e-07,6.95925256743878e-09,0.0894827609641159,1.41826372913969,0.174789442844812,38.909692581442,9.36831242502429,1.49731205485868e-08,8.09228951855384e-09,0.303199787838642,0.160799995555621,1.81170820910318e-08,0.0992000115381434,4.66161110268245e-08,1.48079976972156,2.08079998846186,15.1999999533839,1.64206300277276,1.57105761410457,1.64206079585723,0,0,6752.01000691115,5954.60080108814,797.40940211415,0,0,0.000196348458752748,2.11909996350976,6.28666753783068,109.678676453452,0,0.150131077302458,0.150131074873804,2.42865402788617e-09
S2_Normal_NoCarbon_DR,centralized,5,1.39,1.2404,0.1496,0.3592,0.0726,2.23,0.15,17.1,1.53,0,0.0571927426120012,0,5.48557203588307,0.855480996563007,2.08008099863406e-06,0,0,0.0571927402018383,2.41016289564966e-09,0.749999883400365,0.964285564371898,2.14285680971533,2.12731404529697,2.06349462393806,1.68612689145471,33.7225378290941,3.88432762879155e-07,6.99178973182479e-09,0.0674450756581882,1.10297079696942,0.203990547550411,30.4321844204233,13.8096469186283,1.49409562512979e-08,8.07811673611292e-09,0.315999755790638,0.166400018403723,1.82731357751269e-08,0.101200069187171,4.67977661195213e-08,1.5563997375175,2.12879993081283,17.0999999532022,1.55436131160768,1.51064694330328,1.55435890855056,0,0,6641.85435864515,5920.69147332708,721.163075286265,0,0,0.000190025564430094,2.39000154923568,6.56436599281905,115.219522287384,0,0.0571927426120012,0.0571927402018383,2.41016289564966e-09
S2_Normal_NoCarbon_DR,centralized,6,1.65,1.4742,0.1758,0.4116,0.0876,2.41,0.1632,19,1.7,0,0.0546297000124259,0,1.47291580283285,1.67112008052729e-07,0.23528861172733,0,0,0.0546296977878887,2.22453712395154e-09,1.32005181502742,1.69720947646382,3.77157661436405,0.365380800271118,0.354419376262985,1.0264459911712,20.528919823424,4.01466454629502e-07,7.22639618333103e-09,0.0410578396468481,0.049199751319684,0.299571046586622,21.9689646460804,20.4400451629202,1.49088361230065e-08,8.46019121425456e-09,0.175801158137464,1.44723282672984e-06,2.18164613054122e-08,0.107999860466445,4.68987873012938e-08,1.650001136321,2.30200013953355,18.9999999531012,0.416759567921692,0.416759221999126,0.41675919365514,0,0,2853.48717410816,2853.48995858224,0.000511510353942031,0,0,0.00329605396038418,2.30744419453148,6.47483326614593,115.729162115105,0,0.0546297000124259,0.0546296977878887,2.22453712395154e-09
S2_Normal_NoCarbon_DR,centralized,7,2,1.786,0.214,0.488,0.108,2.685,0.1832,22.8,2.04,0,0.0362572974971761,0,0.303514155285145,1.3537413800395e-07,1.1378286761439,0,0,0.0362572954753106,2.02186552222816e-09,1.44445818740189,1.85716052665957,4.12702339257682,0.0463192303193854,0.0449296534098038,0.880440797748453,17.6088159549691,4.11833547304368e-07,7.41300385147863e-09,0.0352176319099381,0.0693339587278254,0.731443688485549,18.4380277088582,23.6292121045433,1.48496375507751e-08,8.49239384370648e-09,0.17408055411732,0.0399208264792201,2.78298348005787e-08,0.120800098665296,4.6934394574873e-08,1.96008052628748,2.5641999013347,22.7999999530656,5.07470659660986e-06,5.10507918084457e-06,5.13989368664853e-06,0,0,1709.5383196911,1807.54253458833,0.000724597747443418,0,0,98.0049395637623,1.90820610542025,6.24014211150336,113.998767316543,0,0.0362572974971761,0.0362572954753106,2.02186552222816e-09
S2_Normal_NoCarbon_DR,centralized,8,2.56,2.286,0.274,0.608,0.1436,3.015,0.2076,26.6,2.38,0,0.0299449123841541,0,4.11822284923108e-08,1.43062636724011e-07,1.74274157300893,0,0,0.0299449103450969,2.03905716270047e-09,1.57668140146118,2.02716180187866,4.50480400417479,0.0463192831905738,0.0449297046948566,0.849627987029533,16.9925597405907,4.1646143045532e-07,7.49630574819577e-09,0.0339851194811813,0.101333937887352,0.905442284933675,16.1448066954339,25.7522473104403,1.47928074087394e-08,8.46157999223607e-09,0.133435436313232,0.14056612540516,3.5663241818333e-08,0.138800154841743,4.66763022574059e-08,2.41943540064999,2.87619984515826,26.5999999533237,1.40315766703797e-06,1.42677567362443e-06,1.47032930977203e-06,0,0,1508.22545323366,1653.44917715307,0.000693322452814982,0,0,145.224417310647,1.29671787949282,5.9545321444901,110.796287111541,0,0.0299449123841541,0.0299449103450969,2.03905716270047e-09
S2_Normal_NoCarbon_DR,centralized,9,2.81,2.5094,0.3006,0.6612,0.1556,3.23,0.2232,30.4,2.72,0,0.0405123486886849,0,4.04117684683722e-08,1.08330497792643e-07,1.7238352844222,0,0,0.0405123469357081,1.75297680538034e-09,1.72212418148695,2.21415966191179,4.92035480424842,0.0463222325217157,0.0449325655460643,0.833604609162558,16.6720921832512,3.95897020684038e-07,7.12614637231269e-09,0.0333441843665023,0.136534004344514,0.950641590370893,14.3349436688434,28.0628518180818,1.48577498082628e-08,8.43687708584895e-09,0.12300062996419,0.177600885715172,0.0591999040419677,0.156800194952644,4.91546138636639e-08,2.57320072592222,3.07319980504736,30.3999999508454,3.1345830467184e-06,3.15817353367351e-06,3.17887682894921e-06,0,0,1647.35343104824,1743.03463496568,0.000722228937396635,0,0,95.6819262151607,0.691863428035909,5.66420945977108,106.220317728461,0,0.0405123486886849,0.0405123469357081,1.75297680538034e-09
S2_Normal_NoCarbon_DR,centralized,10,2.99,2.6698,0.3202,0.7004,0.1644,3.36,0.2324,34.2,3.06,2.9327391453297,0.00505243988166717,0,1.98325664023814e-08,1.52388233119191e-07,0.537988232376974,2.93273913826841,7.06128644445414e-09,0.00505243792544404,1.95622313053229e-09,1.70896804938088,2.19724463491827,4.88276585537393,0.251376913990814,0.24383560657109,1.9046982845188,38.0939656903761,3.8763082128968e-07,6.97735478321425e-09,0.0761879313807521,1.63315859024471e-07,0.746519939986606,22.8719064295663,18.9779410607043,1.50035234687508e-08,8.40485703257343e-09,0.282684631128155,0.0375167237417956,2.87463038922581e-08,0.17239999024475,5.17183925081498e-08,2.95248460238185,3.18760000975525,34.1999999482816,2.59591825860714e-05,2.6006429900025e-05,2.59793761549395e-05,0,0,1634.7684866533,1658.50231669556,85.6236327666707,0,0,109.357462877713,0.503095675458773,5.40227269043997,107.518306184749,0,2.93779158521136,2.93779157619385,9.01750957498643e-09
