Scenario,Method,Community,TimeSlot,Data_Pload,Data_PloadFixed,Data_PdrShiftBase,Data_PdrShiftMax,Data_PdrCutEmax,Data_Hload,Data_HdrCutMax,Data_H2load,Data_H2drCutMax,Data_Ppv,Data_Pwind,Data_PcompFixed,Pgrid,Pch,Pdis,SOC_e,PpvUse,PpvCurt,PwindUse,PwindCurt,Pchp,Hchp,Fgas,Peb,Heb,Pelec,H2prod,H2cons_fc,Pfc,Pcomp,Hch,Hdis,SOC_th,H2ch,H2dis,SOC_h2,H2short,Hdump,PdrShift,PdrShiftDev,PdrCutE,HdrCut,H2drCut,PloadDR,HloadDR,H2loadDR,Qpv,Qwind,Qes,QinjLocal,PinjLocal,V,CarbonEmission_kg,CarbonQuota_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeWithCommunities_kg,CarbonUnusedAllowance_kg,Data_Emax,Data_SOC0_e,Data_EthMax,Data_SOC0_th,Data_EH2Max,Data_SOC0_h2
S2_Normal_WithStorage_NoCarbon,admm,1,1,0.22,0,0,0,0,0.625,0,1.4,0,0,0,0,0,0,0.588356814508527,0.980677037359445,0,0,0,0,0,0,0,0.368356814508527,0.357306110073272,0,0,0,0,0,0,0.217693889926728,4.77084853691923,0,1.4,18.6,0,0,0.0176,0,0,0.05,0,0.22,0.575,1.4,0.00131977734243316,0.00131977734243316,0.00131977734243316,0.0407135733121814,0,0,0,436.885275825895,0,0,0,436.885275825895,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,admm,1,2,0.2,0,0,0,0,0.61,0,1.4,0,0,0,0,0.429115684210986,0,0.139241130297542,0.834107426519927,0,0,0,0,0,0,0,0.368356814508527,0.357306110073272,0,0,0,0,0,0,0.203893889926729,4.55622338962794,0,1.4,17.2,0,0,0.016,0,0,0.0488,0,0.2,0.5612,1.4,0.00119979760830394,0.00119979760830394,0.00119979760830394,0.037012339301889,0.429115684210986,0,463.444938947865,463.444938947865,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,admm,1,3,0.28,0,0,0,0,0.6,0,2.8,0,0,0,0,0.529479059545083,0,0.118877754963445,0.708972947611038,0,0,0,0,0,0,0,0.368356814508527,0.357306110073272,0,0,0,0,0,0,0.194693889926728,4.35128245286296,0,2.8,14.4,0,0,0.0224,0,0,0.048,0,0.28,0.552,2.8,0.105273864637344,0.105273864637344,0.105273864637344,-0.258965168934511,0.529479059545083,0,571.837384308689,571.837384308689,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,admm,1,4,0.27,0,0,0,0,0.59,0,2.8,0,0,0,0,0.515249842286587,0,0.12310697222194,0.579386661061627,0,0,0,0,0,0,0,0.368356814508527,0.357306110073272,0,0,0,0,0,0,0.185493889926728,4.1560257266243,0,2.8,11.6,0,0,0.0216,0,0,0.0472,0,0.27,0.5428,2.8,0.201744622438201,0.201744622438201,0.201744622438201,-0.550408028943423,0.515249842286587,0,556.469829669514,556.469829669514,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,admm,1,5,0.29,0,0,0,0,0.61,0,3.15,0,0,0,0,0.555976424951727,0,0.102380389556801,0.471617829949205,0,0,0,0,0,0,0,0.368356814508527,0.357306110073272,0,0,0,0,0,0,0.203893889926729,3.94140057933301,0,3.15,8.45,0,0,0.0232,0,0,0.0488,0,0.29,0.5612,3.15,0.226729663792166,0.226729663792166,0.226729663792166,-0.621301979792638,0.555976424951727,0,600.454538947865,600.454538947865,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,admm,1,6,0.38,0,0,0,0,0.69,0,3.5,0,0,0,0,0.242663058565497,0,0,0.471617829949205,0,0,0,0,0.42,0.54,1.2,0.154639175257732,0.15,0.123099887795928,2.46199775591855,0,0,0.0049239955118371,0,0,3.94140057933301,0,1.03800224408145,7.41199775591855,0,0,0.0304,0,0,0,0,0.38,0.69,3.5,0.114197070207871,0.114197070207871,0.114197070207871,-0.265271351726313,0.242663058565497,0,663.840639250736,663.840639250736,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,admm,1,7,0.4,0,0,0,0,0.78,0,4.2,0,0,0,0,0,0,0,0.471617829949205,0,0,0,0,0.606666666666667,0.78,1.73333333333333,0,0,0.198717948717949,3.97435897435897,0,0,0.00794871794871794,0,0,3.94140057933301,0,0.225641025641027,7.18635673027753,0,1.11022302462516e-16,0.032,0,0,0,0,0.4,0.78,4.2,0.0931526357641628,0.0931526357641628,0.0931526357641628,-0.197980084064528,0,0,580.326552,657.7034256,0,0,0,77.3768736,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,admm,1,8,0.42,0,0,0,0,0.86,0,4.9,0,0,0,0,0,0,0,0.471617829949205,0,0,0,0,0.66281057273283,0.852185022085067,1.89374449352237,0.00805667826281697,0.00781497791493247,0.225724898528859,4.51449797057718,0,0,0.00902899594115435,0,0,3.94140057933301,0,0.385502029422822,6.8008547008547,0,-1.11022302462516e-16,0.0336,0,0,0,0,0.42,0.86,4.9,0.00252811077477424,0.00252811077477424,0.00252811077477424,0.077989233012076,0,0,634.032814785476,725.1601872,0,0,0,91.1273724145242,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,admm,1,9,0.5,0,0,0,0,0.83,0,5.6,0,0,0,0,0,0,0,0.471617829949205,0,0,0,0,0.645555555555555,0.83,1.84444444444444,0,0,0.139957264957265,2.7991452991453,0,0,0.00559829059829059,0,0,3.94140057933301,0,2.8008547008547,4,0,0,0.04,0,0,0,0,0.5,0.83,5.6,0.00300478649547384,0.00300478649547384,0.00300478649547384,0.0926941161297259,0,0,617.526972,754.933057155556,0,0,0,137.406085155556,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,admm,1,10,0.54,0,0,0,0,0.75,0,6.3,0,0.922584900866113,0,0,0,0,0,0.471617829949205,0.922584900866113,0,0,0,0.36,0.462857142857143,1.02857142857143,0.296023564064801,0.287142857142857,0.429385900770492,8.58771801540984,0,0,0.0171754360308197,0,0,3.94140057933301,2.28771801540984,0,6.28771801540984,0,0,0.0432,0,0,0,0,0.54,0.75,6.3,0.00325569084715226,0.00325569084715226,0.00325569084715226,0.100434218153892,0,0,344.369602285714,390.285549257143,0,0,0,45.915946971429,3.2,1.6,10,5,40,20
