Scenario,Method,Community,TimeSlot,Data_Pload,Data_PloadFixed,Data_PdrShiftBase,Data_PdrShiftMax,Data_PdrCutEmax,Data_Hload,Data_HdrCutMax,Data_H2load,Data_H2drCutMax,Data_Ppv,Data_Pwind,Data_PcompFixed,Pgrid,Pch,Pdis,SOC_e,PpvUse,PpvCurt,PwindUse,PwindCurt,Pchp,Hchp,Fgas,Peb,Heb,Pelec,H2prod,H2cons_fc,Pfc,Pcomp,Hch,Hdis,SOC_th,H2ch,H2dis,SOC_h2,H2short,Hdump,PdrShift,PdrShiftDev,PdrCutE,HdrCut,H2drCut,PloadDR,HloadDR,H2loadDR,Qpv,Qwind,Qes,QinjLocal,PinjLocal,V,CarbonEmission_kg,CarbonQuota_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeWithCommunities_kg,CarbonUnusedAllowance_kg,Data_Emax,Data_SOC0_e,Data_EthMax,Data_SOC0_th,Data_EH2Max,Data_SOC0_h2
S2_Normal_WithStorage_NoCarbon,centralized,1,1,0.22,0.2024,0.0176,0.0552,0.0132,0.625,0.05,1.4,0.14,0,0,0,0,0,0.440966073625562,1.1358251856573,0,0,0,0,1.49878278451092e-09,1.92700643722833e-09,4.28223652717407e-09,0.220966075124344,0.214337092870614,0,0,0,0,0,0,0.360662905202379,4.62035483662907,0,1.4,18.6,0,-6.07468413764296e-18,0.0176,0,0,0.05,0,0.22,0.575,1.4,0,0,0,0,0,0,1.43370897615195e-06,1.43370897615195e-06,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,2,0.2,0.184,0.016,0.052,0.012,0.61,0.0488,1.4,0.14,0,0,0,0.558717055172168,0,0,1.1358251856573,0,0,0,0,1.49878278451092e-09,1.92700643722833e-09,4.28223652717407e-09,0.358717056670951,0.347955544970822,0,0,0,0,0,0,0.213244453102171,4.39588699125837,0,1.4,17.2,0,-6.07468372405265e-18,0.016,0,0,0.0488,0,0.2,0.5612,1.4,0,0,0,0,0,0,603.41442101965,603.41442101965,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,3,0.28,0.2576,0.0224,0.0648,0.0168,0.6,0.048,2.8,0.28,0,0,0,1.54437507105651,0.343292003540605,0,1.46195258902088,0,0,0,0,4.49634835353277e-10,5.78101931168499e-10,1.28467095815222e-09,0.573549734632208,0.556343242593242,0.334166666666667,6.68333333333333,0,0,0.0133666666666667,0,0,4.39588699125837,3.88333333333333,0,21.0833333333333,0,3.14842855801799e-17,0.0224,0,0,0.0436567568286566,0,0.28,0.556343243171343,2.8,0.345417052785837,0.345417052785837,0.345417052785837,0,0,0,1667.92507717115,1667.92507717114,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,4,0.27,0.2484,0.0216,0.0632,0.0162,0.59,0.0472,2.8,0.28,0,0,0,1.54122096470581,0.3501378971899,0,1.79458359135128,0,0,0,0,4.49634835353277e-10,5.78101931168499e-10,1.28467095815222e-09,0.573549734632208,0.556343242593242,0.334166666666667,6.68333333333333,0,0,0.0133666666666667,0,0,4.39588699125837,16.9416666666667,13.0583333333333,24.9666666666667,0,3.14842855801799e-17,0.0216,0,0,0.0336567568286565,0,0.27,0.556343243171343,2.8,0.376929708236227,0.376929708236227,0.376929708236227,0,0,0,1664.51864231238,1664.51864231238,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,5,0.29,0.2668,0.0232,0.0664,0.0174,0.61,0.0488,3.15,0.315,0,0,0,1.54755328598658,0.331463252667936,0,2.10947368138582,0,0,0,0,4.49634835353277e-10,5.78101931168499e-10,1.28467095815222e-09,0.578556700434947,0.561199999421898,0.334166666666667,6.68333333333333,0,0,0.0133666666666667,0,0,4.39588699125837,3.53333333333333,0,28.5,0,3.14842855801799e-17,0.0232,0,0,0.0488,0,0.29,0.5612,3.15,0.397976930201079,0.397976930201079,0.397976930201079,0,0,0,1671.35754929562,1671.35754929562,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,6,0.38,0.3496,0.0304,0.0808,0.0228,0.69,0.0552,3.5,0.35,0,0,0,0,0,0.379999998215801,1.70947368326393,0,0,0,0,1.78419865965638e-09,2.29396970527249e-09,5.09771045616108e-09,0,0,0,0,0,0,0,0,0.63479999770603,3.72767646735728,0,3.5,25,0,2.43947912448433e-17,0.0304,0,0,0.0552,0,0.38,0.6348,3.5,0.0971476554377039,0.0971476554377039,0.0971476554377039,0,0,0,1.70673273006825e-06,1.70673273006825e-06,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,7,0.4,0.368,0.032,0.084,0.024,0.78,0.0624,4.2,0.42,0,0,0,0,0,0.399999999550365,1.28842105215828,0,0,0,0,4.49634835353277e-10,5.78101931168499e-10,1.28467095815222e-09,0,0,0,0,0,0,0,0,0.717599999421898,2.97230804691318,0,4.2,20.8,0,3.14842855801799e-17,0.032,0,0,0.0624,0,0.4,0.7176,4.2,0.104762595434974,0.104762595434974,0.104762595434974,0,0,0,4.30112692845585e-07,2.85800193386544e-07,1.44312499459041e-07,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,8,0.42,0.3864,0.0336,0.0872,0.0252,0.86,0.0688,4.9,0.49,0,0,0,0,0,0.419999999550365,0.846315789473684,0,0,0,0,4.49634835353277e-10,5.78101931168499e-10,1.28467095815222e-09,0,0,0,0,0,0,0,0,0.791199999421898,2.13946594225855,0,4.9,15.9,0,3.14842855801799e-17,0.0336,0,0,0.0688,0,0.42,0.7912,4.9,0,0,0,0,0,0,4.30112692845585e-07,1.98425592812286e-07,2.31687100033299e-07,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,9,0.5,0.46,0.04,0.1,0.03,0.83,0.0664,5.6,0.56,0,0,0,0,0,0.5,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7636,1.33567646857434,0,5.6,10.3,0,0,0.04,0,0,0.0664,0,0.5,0.7636,5.6,0,0,0,0,0,0,0,1.28235813722367e-07,-1.28235813722367e-07,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,10,0.54,0.4968,0.0432,0.1064,0.0324,0.75,0.06,6.3,0.63,0.922584900866113,0,0,0,0,0,0.32,0.922584900866113,0,0,0,4.49634835353277e-10,5.78101931168499e-10,1.28467095815222e-09,0.382584901315748,0.371107354276275,0,0,0,0,0,0,0.318892645145623,1,0,6.3,4,0,3.14842855801799e-17,0.0432,0,0,0.06,0,0.54,0.69,6.3,0,0,0,0,0,0,4.30112692845585e-07,6.63114584061241e-08,3.63801234439461e-07,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,11,0.6,0.552,0.048,0.116,0.036,0.68,0.0544,7,0.7,3.28340810928196,0,0,0,0.846911627536194,0,1.12456604615938,3.28340810928196,0,0,0,0,0,0,1.31649648174577,1.27700158729339,0.5,10,0,0,0.02,0.597001587293394,0,1.56715150792872,3,0,7,0,0,0.048,0,0,0,0,0.6,0.68,7,0.0156207970606677,0.0156207970606677,0.0156207970606677,0,0,0,0,7.4787879365729e-08,-7.4787879365729e-08,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,12,0.58,0.5336,0.0464,0.1128,0.0348,0.64,0.0512,7,0.7,3.20865617797235,0,0,0,0.404873172882816,0,1.50919556039806,3.20865617797235,0,0,0,0,0,0,1.31649648174577,1.27700158729339,0.872390887830544,17.4478177566109,0,0,0.0348956355132218,0.637001587293394,0,2.17230301585745,10.4478177566109,0,17.4478177566109,0,0,0.0464,0,0,0,0,0.58,0.64,7,0.0156207970606677,0.0156207970606677,0.0156207970606677,0,0,0,0,7.76288759046647e-08,-7.76288759046647e-08,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,13,0.56,0.5152,0.0448,0.1096,0.0336,0.61,0.0488,7,0.7,2.95849855833442,0,0,0,0.174715553244883,0,1.6751753359807,2.95849855833442,0,0,0,0,0,0,1.31649648174577,1.27700158729339,0.872390887830545,17.4478177566109,0,0,0.0348956355132218,0.667001587293394,0,2.80595452378617,10.4478177566109,0,27.8956355132218,0,0,0.0448,0,0,0,0,0.56,0.61,7,0.015620797060656,0.015620797060656,0.015620797060656,0,0,0,0,8.39610512066905e-08,-8.39610512066905e-08,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,14,0.55,0.506,0.044,0.108,0.033,0.6,0.048,7,0.7,1.11681134211954,0,0,0,0,0,1.6751753359807,1.11681134211954,0,0,0,0.36,0.462857142857143,1.02857142857143,0.141384388807069,0.137142857142857,0.755218224338912,15.1043644867782,0,0,0.0302087289735565,0,0,2.80595452378617,19.0521822433891,10.9478177566109,36,0,5.55111512312578e-17,0.044,0,0,0,0,0.55,0.6,7,0.0484153289835243,0.0484153289835243,0.0484153289835243,0,0,0,344.369602285714,390.28555050119,0,0,0,45.9159482154752,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,15,0.56,0.5152,0.0448,0.1096,0.0336,0.61,0.0488,6.65,0.665,0.679485799804992,0,0,0,0,0,1.6751753359807,0.679485799804992,0,0,0,0.36774372509969,0.472813360842458,1.05069635742769,0.141429524904682,0.137186639157542,0.3325,6.65,0,0,0.0133,0,0,2.80595452378617,15,15,36,0,0,0.0448,0,0,0,0,0.56,0.61,6.65,0.0156207970606573,0.0156207970606573,0.0156207970606573,0,0,0,351.77711209902,398.68072758633,0,0,0,46.90361548731,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,16,0.6,0.552,0.048,0.116,0.036,0.64,0.0512,6.65,0.665,0,0,0,0,0,0,1.6751753359807,0,0,0,0,0.78774372509969,1.01281336084246,2.25069635742769,0,0,0.180522812595856,3.61045625191711,0,0,0.00722091250383423,0.372813360842459,0,3.16012721658651,0,3.03954374808289,32.9604562519171,0,0,0.048,0,0,0,0,0.6,0.64,6.65,0.0406319638590782,0.0406319638590782,0.0406319638590782,0,0,0,753.54164809902,801.55508044211,0,0,0,48.0134323430893,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,17,0.68,0.6256,0.0544,0.1288,0.0408,0.7,0.056,6.3,0.63,0,0,0,0,0,0,1.6751753359807,0,0,0,0,0.86774372509969,1.1156705036996,2.47926778599911,0,0,0.180522812595856,3.61045625191711,0,0,0.00722091250383423,0.415670503699602,0,3.55501419510113,13.6552281259586,16.3447718740414,30.2709125038342,0,0,0.0544,0,0,0,0,0.68,0.7,6.3,0.0597305801547694,0.0597305801547694,0.0597305801547694,0,0,0,830.068226384735,857.865838021068,0,0,0,27.7976116363339,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,18,0.78,0.7176,0.0624,0.1448,0.0468,0.79,0.0632,5.95,0.595,0,0,0,0,0,0,1.6751753359807,0,0,0,0,0.896803059425668,1.15303250497586,2.56229445550191,0,0,0.112310634063142,2.24621268126284,0,0,0.00449242536252569,0.363032504975859,0,3.8998950748282,13.1481063406314,16.8518936593686,26.5671251850971,0,0,0.0624,0,0,0,0,0.78,0.79,5.95,0,0,0,0,0,0,857.865869175081,857.865869175081,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,19,0.86,0.7912,0.0688,0.1576,0.0516,0.87,0.0696,5.6,0.56,0,0,0,0,0,0.00570828735681955,1.6691666124472,0,0,0,0,0.896803059425668,1.15303250497586,2.56229445550191,0,0,0.040876294983161,0.817525899663219,0,0,0.00163505179932644,0.283032504975859,0,4.16877595455526,0,4.78247410033678,21.7846510847603,0,0,0.0688,0,0,0,0,0.86,0.87,5.6,0,0,0,0,0,0,857.865869175081,857.865878222304,0,0,0,9.04722308181505e-06,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,20,0.92,0.8464,0.0736,0.1672,0.0552,0.93,0.0744,4.9,0.49,0,0,0,0,0,0.0657082818248438,1.6,0,0,0,0,0.896803064957644,1.1530325120884,2.56229447130755,0,0,0.040876294983161,0.817525899663219,0,0,0.00163505179932644,0.223032512088399,0,4.38065684103924,0,4.08247410033678,17.7021769844235,0,0,0.0736000000000001,0,0,0,0,0.92,0.93,4.9,0,0,0,0,0,0,857.86587446687,857.86587446687,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,21,0.78,0.7176,0.0624,0.1448,0.0468,0.95,0.076,4.2,0.42,0,0,0,0,0,0,1.6,0,0,0,0,0.896803064957644,1.1530325120884,2.56229447130755,0,0,0.11231063938235,2.24621278764699,0,0,0.00449242557529399,0.203032512088399,0,4.57353772752322,0,1.95378721235301,15.7483897720705,0,0,0.0624,0,0,0,0,0.78,0.95,4.2,0,0,0,0,0,0,857.86587446687,857.865855586317,0,0,0,-1.88805530099145e-05,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,22,0.76,0.6992,0.0608,0.1416,0.0456,0.89,0.0712,3.5,0.35,0,0,0,0,0,0,1.6,0,0,0,0,0.896803064957644,1.1530325120884,2.56229447130755,0,0,0.131541408613119,2.63082817226238,0,0,0.00526165634452476,0.263032512088399,0,4.8234186140072,0,0.869171827737621,14.8792179443329,0,0,0.0608,0,0,0,0,0.76,0.89,3.5,0,0,0,0,0,0,857.86587446687,857.865799994141,0,0,0,-7.44727298718217e-05,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,23,0.42,0.3864,0.0336,0.0872,0.0252,0.79,0.0632,3.15,0.315,0,0,0,0,0,0,1.6,0,0,0,0,0.696370509740267,0.8953335125232,1.98963002782933,0,0,0.265740874750257,5.31481749500514,0,0,0.0106296349900103,0.1053335125232,0,4.92348545090424,16.0824087475026,13.9175912524974,17.044035439338,0,0,0.0336,0,0,0,0,0.42,0.79,3.15,0.0622436830174876,0.0622436830174876,0.0622436830174876,0,0,0,666.135654118766,666.135654118766,0,0,0,0,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,24,0.3,0.276,0.024,0.068,0.018,0.69,0.0552,2.8,0.28,0,0,0,0,0,0,1.6,0,0,0,0,0.599310157154423,0.770541630627115,1.71231473472692,0,0,0.287798228033099,5.75596456066198,0,0,0.011511929121324,0.0805416306271151,0,5,16.477982280331,13.522017719669,20,0,0,0.024,0,0,0,0,0.3,0.69,2.8,0.33405610637138,0.33405610637138,0.33405610637138,0,0,0,573.289445736271,581.814621363855,0,0,0,8.52517562758426,3.2,1.6,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,2,1,0.85,0.748,0.102,0.224,0.034,1.45,0.087,4,0.32,0,4.22213002086876,0,0,0.866799874093609,0,3.22345988038893,0,0,4.22213002086876,0,0.224999999999999,0.289285714285714,0.642857142857141,1.84913014677515,1.7936562423719,0.73,14.6,0,0,0.0292,0.719941956657613,0,4.68394485882473,22.8,12.2,60.6,0,1.11022302462516e-16,0.224,0.122,0,0.087,0,0.972,1.363,4,0,0,0,0,0,0,215.231001428571,4.82157254198317e-07,215.231000946414,0,0,0,4.8,2.4,8,4,100,50
S2_Normal_WithStorage_NoCarbon,centralized,2,2,0.82,0.7216,0.0984,0.2168,0.0328,1.42,0.0852,4,0.32,0,4.24317919985326,0,0,1.13907850056454,0,4.30558445592524,0,0,4.24317919985326,0,0.442629447486432,0.569095003911126,1.26465556424695,1.84913014677515,1.7936562423719,0.73,14.6,0,0,0.0292,1.02795124628303,0,5.66049854279361,22.8,12.2,71.2,0,2.22044604925031e-16,0.2168,0.1184,0,0.0852,0,0.9384,1.3348,4,0,0,0,0,0,0,423.411463307911,1.07269501897567e-06,423.411462235216,0,0,0,4.8,2.4,8,4,100,50
