Scenario,Method,Iteration,PrimalResidual,DualResidual
S3_Carbon_NoDR,admm,1,0.884720954511323,1
S3_Carbon_NoDR,admm,2,0.170847145323337,0.376668873820446
S3_Carbon_NoDR,admm,3,0.111271338349138,0.227413182299629
S3_Carbon_NoDR,admm,4,0.0959984519947282,0.156709434138773
S3_Carbon_NoDR,admm,5,0.0743276157156805,0.0821686851916495
S3_Carbon_NoDR,admm,6,0.0597171017120451,0.0455109707158197
S3_Carbon_NoDR,admm,7,0.0412617096674871,0.0255611811569405
S3_Carbon_NoDR,admm,8,0.0317498273981913,0.0536230226183697
S3_Carbon_NoDR,admm,9,0.0356416239407253,0.0320687091342839
S3_Carbon_NoDR,admm,10,0.0365328113881221,0.0156736159349222
S3_Carbon_NoDR,admm,11,0.033219701732394,0.0121067217638579
S3_Carbon_NoDR,admm,12,0.0265679136573607,0.00860228027196941
S3_Carbon_NoDR,admm,13,0.0227051123319549,0.00774270633512953
S3_Carbon_NoDR,admm,14,0.0202509409557903,0.0087600679668381
S3_Carbon_NoDR,admm,15,0.0190068244067258,0.00854971687705659
S3_Carbon_NoDR,admm,16,0.0177874443165018,0.00823038506675019
S3_Carbon_NoDR,admm,17,0.015400220331403,0.00797446445307445
S3_Carbon_NoDR,admm,18,0.0137598882306385,0.00782903950793784
S3_Carbon_NoDR,admm,19,0.0114191508599067,0.0064821432484105
S3_Carbon_NoDR,admm,20,0.00965800852142961,0.00640334602579557
S3_Carbon_NoDR,admm,21,0.00832736590373695,0.00628668146241153
S3_Carbon_NoDR,admm,22,0.00594613674821776,0.00614224113012213
S3_Carbon_NoDR,admm,23,0.00520400169839934,0.00609076223325597
S3_Carbon_NoDR,admm,24,0.00465627905718607,0.00586723872387996
S3_Carbon_NoDR,admm,25,0.00425870249200904,0.00573863880398551
S3_Carbon_NoDR,admm,26,0.00431152476075975,0.00554965918967054
S3_Carbon_NoDR,admm,27,0.00482562761948656,0.00487394358348797
S3_Carbon_NoDR,admm,28,0.00487958112503291,0.00460839175928491
S3_Carbon_NoDR,admm,29,0.00496261276462144,0.00442304701993002
S3_Carbon_NoDR,admm,30,0.0049141736479876,0.00430678010030977
S3_Carbon_NoDR,admm,31,0.00473198075734357,0.00426277944293244
S3_Carbon_NoDR,admm,32,0.00448433722948404,0.00425851614336772
S3_Carbon_NoDR,admm,33,0.024897994719176,0.0254061611427725
S3_Carbon_NoDR,admm,34,0.0205784979829816,0.0105078732092555
S3_Carbon_NoDR,admm,35,0.0199746544009342,0.00960818183850912
S3_Carbon_NoDR,admm,36,0.0198250866054465,0.00933718313522458
S3_Carbon_NoDR,admm,37,0.0186603593557719,0.00940272912369811
S3_Carbon_NoDR,admm,38,0.0166064160045804,0.0101516099463468
S3_Carbon_NoDR,admm,39,0.0188711033556191,0.0256914888292433
S3_Carbon_NoDR,admm,40,0.0166394393858149,0.00918186559937039
S3_Carbon_NoDR,admm,41,0.0149302871702652,0.0086024614844759
S3_Carbon_NoDR,admm,42,0.0132706490851233,0.00760906937057431
S3_Carbon_NoDR,admm,43,0.0123146787487673,0.00501974388756265
S3_Carbon_NoDR,admm,44,0.0121637707738663,0.00377532535656603
S3_Carbon_NoDR,admm,45,0.0110877903215557,0.00435381060897115
S3_Carbon_NoDR,admm,46,0.00886523194353301,0.00544966497712099
S3_Carbon_NoDR,admm,47,0.00722778330962872,0.00592964430341506
S3_Carbon_NoDR,admm,48,0.00645865302711971,0.00585006871519404
S3_Carbon_NoDR,admm,49,0.00633385794515233,0.00549062016682426
S3_Carbon_NoDR,admm,50,0.00583878431495815,0.00494421941924814
S3_Carbon_NoDR,admm,51,0.00595089894819675,0.00399551807082235
S3_Carbon_NoDR,admm,52,0.00581539875813626,0.00368748964575184
S3_Carbon_NoDR,admm,53,0.00542551015308118,0.00365182330712885
S3_Carbon_NoDR,admm,54,0.00463526821789843,0.00381813583738872
S3_Carbon_NoDR,admm,55,0.00378980596528551,0.00393183741727248
S3_Carbon_NoDR,admm,56,0.00352496924461432,0.00386662078815641
S3_Carbon_NoDR,admm,57,0.00324582310532171,0.00372905085855909
S3_Carbon_NoDR,admm,58,0.00316609201967466,0.00358546775210196
S3_Carbon_NoDR,admm,59,0.0031992305811573,0.00331011636415329
S3_Carbon_NoDR,admm,60,0.00312920383579675,0.0030347847903048
S3_Carbon_NoDR,admm,61,0.00277270166567021,0.00295745156502061
S3_Carbon_NoDR,admm,62,0.00269474201328247,0.00289235746386347
S3_Carbon_NoDR,admm,63,0.0250374067564416,0.0240728567955145
S3_Carbon_NoDR,admm,64,0.0206498945845543,0.0103749386086842
S3_Carbon_NoDR,admm,65,0.0199733239509207,0.00920430659205494
S3_Carbon_NoDR,admm,66,0.0199154486969665,0.00867898867480755
S3_Carbon_NoDR,admm,67,0.0188891642370434,0.00874825946204642
S3_Carbon_NoDR,admm,68,0.0158430278028425,0.00957487412284037
S3_Carbon_NoDR,admm,69,0.0189315476052711,0.0243555012136162
S3_Carbon_NoDR,admm,70,0.0152080435554911,0.0087634132459625
S3_Carbon_NoDR,admm,71,0.0135288879503555,0.00842984068419307
S3_Carbon_NoDR,admm,72,0.0130376025860462,0.00685737310594498
S3_Carbon_NoDR,admm,73,0.012752669410019,0.00453908133038103
S3_Carbon_NoDR,admm,74,0.0122098639162509,0.00304261956018131
S3_Carbon_NoDR,admm,75,0.0111900271294638,0.00359272896578443
S3_Carbon_NoDR,admm,76,0.00888205962309605,0.00493553758119438
S3_Carbon_NoDR,admm,77,0.0065300040237435,0.00559308605519921
S3_Carbon_NoDR,admm,78,0.00566028151332971,0.00555734899199581
S3_Carbon_NoDR,admm,79,0.00563735942572676,0.00508176337551889
S3_Carbon_NoDR,admm,80,0.0060660080516949,0.00395267678840293
S3_Carbon_NoDR,admm,81,0.00573355034943565,0.00347301172287491
S3_Carbon_NoDR,admm,82,0.005248055659654,0.00342515210928111
