Scenario,Method,Bus,TimeSlot,Voltage_pu,VoltageSq
S3_Carbon_NoDR,admm,1,1,1.05,1.1025
S3_Carbon_NoDR,admm,1,2,1.05,1.1025
S3_Carbon_NoDR,admm,1,3,1.05,1.1025
S3_Carbon_NoDR,admm,1,4,1.05,1.1025
S3_Carbon_NoDR,admm,1,5,1.05,1.1025
S3_Carbon_NoDR,admm,1,6,1.05,1.1025
S3_Carbon_NoDR,admm,1,7,1.05,1.1025
S3_Carbon_NoDR,admm,1,8,1.05,1.1025
S3_Carbon_NoDR,admm,1,9,1.05,1.1025
S3_Carbon_NoDR,admm,1,10,1.05,1.1025
S3_Carbon_NoDR,admm,1,11,1.05,1.1025
S3_Carbon_NoDR,admm,1,12,1.05,1.1025
S3_Carbon_NoDR,admm,1,13,1.05,1.1025
S3_Carbon_NoDR,admm,1,14,1.05,1.1025
S3_Carbon_NoDR,admm,1,15,1.05,1.1025
S3_Carbon_NoDR,admm,1,16,1.05,1.1025
S3_Carbon_NoDR,admm,1,17,1.05,1.1025
S3_Carbon_NoDR,admm,1,18,1.05,1.1025
S3_Carbon_NoDR,admm,1,19,1.05,1.1025
S3_Carbon_NoDR,admm,1,20,1.05,1.1025
S3_Carbon_NoDR,admm,1,21,1.05,1.1025
S3_Carbon_NoDR,admm,1,22,1.05,1.1025
S3_Carbon_NoDR,admm,1,23,1.05,1.1025
S3_Carbon_NoDR,admm,1,24,1.05,1.1025
S3_Carbon_NoDR,admm,2,1,1.0485862588134267,1.0995331421723387
S3_Carbon_NoDR,admm,2,2,1.048598667424702,1.099559165324861
S3_Carbon_NoDR,admm,2,3,1.0472328199237733,1.0966965791254983
S3_Carbon_NoDR,admm,2,4,1.0468809977086153,1.0959598233633858
S3_Carbon_NoDR,admm,2,5,1.046849059721817,1.0958929538404525
S3_Carbon_NoDR,admm,2,6,1.04799191104493,1.0982870456156046
S3_Carbon_NoDR,admm,2,7,1.047912779414111,1.0981211932594073
S3_Carbon_NoDR,admm,2,8,1.0478264593868372,1.097940288991155
S3_Carbon_NoDR,admm,2,9,1.0476806274635375,1.0976346971623916
S3_Carbon_NoDR,admm,2,10,1.047571637077383,1.0974063348089884
S3_Carbon_NoDR,admm,2,11,1.0475049855861809,1.097266694827905
S3_Carbon_NoDR,admm,2,12,1.047487076048648,1.0972291744889462
S3_Carbon_NoDR,admm,2,13,1.0474709904349555,1.0971954758027869
S3_Carbon_NoDR,admm,2,14,1.0474880374859097,1.0972311886760826
S3_Carbon_NoDR,admm,2,15,1.0475174652847383,1.097292840076563
S3_Carbon_NoDR,admm,2,16,1.0474389360167975,1.097128324684001
S3_Carbon_NoDR,admm,2,17,1.0473674688085568,1.096978614718443
S3_Carbon_NoDR,admm,2,18,1.0474195315210062,1.0970876750116842
S3_Carbon_NoDR,admm,2,19,1.0474487766362959,1.0971489396768728
S3_Carbon_NoDR,admm,2,20,1.0475660190992273,1.0973945643714025
S3_Carbon_NoDR,admm,2,21,1.0477568269487376,1.097794368417687
S3_Carbon_NoDR,admm,2,22,1.0479457800339982,1.098190357891065
S3_Carbon_NoDR,admm,2,23,1.047904752451308,1.0981043702100375
S3_Carbon_NoDR,admm,2,24,1.0475146826143198,1.097287010292579
