Scenario,Method,TimeSlot,DataSum_Pload,DataSum_PloadFixed,DataSum_PdrShiftBase,DataSum_PdrShiftMax,DataSum_PdrCutEmax,DataSum_Hload,DataSum_HdrCutMax,DataSum_H2load,DataSum_H2drCutMax,DataSum_Ppv,DataSum_Pwind,DataSum_PcompFixed,Sum_Pgrid,Sum_Pch,Sum_Pdis,Sum_PpvUse,Sum_PpvCurt,Sum_PwindUse,Sum_PwindCurt,Sum_Pchp,Sum_Hchp,Sum_Fgas,Sum_Peb,Sum_Heb,Sum_Pelec,Sum_H2prod,Sum_H2cons_fc,Sum_Pfc,Sum_Pcomp,Sum_Hch,Sum_Hdis,Sum_H2ch,Sum_H2dis,Sum_H2short,Sum_Hdump,Sum_PdrShift,Sum_PdrShiftDev,Sum_PdrCutE,Sum_HdrCut,Sum_H2drCut,Sum_PloadDR,Sum_HloadDR,Sum_H2loadDR,Sum_Qpv,Sum_Qwind,Sum_Qes,Sum_QinjLocal,Sum_PinjLocal,Sum_CarbonEmission_kg,Sum_CarbonQuota_kg,Sum_CarbonBuyMarket_kg,Sum_CarbonSellMarket_kg,Sum_CarbonTradeWithCommunities_kg,Sum_CarbonUnusedAllowance_kg,Mean_SOC_e,Mean_SOC_th,Mean_SOC_h2,Mean_V,TotalRenewableAvailable_MW,TotalRenewableUsed_MW,TotalRenewableCurtailment_MW
S3_Carbon_NoDR,centralized,1,1.37,1.37,0,0,0,2.285,0,7.6,0,0,4.22213002086876,0,6.51911866229577e-09,0.942373433834032,0.712703524538499,0,0,4.22213002066463,2.04138039805457e-10,0.4022434037629,0.517170090552299,1.149266867894,2.13968290888893,2.07549242162226,0.850981358717603,17.0196271743521,1.7011705165478e-08,3.06210692978604e-10,0.0340392543487041,1.00717009663225,0.699507584932617,26.9988008707166,17.5791737122478,1.12958565460757e-09,4.74930718831428e-10,0,0,0,0,0,1.37,2.285,7.6,1.07001588624457e-06,1.01979252237031e-06,9.4066157798497e-07,0,0,384.77889864032,418.996460021912,6.3377610323343e-06,34.2175677193273,-4.60964599824365e-10,0,1.98168017526201,5.50199593939579,84.6065423861563,0,4.22213002086876,4.22213002066463,2.04138039805457e-10
S3_Carbon_NoDR,centralized,2,1.3,1.3,0,0,0,2.23,0,7.6,0,0,4.24317919985326,0,0.070892029611637,1.07867921303349,0.846838172802968,0,0,4.24317919965047,2.02791561321192e-10,0.487500003889896,0.626785719287009,1.39285715397113,2.13968304470506,2.07549255336391,1.08658379665573,21.7316759331146,1.70064550333119e-08,3.06116190599614e-10,0.0434633518662292,1.14678572536583,0.674507453189961,29.4873123916181,15.3556364743811,1.12961467967327e-09,4.75052549423091e-10,0,0,0,0,0,1.3,2.23,7.6,1.05331426838591e-06,9.24364518855193e-07,6.43443897221812e-07,0,0,542.897232130145,542.897225423528,1.70999171135239e-05,1.03934222052277e-05,5.59623458684655e-11,0,2.02612572507243,5.62847547060676,89.3171010252364,0,4.24317919985326,4.24317919965047,2.02791561321192e-10
S3_Carbon_NoDR,centralized,3,1.35,1.35,0,0,0,2.19,0,15.2,0,0,0.311350076104985,0,4.5678176122423,0.000115848773710985,7.72290329368492e-08,0,0,0.311350075940621,1.64363300747539e-10,0.749999997704484,0.964285711334337,2.14285713629853,2.52500469638663,2.44925455549503,1.68658386370997,33.7316772741993,1.67857272091239e-08,3.0214308976423e-10,0.0674633545483987,1.50428571580405,0.280745449449627,32.0070321318294,13.4753548732865,1.13063621847944e-09,4.74947775552792e-10,0,0,0,0,0,1.35,2.19,15.2,1.31357187715988,1.31357300858498,1.31357248233724,0,0,5650.67969045441,5650.6796500125,4.79824063285871e-05,7.54053444939891e-06,1.60298441187479e-11,0,2.02616238341953,6.00632543869949,95.494326778084,0,0.311350076104985,0.311350075940621,1.64363300747539e-10
S3_Carbon_NoDR,centralized,4,1.32,1.32,0,0,0,2.18,0,15.2,0,0,0.150131077302458,0,5.77610118490655,0.698206848545407,8.13535954780459e-08,0,0,0.150131077138397,1.64061458862719e-10,0.749999998546058,0.96428571241636,2.14285713870302,2.52500475228987,2.44925460972117,2.05098148212643,41.0196296425286,1.67881756555329e-08,3.02187161799591e-10,0.0820392592850573,1.50428571684822,0.270745395185835,37.0452309650474,11.2256013381783,1.13060357861632e-09,4.75141689881831e-10,0,0,0,0,0,1.32,2.18,15.2,1.63929211258677,1.59870515214579,1.63929295169743,0,0,6955.62594973683,5954.60080108814,1001.02515508138,6.43281932209835e-06,2.80522272078088e-11,0,2.24726119024713,6.38768419809229,104.100869987042,0,0.150131077302458,0.150131077138397,1.64061458862719e-10
S3_Carbon_NoDR,centralized,5,1.39,1.39,0,0,0,2.23,0,17.1,0,0,0.0571927426120012,0,5.36506158818544,0.999640032540648,4.46972441493299e-08,0,0,0.0571927424482911,1.63710080214319e-10,1.11000001766935,1.42714287986059,3.17142862191243,2.22659402569997,2.15979620492897,1.84232724525368,36.8465449050735,1.67752716831131e-08,3.01954890296036e-10,0.0736930898101471,1.47415353053448,0.117214446220947,32.8896234310568,13.1430785416285,1.13096831400102e-09,4.76032158136519e-10,0,0,0,0,0,1.39,2.23,17.1,1.53194191567079,1.53194317211357,1.53193987436006,0,0,6856.07280585675,5920.69147332708,935.381338965605,6.43592614354706e-06,6.19593265582807e-11,0,2.5638138515351,6.8133716068945,110.683051616852,0,0.0571927426120012,0.0571927424482911,1.63710080214319e-10
S3_Carbon_NoDR,centralized,6,1.65,1.65,0,0,0,2.41,0,19,0,0,0.0546297000124259,0,1.73692475364575,9.11823620655779e-09,0.728729677379547,0,0,0.0546296998698456,1.42580301731865e-10,1.29670088549128,1.6671868527745,3.70485967283222,0.87496468682368,0.84871574621897,1.24232723149596,24.8465446299191,1.73173087128801e-08,3.11711556831842e-10,0.0496930892598382,0.250153541046063,0.144250942536245,24.0752019695932,18.2286573558602,1.13139536619875e-09,4.8364909299714e-10,0,0,0,0,0,1.65,2.41,19,0.625845829984129,0.625846012467119,0.625846000374844,0,0,3116.27975677121,2853.48995858224,262.789804633421,6.44482503768769e-06,1.45433887155377e-10,0,2.30811923078059,6.8419725290902,112.631899821431,0,0.0546297000124259,0.0546296998698456,1.42580301731865e-10
S3_Carbon_NoDR,centralized,7,2,2,0,0,0,2.685,0,22.8,0,0,0.0362572974971761,0,0.4534600396398,6.24573531457888e-09,1.10272746581406,0,0,0.0362572973851348,1.12041362299031e-10,1.3779860582081,1.77169636055327,3.93710302345171,0.0854101021993067,0.0828477991333275,0.850981493191958,17.0196298638392,1.76663805805693e-08,3.17994850450248e-10,0.0340392597276783,1.18821834436072e-08,0.830455852668588,18.3005802210162,24.0809503811964,1.13226276112081e-09,4.73001526835048e-10,0,0,0,0,0,2,2.685,22.8,0.0337757168651683,0.0337757119739214,0.0337757433565999,0,0,1807.89381731205,1807.54253458833,0.351289131635264,6.40862455256699e-06,1.71858971498295e-10,0,1.9211973149289,6.55058451437265,110.70510976804,0,0.0362572974971761,0.0362572973851348,1.12041362299031e-10
S3_Carbon_NoDR,centralized,8,2.56,2.56,0,0,0,3.015,0,26.6,0,0,0.0299449123841541,0,0.0680550897575127,5.18453482750542e-09,1.67546787861726,0,0,0.0299449122896649,9.44892220022808e-11,1.65296300894184,2.12523815435379,4.72275145411954,0.0854101015534595,0.0828477985068557,0.750981522294452,15.019630445889,1.78060928133814e-08,3.20509670640865e-10,0.0300392608917781,1.18783663803969e-08,0.806914059490779,15.4025526694588,26.9829222402404,1.13572703681111e-09,4.73060313144202e-10,0,0,0,0,0,2.56,3.015,26.6,-9.14195982867793e-07,-9.45304154864776e-07,-9.46325931405043e-07,0,0,1654.69453577783,1653.44917715307,1.24536497436696,6.34986916059294e-06,5.71311886687909e-10,0,1.33331385038926,6.26745677796187,106.844986577779,0,0.0299449123841541,0.0299449122896649,9.44892220022808e-11
S3_Carbon_NoDR,centralized,9,2.81,2.81,0,0,0,3.23,0,30.4,0,0,0.0405123486886849,0,3.797682765785e-09,5.13159410743099e-09,1.59628276098811,0,0,0.0405123485956686,9.30163099321923e-11,1.82214835514501,2.34276217090073,5.20613815755717,0.0854102254328292,0.0828479186698444,0.541858882964803,10.8371776592961,1.77252516710514e-08,3.19054530078926e-10,0.0216743553185921,1.41809333049812e-08,0.804389925084372,12.3430363018697,31.9058586591611,1.13906191088882e-09,4.74009498319106e-10,0,0,0,0,0,2.81,3.23,30.4,-1.05131080166359e-06,-1.08562925572124e-06,-1.04305312438446e-06,0,0,1743.03473845387,1743.03463496568,0.00011041327886601,6.92544367288508e-06,-2.06284767045872e-10,0,0.773214637632505,5.98521470347562,100.32404579202,0,0.0405123486886849,0.0405123485956686,9.30163099321923e-11
S3_Carbon_NoDR,centralized,10,2.99,2.99,0,0,0,3.36,0,34.2,0,2.9327391453297,0.00505243988166717,0,1.31962591184319e-09,1.37014228482986e-08,0.555717480930224,2.93273914490615,4.23544754823979e-10,0.00505243977118292,1.10484243281972e-10,1.73377946049205,2.22914502063264,4.95365560140587,0.244722749248985,0.237381066771515,1.91592861997487,38.3185723994974,1.70978233404571e-08,3.07760820128228e-10,0.0766371447989948,6.85482677708088e-09,0.893473919916135,22.9298127609239,18.8112403773853,1.14037597882579e-09,4.65464888854683e-10,0,0,0,0,0,2.99,3.36,34.2,6.20213265760579e-06,6.13005744854772e-06,6.19248995702737e-06,0,0,1658.50262159405,1658.50231669556,0.000311446027983112,6.54844180310735e-06,7.34075911168475e-10,0,0.578226052171228,5.671715084623,101.696903253198,0,2.93779158521136,2.93779158467733,5.34028998105951e-10
