Scenario,Method,Iteration,PrimalResidual,DualResidual
S4__Carbon_DR,admm,1,0.91345589984745,1
S4__Carbon_DR,admm,2,0.154632335739014,0.354030984756381
S4__Carbon_DR,admm,3,0.0863421908180863,0.235955461564811
S4__Carbon_DR,admm,4,0.0828578768903615,0.150916301830299
S4__Carbon_DR,admm,5,0.0754694600529716,0.0923530015707295
S4__Carbon_DR,admm,6,0.0437221166565223,0.0642846497139958
S4__Carbon_DR,admm,7,0.0305221156225887,0.0497154150375764
S4__Carbon_DR,admm,8,0.0274922319744984,0.054415567620858
S4__Carbon_DR,admm,9,0.0203243756133098,0.0348290386092429
S4__Carbon_DR,admm,10,0.0256848206796903,0.0223488986746121
S4__Carbon_DR,admm,11,0.0269200716688465,0.0150145651760956
S4__Carbon_DR,admm,12,0.0220696804272441,0.0117121348116163
S4__Carbon_DR,admm,13,0.0149438509091898,0.0118709624083778
S4__Carbon_DR,admm,14,0.00587241921184202,0.0115154071364528
S4__Carbon_DR,admm,15,0.00580429415856915,0.00994948547968957
S4__Carbon_DR,admm,16,0.00642844688662407,0.00858252117653791
S4__Carbon_DR,admm,17,0.00654894516288026,0.00743344050076081
S4__Carbon_DR,admm,18,0.0063889108309257,0.00613046422566901
S4__Carbon_DR,admm,19,0.00549246451818269,0.00589464881495593
S4__Carbon_DR,admm,20,0.00432061199717465,0.0058270960357691
S4__Carbon_DR,admm,21,0.00379664826282178,0.00561855232596897
S4__Carbon_DR,admm,22,0.00408087496103978,0.005071250293593
S4__Carbon_DR,admm,23,0.00421264016503166,0.00460623133667075
S4__Carbon_DR,admm,24,0.00403912913405098,0.00434848421234223
S4__Carbon_DR,admm,25,0.00342368786588484,0.00425296421063185
S4__Carbon_DR,admm,26,0.00304177411073479,0.00414088176293987
S4__Carbon_DR,admm,27,0.00271795147370542,0.00407906519558888
S4__Carbon_DR,admm,28,0.00242427427109331,0.00400787965696025
S4__Carbon_DR,admm,29,0.00229651374381311,0.00390616530306022
S4__Carbon_DR,admm,30,0.00228352611054855,0.00379410576720638
S4__Carbon_DR,admm,31,0.00223665037904047,0.00370547690437911
S4__Carbon_DR,admm,32,0.00209265895810363,0.00365213030176743
S4__Carbon_DR,admm,33,0.00190622400775247,0.00360926929080656
S4__Carbon_DR,admm,34,0.00172658833145449,0.00355277969600874
S4__Carbon_DR,admm,35,0.00136833555554447,0.0034978750122387
S4__Carbon_DR,admm,36,0.0011041173812485,0.00342300319574983
S4__Carbon_DR,admm,37,0.00104819717032178,0.00332466009000215
S4__Carbon_DR,admm,38,0.00105328564274981,0.0032435597128511
S4__Carbon_DR,admm,39,0.00106669982479194,0.00316494161251473
S4__Carbon_DR,admm,40,0.00105017277580967,0.00309755184722991
S4__Carbon_DR,admm,41,0.00102154871396702,0.00303827277570525
S4__Carbon_DR,admm,42,0.000977124949475969,0.00298506766457512
S4__Carbon_DR,admm,43,0.000901032569099249,0.00293700231454308
S4__Carbon_DR,admm,44,0.000797022731957439,0.00289439481182052
S4__Carbon_DR,admm,45,0.000677540733359312,0.00285329735863623
S4__Carbon_DR,admm,46,0.000582898701367825,0.00280959616458657
S4__Carbon_DR,admm,47,0.000549100399163607,0.00276131079495599
S4__Carbon_DR,admm,48,0.000588849849908287,0.002707037331364
S4__Carbon_DR,admm,49,0.000588935048919949,0.00264981032660837
S4__Carbon_DR,admm,50,0.000602395320158337,0.00259505017104001
S4__Carbon_DR,admm,51,0.000634869981137155,0.00254114714216167
S4__Carbon_DR,admm,52,0.000649942835315025,0.00249080032886523
S4__Carbon_DR,admm,53,0.000631734396902314,0.00244684392504522
S4__Carbon_DR,admm,54,0.000583303841709842,0.00240601786894304
S4__Carbon_DR,admm,55,0.000525823571072728,0.00236767952394769
S4__Carbon_DR,admm,56,0.000468494184432949,0.00233031430709846
