Scenario,Method,Bus,TimeSlot,Voltage_pu,VoltageSq
S4__Carbon_DR,admm,1,1,1.05,1.1025
S4__Carbon_DR,admm,1,2,1.05,1.1025
S4__Carbon_DR,admm,1,3,1.05,1.1025
S4__Carbon_DR,admm,1,4,1.05,1.1025
S4__Carbon_DR,admm,1,5,1.05,1.1025
S4__Carbon_DR,admm,1,6,1.05,1.1025
S4__Carbon_DR,admm,1,7,1.05,1.1025
S4__Carbon_DR,admm,1,8,1.05,1.1025
S4__Carbon_DR,admm,1,9,1.05,1.1025
S4__Carbon_DR,admm,1,10,1.05,1.1025
S4__Carbon_DR,admm,1,11,1.05,1.1025
S4__Carbon_DR,admm,1,12,1.05,1.1025
S4__Carbon_DR,admm,1,13,1.05,1.1025
S4__Carbon_DR,admm,1,14,1.05,1.1025
S4__Carbon_DR,admm,1,15,1.05,1.1025
S4__Carbon_DR,admm,1,16,1.05,1.1025
S4__Carbon_DR,admm,1,17,1.05,1.1025
S4__Carbon_DR,admm,1,18,1.05,1.1025
S4__Carbon_DR,admm,1,19,1.05,1.1025
S4__Carbon_DR,admm,1,20,1.05,1.1025
S4__Carbon_DR,admm,1,21,1.05,1.1025
S4__Carbon_DR,admm,1,22,1.05,1.1025
S4__Carbon_DR,admm,1,23,1.05,1.1025
S4__Carbon_DR,admm,1,24,1.05,1.1025
S4__Carbon_DR,admm,2,1,1.0486205261530726,1.0996050078695467
S4__Carbon_DR,admm,2,2,1.0486704952495665,1.0997098076069711
S4__Carbon_DR,admm,2,3,1.0472124258273714,1.096653864807248
S4__Carbon_DR,admm,2,4,1.0471548814751783,1.0965333457972948
S4__Carbon_DR,admm,2,5,1.047055137773921,1.0963244615387646
S4__Carbon_DR,admm,2,6,1.0480274235569143,1.0983614805273438
S4__Carbon_DR,admm,2,7,1.0482127805382406,1.0987500332837097
S4__Carbon_DR,admm,2,8,1.0479551411310215,1.0982099778229393
S4__Carbon_DR,admm,2,9,1.0477852607223874,1.0978539525870812
S4__Carbon_DR,admm,2,10,1.0476814445937144,1.0976364093459723
S4__Carbon_DR,admm,2,11,1.0475857314518764,1.0974358647415627
S4__Carbon_DR,admm,2,12,1.0475599130465683,1.0973817714221334
S4__Carbon_DR,admm,2,13,1.047537661047629,1.0973351513131375
S4__Carbon_DR,admm,2,14,1.047564962541638,1.0973923507448633
S4__Carbon_DR,admm,2,15,1.047593183821117,1.0974514787884646
S4__Carbon_DR,admm,2,16,1.047518058774652,1.0972940834590152
S4__Carbon_DR,admm,2,17,1.047488880044111,1.0972329538160657
S4__Carbon_DR,admm,2,18,1.0475383998772643,1.0973366992174194
S4__Carbon_DR,admm,2,19,1.0475785215651636,1.097420758844654
S4__Carbon_DR,admm,2,20,1.0476971953877177,1.0976694132232896
S4__Carbon_DR,admm,2,21,1.047874933703804,1.0980418766847517
S4__Carbon_DR,admm,2,22,1.0480705672394806,1.0984519139136864
S4__Carbon_DR,admm,2,23,1.048305357925778,1.0989441234558932
S4__Carbon_DR,admm,2,24,1.0479747991335087,1.0982511796189178
S4__Carbon_DR,admm,3,1,1.0421608905000534,1.0860993216878643
S4__Carbon_DR,admm,3,2,1.0424461545770607,1.0866939851925013
S4__Carbon_DR,admm,3,3,1.033079249511187,1.067252735770597
S4__Carbon_DR,admm,3,4,1.032691560051872,1.0664518582023692
S4__Carbon_DR,admm,3,5,1.0320839108502105,1.065197199035865
S4__Carbon_DR,admm,3,6,1.0384675864726465,1.0784149281543234
S4__Carbon_DR,admm,3,7,1.0398422439670123,1.0812718923383513
S4__Carbon_DR,admm,3,8,1.0383625252652648,1.0781967338752578
S4__Carbon_DR,admm,3,9,1.0373927632750546,1.0761837452954535
S4__Carbon_DR,admm,3,10,1.036795078367271,1.0749440345265955
S4__Carbon_DR,admm,3,11,1.0362152788447718,1.0737421041113482
S4__Carbon_DR,admm,3,12,1.0360666154055171,1.073434031557844
S4__Carbon_DR,admm,3,13,1.0359408082698873,1.0731733582388676
S4__Carbon_DR,admm,3,14,1.0360989969471477,1.0735011314748857
S4__Carbon_DR,admm,3,15,1.0362630636253782,1.0738411370342549
S4__Carbon_DR,admm,3,16,1.035781018631424,1.0728423185571503
S4__Carbon_DR,admm,3,17,1.0356274636004543,1.0725242433635105
S4__Carbon_DR,admm,3,18,1.035979348398687,1.0732532103085681
S4__Carbon_DR,admm,3,19,1.036202841417054,1.0737163285607767
S4__Carbon_DR,admm,3,20,1.0368791376875328,1.0751183461716418
S4__Carbon_DR,admm,3,21,1.0378996074147142,1.0772355950716177
S4__Carbon_DR,admm,3,22,1.039016910540093,1.0795561403882799
S4__Carbon_DR,admm,3,23,1.0403666905323694,1.082362850769275
