Scenario,Method,Iteration,PrimalResidual,DualResidual
S4_HighRE_WithStorage_Carbon,admm,1,0.881599680346258,1
S4_HighRE_WithStorage_Carbon,admm,2,0.251818889932294,0.516224611515027
S4_HighRE_WithStorage_Carbon,admm,3,0.13354914565123,0.23322617696057
S4_HighRE_WithStorage_Carbon,admm,4,0.125271423184131,0.103699559782516
S4_HighRE_WithStorage_Carbon,admm,5,0.0576494366578495,0.0557534201946671
S4_HighRE_WithStorage_Carbon,admm,6,0.0346781258124334,0.038144124652755
S4_HighRE_WithStorage_Carbon,admm,7,0.0153486282356867,0.0335663565038361
S4_HighRE_WithStorage_Carbon,admm,8,0.00849328899248094,0.0285782112666548
S4_HighRE_WithStorage_Carbon,admm,9,0.0084992599271769,0.0240160453050532
S4_HighRE_WithStorage_Carbon,admm,10,0.00748091381321243,0.022286660153731
S4_HighRE_WithStorage_Carbon,admm,11,0.00473752986546133,0.0218135137292594
S4_HighRE_WithStorage_Carbon,admm,12,0.00188725656320884,0.0213809459250489
S4_HighRE_WithStorage_Carbon,admm,13,0.00137661681785637,0.0188055969524917
S4_HighRE_WithStorage_Carbon,admm,14,0.0029850298235347,0.0126079170376367
S4_HighRE_WithStorage_Carbon,admm,15,0.00202945993297148,0.0113789134320879
S4_HighRE_WithStorage_Carbon,admm,16,0.00175838032126376,0.010823000284101
S4_HighRE_WithStorage_Carbon,admm,17,0.00118457015204553,0.0103039879942297
S4_HighRE_WithStorage_Carbon,admm,18,0.00194455889786473,0.00972566326370917
S4_HighRE_WithStorage_Carbon,admm,19,0.00185631847593159,0.00890104952805538
S4_HighRE_WithStorage_Carbon,admm,20,0.00155373547667701,0.00496644029965919
S4_HighRE_WithStorage_Carbon,admm,21,0.00149154099537603,0.00387191641212468
S4_HighRE_WithStorage_Carbon,admm,22,0.00135507630762552,0.00369439065990129
S4_HighRE_WithStorage_Carbon,admm,23,0.000983189403240458,0.00341727703349333
S4_HighRE_WithStorage_Carbon,admm,24,0.000431406920593789,0.00303733143517351
