Scenario,Method,TimeSlot,DataSum_Pload,DataSum_PloadFixed,DataSum_PdrShiftBase,DataSum_PdrShiftMax,DataSum_PdrCutEmax,DataSum_Hload,DataSum_HdrCutMax,DataSum_H2load,DataSum_H2drCutMax,DataSum_Ppv,DataSum_Pwind,DataSum_PcompFixed,Sum_Pgrid,Sum_Pch,Sum_Pdis,Sum_PpvUse,Sum_PpvCurt,Sum_PwindUse,Sum_PwindCurt,Sum_Pchp,Sum_Hchp,Sum_Fgas,Sum_Peb,Sum_Heb,Sum_Pelec,Sum_H2prod,Sum_H2cons_fc,Sum_Pfc,Sum_Pcomp,Sum_Hch,Sum_Hdis,Sum_H2ch,Sum_H2dis,Sum_H2short,Sum_Hdump,Sum_PdrShift,Sum_PdrShiftDev,Sum_PdrCutE,Sum_HdrCut,Sum_H2drCut,Sum_PloadDR,Sum_HloadDR,Sum_H2loadDR,Sum_Qpv,Sum_Qwind,Sum_Qes,Sum_QinjLocal,Sum_PinjLocal,Sum_CarbonEmission_kg,Sum_CarbonQuota_kg,Sum_CarbonBuyMarket_kg,Sum_CarbonSellMarket_kg,Sum_CarbonTradeWithCommunities_kg,Sum_CarbonUnusedAllowance_kg,Mean_SOC_e,Mean_SOC_th,Mean_SOC_h2,Mean_V,TotalRenewableAvailable_MW,TotalRenewableUsed_MW,TotalRenewableCurtailment_MW
SingleScenario,centralized,1,1.37,0,0,0,0,2.285,0,7.6,0,0,0.569274,0,2.37190630413677e-08,2.82464880419641e-08,1.29377505121489,0,0,0.569273999446067,0,0.749999992648836,0.964285704834218,2.14285712185382,0.411049066543381,0.398717594547079,0.799999999207183,15.9999999841437,1.10510164022312e-07,0,0.0319999994607484,3.97758351226646e-08,0.784996848077852,26.7893371516798,18.3893372705915,0,0,0.149599977095878,6.24860634369347e-08,0,0.13699989362471,5.75778451609916e-09,1.36999997709588,2.14800010637529,7.59999999424222,-1.89250924685435e-06,-6.96360586747487e-06,-1.10681086187022e-05,0,0,717.436690013167,813.0949035836,1.32021539283691e-05,95.658226780888,9.26436882764392e-09,0,1.47937718395704,5.15306252204205,84.2666666270294,0,0.569274,0.569273999446067,0
SingleScenario,centralized,2,1.3,0,0,0,0,2.23,0,7.6,0,0,0.92295375,0,0.257398781456089,2.46750938207551e-08,1.45855128558284,0,0,0.922953749458038,0,0.710370914013989,0.913334032303701,2.02963118289711,0.603052456074397,0.584960882392165,1.39059834529664,27.8119669059329,1.10385568555868e-07,0,0.0556239332680556,0.0782911277423157,0.761196237208402,33.4969450034107,13.284978200428,0,0,0.142399974714431,6.33372147060596e-08,0,0.0487999771688358,5.74510126784643e-09,1.29999997471443,2.18120002283116,7.5999999942549,-7.24290145840729e-06,-7.53639502490898e-06,-6.73120697607328e-06,0,0,957.518876012401,957.518263878501,0.000626767513984935,1.46419501922353e-05,9.68469748841017e-09,0,0.967604810869335,4.91076831348442,91.0039888947153,0,0.92295375,0.922953749458038,0
SingleScenario,centralized,3,1.35,0,0,0,0,2.19,0,15.2,0,0,1.56014775,0,6.26977920669625,2.22740108419472,3.14019642020233e-08,0,0,1.56014774941306,0,0.447870937513031,0.575834062516754,1.27963125003723,2.61748169723471,2.53895724631767,2.00280287997335,40.0560575994669,1.0316314715614e-07,0,0.0801121151989338,0.924791366548708,3.327668092966e-08,36.7814761426344,11.9254186384721,0,0,0.145400152135656,1.78350624682827e-07,0,2.58358749341154e-08,6.1031466206051e-09,1.35000015213566,2.18999997416412,15.1999999938969,2.49237234014482,1.87362383887363,1.82056050828202,0,0,7199.78692275054,5049.94802592927,2149.83891202023,1.52072025301647e-05,9.25413701224898e-09,0,1.67294847651325,5.20361890121593,99.2893413961028,0,1.56014775,1.56014774941306,0
SingleScenario,centralized,4,1.32,0,0,0,0,2.18,0,15.2,0,0,1.366026,0,6.52401740196065,1.88791799470742,3.23581812418744e-08,0,0,1.36602599941456,0,0.225000072233168,0.28928580715693,0.642857349237623,2.81443272552739,2.72999974376157,2.01220453830884,40.2440907661769,1.03530930250935e-07,0,0.0804881815323538,0.83928560861153,3.41711754896418e-08,36.9027009564555,11.8586102859476,0,0,0.142400069631829,9.81405015017746e-08,0,2.49196570109258e-08,6.10007826857958e-09,1.32000006963183,2.17999997508034,15.1999999938999,2.32685231678836,2.02804671709169,2.01699571836728,0,0,7261.16986464304,4993.41321522296,2267.75666491745,1.55056055066384e-05,9.26571885884186e-09,0,2.27078916348377,5.46939266528681,107.637371619606,0,1.366026,1.36602599941456,0
SingleScenario,centralized,5,1.39,0,0,0,0,2.23,0,17.1,0,0,0.88946625,0,6.58714622210129,2.63024891856714,2.73858661224692e-08,0,0,0.889466249430081,0,0.487500011141301,0.626785728610244,1.39285717468943,2.47516969914296,2.40091460816867,1.41220459711627,28.2440919423254,1.03516632871407e-07,0,0.0564881838846507,0.797700393611579,3.20973043493518e-08,27.6279037435875,16.4838118967947,0,0,0.149601115059361,1.14206337851919e-06,0,2.61225815284904e-08,6.19489435397269e-09,1.39000111505936,2.22999997387742,17.0999999938051,2.3466174548157,2.10563321508396,1.95702763301759,0,0,7580.45176695553,5323.95414305403,2256.49763926221,1.5369058876247e-05,9.25438037313597e-09,0,3.10370131142107,5.7219977786686,111.352068901869,0,0.88946625,0.889466249430081,0
SingleScenario,centralized,6,1.65,0,0,0,0,2.41,0,19,0,0,0.18465675,0,0.339393235258425,2.31403411064023e-08,1.59347007947166,0,0,0.184656749573887,0,0.936666646787084,1.20428568872625,2.67619041939167,0.606854136619498,0.588648512520913,0.766665967665423,15.3333193533085,1.11381150144367e-07,0,0.030666638119944,5.27393597416851e-08,0.473066073476191,19.7890598545824,23.4557406045345,0,0,0.175799949112297,7.82065785312055e-08,0,0.143999779393465,6.28178392122156e-09,1.6499999491123,2.26600022060654,18.9999999937182,2.10528066922008e-05,2.03171100372564e-05,2.41785851613748e-05,0,0,1262.54336249122,1262.54343280187,1.65830063536783e-05,8.69016075112651e-05,9.26770127307464e-09,0,2.54458901016263,5.55600969941324,110.129841985216,0,0.18465675,0.184656749573887,0
SingleScenario,centralized,7,2,0,0,0,0,2.685,0,22.8,0,0,0.09644925,0,1.01763918197615e-08,2.83611007397075e-08,2.01395785149364,0,0,0.0964492495685617,0,1.00277776146437,1.28928569331134,2.86507931846964,0.315852495505924,0.306376920640746,0.766665774830283,15.3333154966057,1.10291193742644e-07,0,0.0306666296225562,4.02591896229357e-08,0.932137479523816,17.9977555137856,25.4644401192009,0,0,0.213999947254648,8.15693818658084e-08,0,0.157199948158168,6.34285104062275e-09,1.99999994725465,2.52780005184183,22.7999999936571,7.8714956021065e-06,3.67763110800163e-06,-3.06354495401012e-06,0,0,959.239396813963,1087.13797800833,1.4095640119165e-05,127.89859529792,9.26569576620295e-09,0,1.83793714142688,5.22894392987338,107.640947116746,0,0.09644925,0.0964492495685617,0
SingleScenario,centralized,8,2.56,0,0,0,0,3.015,0,26.6,0,1.087759875,0.21113925,0,4.88207726424605e-09,2.86725490030548e-08,1.31348592448232,1.08775987363476,0,0.211139249500827,0,1.11944441679128,1.43928567873164,3.19841261940365,0.374496974227242,0.363262065000425,0.766665891213484,15.3333178242697,1.15357704012278e-07,0,0.0306666346089435,3.58504529713631e-08,1.04285234495055,16.0411429923514,27.307825275112,0,0,0.273999944632303,8.33938219954624e-08,0,0.169599948509923,6.3661158759245e-09,2.5599999446323,2.84540005149008,26.5999999936339,3.56185377467717e-05,3.36773317746156e-05,3.19141252333461e-05,0,0,1070.84064024869,1213.61938986033,1.28636744207492e-05,142.77876221967,9.26570109527347e-09,0,1.37706489630252,4.86303083773502,103.885386355825,0,1.298899125,1.29889912313559,0
SingleScenario,centralized,9,2.81,0,0,0,0,3.23,0,30.4,0,2.206218375,0.694164,0,2.23364168418163e-09,4.53756073381734e-08,0.29487922919132,2.20621837362253,0,0.694163999467172,0,0.974030056141206,1.25232435789584,2.7829430175463,0.561322982369752,0.54448329289866,0.767277574985278,15.3455514997056,1.15470653903611e-07,0,0.0306911024708287,3.07486279914255e-08,1.26119242601875,14.2116275132798,29.2660761207158,0,0,0.300599960168542,7.91643180860327e-08,0,0.171999955259855,6.33301439905834e-09,2.80999996016854,3.05800004474015,30.399999993667,0.0232037026618691,0.0232032999864205,0.0232007974236197,0,0,931.739844211442,1055.97182233175,1.26863061577431e-05,124.231990560114,9.2670369156167e-09,0,1.2735985144643,4.42050718922032,98.8672368200159,0,2.900382375,2.9003823730897,0
SingleScenario,centralized,10,2.99,0,0,0,0,3.36,0,34.2,0,2.995849375,0.562533,0,2.17224699121287e-09,4.45147186341092e-08,0.339180400262275,2.99584937360404,0,0.562532999480353,0,0.956230398187807,1.22943908338432,2.73208685196516,1.06385679307482,1.03194108928258,0.769169600423625,15.3833920084725,1.1620427917885e-07,0,0.0307667834817135,3.11558444213553e-08,0.929419903330525,12.6161766799404,31.4327847793901,0,0,0.320199956900762,8.20117819662495e-08,1.01078859161433e-09,0.169199956477397,6.27453382679889e-09,2.98999995588997,3.1908000435226,34.1999999937255,0.0647022823631387,0.0647019640417321,0.0646999410287614,0,0,914.713007672264,1036.67474095113,1.2672343461101e-05,121.961745716012,9.26436705128708e-09,0,1.15458786180226,4.09439495230405,92.5950341202004,0,3.558382375,3.55838237308439,0
