Scenario,Method,Bus,TimeSlot,Voltage_pu,VoltageSq
SingleScenario,centralized,1,1,1.05,1.1025
SingleScenario,centralized,1,2,1.05,1.1025
SingleScenario,centralized,1,3,1.05,1.1025
SingleScenario,centralized,1,4,1.05,1.1025
SingleScenario,centralized,1,5,1.05,1.1025
SingleScenario,centralized,1,6,1.05,1.1025
SingleScenario,centralized,1,7,1.05,1.1025
SingleScenario,centralized,1,8,1.05,1.1025
SingleScenario,centralized,1,9,1.05,1.1025
SingleScenario,centralized,1,10,1.05,1.1025
SingleScenario,centralized,1,11,1.05,1.1025
SingleScenario,centralized,1,12,1.05,1.1025
SingleScenario,centralized,1,13,1.05,1.1025
SingleScenario,centralized,1,14,1.05,1.1025
SingleScenario,centralized,1,15,1.05,1.1025
SingleScenario,centralized,1,16,1.05,1.1025
SingleScenario,centralized,1,17,1.05,1.1025
SingleScenario,centralized,1,18,1.05,1.1025
SingleScenario,centralized,1,19,1.05,1.1025
SingleScenario,centralized,1,20,1.05,1.1025
SingleScenario,centralized,1,21,1.05,1.1025
SingleScenario,centralized,1,22,1.05,1.1025
SingleScenario,centralized,1,23,1.05,1.1025
SingleScenario,centralized,1,24,1.05,1.1025
SingleScenario,centralized,2,1,1.0485791507186,1.09951823532175
SingleScenario,centralized,2,2,1.04792761652868,1.09815228948349
SingleScenario,centralized,2,3,1.04684841711327,1.09589160841256
SingleScenario,centralized,2,4,1.04685801166598,1.09591169658924
SingleScenario,centralized,2,5,1.04682222388805,1.09583676842591
SingleScenario,centralized,2,6,1.04808544406459,1.09848309806006
SingleScenario,centralized,2,7,1.04813306932426,1.09858293101109
SingleScenario,centralized,2,8,1.04785088233398,1.09799147160811
SingleScenario,centralized,2,9,1.04768585373196,1.09764564811007
SingleScenario,centralized,2,10,1.04760472604765,1.09747566203737
SingleScenario,centralized,2,11,1.04756466343273,1.09739172407293
SingleScenario,centralized,2,12,1.04755340684179,1.09736814018585
SingleScenario,centralized,2,13,1.04753288142885,1.09732513767462
SingleScenario,centralized,2,14,1.04754823428722,1.09735730315828
SingleScenario,centralized,2,15,1.0475792446151,1.09742227374834
SingleScenario,centralized,2,16,1.04757837072997,1.09742044282125
SingleScenario,centralized,2,17,1.04753157605752,1.09732240283755
SingleScenario,centralized,2,18,1.04748552197973,1.09722591875715
SingleScenario,centralized,2,19,1.04750658053048,1.09727003625466
SingleScenario,centralized,2,20,1.04759931854527,1.09746433221651
