Scenario,Method,Bus,TimeSlot,Voltage_pu,VoltageSq
Rainy_HighWind,admm,1,1,1.05,1.1025
Rainy_HighWind,admm,1,2,1.05,1.1025
Rainy_HighWind,admm,1,3,1.05,1.1025
Rainy_HighWind,admm,1,4,1.05,1.1025
Rainy_HighWind,admm,1,5,1.05,1.1025
Rainy_HighWind,admm,1,6,1.05,1.1025
Rainy_HighWind,admm,1,7,1.05,1.1025
Rainy_HighWind,admm,1,8,1.05,1.1025
Rainy_HighWind,admm,1,9,1.05,1.1025
Rainy_HighWind,admm,1,10,1.05,1.1025
Rainy_HighWind,admm,1,11,1.05,1.1025
Rainy_HighWind,admm,1,12,1.05,1.1025
Rainy_HighWind,admm,1,13,1.05,1.1025
Rainy_HighWind,admm,1,14,1.05,1.1025
Rainy_HighWind,admm,1,15,1.05,1.1025
Rainy_HighWind,admm,1,16,1.05,1.1025
Rainy_HighWind,admm,1,17,1.05,1.1025
Rainy_HighWind,admm,1,18,1.05,1.1025
Rainy_HighWind,admm,1,19,1.05,1.1025
Rainy_HighWind,admm,1,20,1.05,1.1025
Rainy_HighWind,admm,1,21,1.05,1.1025
Rainy_HighWind,admm,1,22,1.05,1.1025
Rainy_HighWind,admm,1,23,1.05,1.1025
Rainy_HighWind,admm,1,24,1.05,1.1025
Rainy_HighWind,admm,2,1,1.04861983725,1.09960356307
Rainy_HighWind,admm,2,2,1.04809689414,1.09850709951
Rainy_HighWind,admm,2,3,1.04696546292,1.09613668054
Rainy_HighWind,admm,2,4,1.04676251777,1.09571176862
Rainy_HighWind,admm,2,5,1.04673982469,1.09566426059
Rainy_HighWind,admm,2,6,1.04802946761,1.09836576498
Rainy_HighWind,admm,2,7,1.0479962723,1.09829618676
Rainy_HighWind,admm,2,8,1.0479937081,1.09829081223
Rainy_HighWind,admm,2,9,1.04782323954,1.09793354132
Rainy_HighWind,admm,2,10,1.04771508848,1.09770690663
Rainy_HighWind,admm,2,11,1.04766055736,1.09759264344
Rainy_HighWind,admm,2,12,1.04762860027,1.09752568411
Rainy_HighWind,admm,2,13,1.04760606336,1.09747846398
Rainy_HighWind,admm,2,14,1.04755940857,1.09738071449
Rainy_HighWind,admm,2,15,1.04692895167,1.09606022985
Rainy_HighWind,admm,2,16,1.04718949209,1.09660583234
Rainy_HighWind,admm,2,17,1.04761459334,1.09749633618
Rainy_HighWind,admm,2,18,1.04756694206,1.09739649809
Rainy_HighWind,admm,2,19,1.0476119266,1.09749074875
Rainy_HighWind,admm,2,20,1.04773034892,1.09773888405
Rainy_HighWind,admm,2,21,1.04790151078,1.0980975763
Rainy_HighWind,admm,2,22,1.0480901237,1.0984929074
Rainy_HighWind,admm,2,23,1.04831887782,1.0989724696
Rainy_HighWind,admm,2,24,1.04741579876,1.0970798555
Rainy_HighWind,admm,3,1,1.04215633228,1.08608982092
Rainy_HighWind,admm,3,2,1.03877807285,1.07905988464
Rainy_HighWind,admm,3,3,1.03149003342,1.06397168905
Rainy_HighWind,admm,3,4,1.03016339808,1.06123662674
Rainy_HighWind,admm,3,5,1.03005119978,1.06100547416
Rainy_HighWind,admm,3,6,1.03848202451,1.07844491524
Rainy_HighWind,admm,3,7,1.03845606106,1.07839099075
Rainy_HighWind,admm,3,8,1.03860937336,1.07870943044
Rainy_HighWind,admm,3,9,1.037636035,1.07668854113
Rainy_HighWind,admm,3,10,1.03701068816,1.07539116736
Rainy_HighWind,admm,3,11,1.03669497992,1.07473648139
Rainy_HighWind,admm,3,12,1.03650702142,1.07434680545
Rainy_HighWind,admm,3,13,1.03637943174,1.07408232653
Rainy_HighWind,admm,3,14,1.03606307079,1.07342668666
Rainy_HighWind,admm,3,15,1.03199255838,1.06500864056
Rainy_HighWind,admm,3,16,1.03366971435,1.06847307837
