Scenario,Method,Bus,TimeSlot,Voltage_pu,VoltageSq
Rainy_HighWind,centralized,1,1,1.05,1.1025
Rainy_HighWind,centralized,1,2,1.05,1.1025
Rainy_HighWind,centralized,1,3,1.05,1.1025
Rainy_HighWind,centralized,1,4,1.05,1.1025
Rainy_HighWind,centralized,1,5,1.05,1.1025
Rainy_HighWind,centralized,1,6,1.05,1.1025
Rainy_HighWind,centralized,1,7,1.05,1.1025
Rainy_HighWind,centralized,1,8,1.05,1.1025
Rainy_HighWind,centralized,1,9,1.05,1.1025
Rainy_HighWind,centralized,1,10,1.05,1.1025
Rainy_HighWind,centralized,1,11,1.05,1.1025
Rainy_HighWind,centralized,1,12,1.05,1.1025
Rainy_HighWind,centralized,1,13,1.05,1.1025
Rainy_HighWind,centralized,1,14,1.05,1.1025
Rainy_HighWind,centralized,1,15,1.05,1.1025
Rainy_HighWind,centralized,1,16,1.05,1.1025
Rainy_HighWind,centralized,1,17,1.05,1.1025
Rainy_HighWind,centralized,1,18,1.05,1.1025
Rainy_HighWind,centralized,1,19,1.05,1.1025
Rainy_HighWind,centralized,1,20,1.05,1.1025
Rainy_HighWind,centralized,1,21,1.05,1.1025
Rainy_HighWind,centralized,1,22,1.05,1.1025
Rainy_HighWind,centralized,1,23,1.05,1.1025
Rainy_HighWind,centralized,1,24,1.05,1.1025
Rainy_HighWind,centralized,2,1,1.04855074052818,1.0994586554622
Rainy_HighWind,centralized,2,2,1.04796448474473,1.09822956128628
Rainy_HighWind,centralized,2,3,1.04679017591268,1.0957696723873
Rainy_HighWind,centralized,2,4,1.04670186015598,1.09558478405398
Rainy_HighWind,centralized,2,5,1.04668906384077,1.09555799636388
Rainy_HighWind,centralized,2,6,1.04796157572257,1.09822346419093
Rainy_HighWind,centralized,2,7,1.04789890731287,1.0980921199475
Rainy_HighWind,centralized,2,8,1.04786851409651,1.09802842283483
Rainy_HighWind,centralized,2,9,1.04768610820525,1.09764618132627
Rainy_HighWind,centralized,2,10,1.04761122257713,1.09748927366954
Rainy_HighWind,centralized,2,11,1.0475656956106,1.09739388662013
Rainy_HighWind,centralized,2,12,1.04755817328377,1.09737812641362
Rainy_HighWind,centralized,2,13,1.04754120695674,1.09734258027239
Rainy_HighWind,centralized,2,14,1.04749523284442,1.09724626283179
Rainy_HighWind,centralized,2,15,1.04705087711557,1.09631553926848
Rainy_HighWind,centralized,2,16,1.04717852489564,1.09658286300261
Rainy_HighWind,centralized,2,17,1.04753759485333,1.0973350126311
Rainy_HighWind,centralized,2,18,1.04749464886624,1.0972450394034
Rainy_HighWind,centralized,2,19,1.04751405086976,1.09728568676958
Rainy_HighWind,centralized,2,20,1.04760046528625,1.09746673486796
Rainy_HighWind,centralized,2,21,1.04774186396651,1.09776301350802
Rainy_HighWind,centralized,2,22,1.04793624725409,1.09817037830898
Rainy_HighWind,centralized,2,23,1.04819533797935,1.09871346656165
Rainy_HighWind,centralized,2,24,1.04756163480687,1.09738537871924
Rainy_HighWind,centralized,3,1,1.0417152856909,1.08517073644208
Rainy_HighWind,centralized,3,2,1.03793018306298,1.07729906491315
Rainy_HighWind,centralized,3,3,1.03035728840226,1.06163614176365
Rainy_HighWind,centralized,3,4,1.02976947673891,1.06042517522313
Rainy_HighWind,centralized,3,5,1.02972111737082,1.06032557955941
Rainy_HighWind,centralized,3,6,1.03804744456851,1.07754249717522
Rainy_HighWind,centralized,3,7,1.03783268695649,1.07709668611532
Rainy_HighWind,centralized,3,8,1.03780788769869,1.07704521176962
Rainy_HighWind,centralized,3,9,1.0367574186306,1.07486594508558
Rainy_HighWind,centralized,3,10,1.03634493231537,1.07401081873575
Rainy_HighWind,centralized,3,11,1.03608679931057,1.07347585570563
Rainy_HighWind,centralized,3,12,1.03605545843834,1.07341091295987
Rainy_HighWind,centralized,3,13,1.03596354997202,1.07322047687064
Rainy_HighWind,centralized,3,14,1.03565144709931,1.07257391987888
Rainy_HighWind,centralized,3,15,1.03277681692496,1.06662795357765
Rainy_HighWind,centralized,3,16,1.03359924251194,1.06832739412126
Rainy_HighWind,centralized,3,17,1.03594038375923,1.07317247870321
Rainy_HighWind,centralized,3,18,1.03569872700767,1.0726718531253
Rainy_HighWind,centralized,3,19,1.0357893737642,1.07285962680283
Rainy_HighWind,centralized,3,20,1.0362590641271,1.07383284798557
Rainy_HighWind,centralized,3,21,1.03704719786693,1.07546689060366
Rainy_HighWind,centralized,3,22,1.03815725490113,1.07777048590385
Rainy_HighWind,centralized,3,23,1.03966335763723,1.08089989721352
Rainy_HighWind,centralized,3,24,1.03546350966159,1.0721846798407
Rainy_HighWind,centralized,4,1,1.0381766271344,1.07781070912817
Rainy_HighWind,centralized,4,2,1.03193587885503,1.0648916580683
