Scenario,Method,Iteration,PrimalResidual,DualResidual
Rainy_LowWind,admm,1,0.781171245881454,1
Rainy_LowWind,admm,2,0.192716922105613,0.392918908642207
Rainy_LowWind,admm,3,0.105630391493901,0.243075342010545
Rainy_LowWind,admm,4,0.105848903255583,0.13861242999488
Rainy_LowWind,admm,5,0.112987197661634,0.0573646932342763
Rainy_LowWind,admm,6,0.0435384212803399,0.0561990748606513
Rainy_LowWind,admm,7,0.0111005746135731,0.0507508716500422
Rainy_LowWind,admm,8,0.00610165602255618,0.035193518511388
Rainy_LowWind,admm,9,0.0104995692135395,0.025256882921617
Rainy_LowWind,admm,10,0.00643772197503371,0.0225806872608225
Rainy_LowWind,admm,11,0.00600330532409769,0.0209629354112284
Rainy_LowWind,admm,12,0.00664846483428697,0.0192945899192245
Rainy_LowWind,admm,13,0.00580131213943019,0.0186607510045235
Rainy_LowWind,admm,14,0.00516480615509272,0.015679019413742
Rainy_LowWind,admm,15,0.00429853839388372,0.0137585731801475
Rainy_LowWind,admm,16,0.00292835120663281,0.0128046446020073
Rainy_LowWind,admm,17,0.00197924790832763,0.0122993406253667
Rainy_LowWind,admm,18,0.00317329665034188,0.00944137707493177
Rainy_LowWind,admm,19,0.00300782990112518,0.00892991117597708
Rainy_LowWind,admm,20,0.00206908058913332,0.00882860586491251
Rainy_LowWind,admm,21,0.00144663944019873,0.00854381753570973
Rainy_LowWind,admm,22,0.00145542427780598,0.00825051949856038
Rainy_LowWind,admm,23,0.00192476158877945,0.0077185350554922
Rainy_LowWind,admm,24,0.00277282493161659,0.00701923265101213
Rainy_LowWind,admm,25,0.0023110270613511,0.00669249260867483
Rainy_LowWind,admm,26,0.00164605926921529,0.00648051713945153
Rainy_LowWind,admm,27,0.00210537828376894,0.00587844737783899
Rainy_LowWind,admm,28,0.00252177752818881,0.00544319286219017
Rainy_LowWind,admm,29,0.00259455804191364,0.00522282770487257
Rainy_LowWind,admm,30,0.00268435473419118,0.0050335392663246
Rainy_LowWind,admm,31,0.00287241354072886,0.00483017732284894
Rainy_LowWind,admm,32,0.00306761207847018,0.0046113101454463
Rainy_LowWind,admm,33,0.0032617703436386,0.00440960481303316
Rainy_LowWind,admm,34,0.00410804012303765,0.00352786117130763
Rainy_LowWind,admm,35,0.00376269705041026,0.00315415737757836
Rainy_LowWind,admm,36,0.00373575324536681,0.00306161261095206
Rainy_LowWind,admm,37,0.00369967215551246,0.00294989767055278
Rainy_LowWind,admm,38,0.00365668899824969,0.0028646934358709
Rainy_LowWind,admm,39,0.00357435901353297,0.0028406399750839
Rainy_LowWind,admm,40,0.00347132232904174,0.00283868613417683
Rainy_LowWind,admm,41,0.00334288383727777,0.00285443774511466
Rainy_LowWind,admm,42,0.00320327513036541,0.00288333445359688
Rainy_LowWind,admm,43,0.00309009982599546,0.00254691164175299
Rainy_LowWind,admm,44,0.00304837267464057,0.00233881932895703
Rainy_LowWind,admm,45,0.00296239928771848,0.0023235638893172
Rainy_LowWind,admm,46,0.00285185255283924,0.00233539255327045
Rainy_LowWind,admm,47,0.00165633665745576,0.00233513147186067
Rainy_LowWind,admm,48,0.000596980247541692,0.0023144480787141
Rainy_LowWind,admm,49,0.000463842018915451,0.0022813284739683
