Scenario,Method,Bus,TimeSlot,Voltage_pu,VoltageSq
Rainy_LowWind,admm,1,1,1.05,1.1025
Rainy_LowWind,admm,1,2,1.05,1.1025
Rainy_LowWind,admm,1,3,1.05,1.1025
Rainy_LowWind,admm,1,4,1.05,1.1025
Rainy_LowWind,admm,1,5,1.05,1.1025
Rainy_LowWind,admm,1,6,1.05,1.1025
Rainy_LowWind,admm,1,7,1.05,1.1025
Rainy_LowWind,admm,1,8,1.05,1.1025
Rainy_LowWind,admm,1,9,1.05,1.1025
Rainy_LowWind,admm,1,10,1.05,1.1025
Rainy_LowWind,admm,1,11,1.05,1.1025
Rainy_LowWind,admm,1,12,1.05,1.1025
Rainy_LowWind,admm,1,13,1.05,1.1025
Rainy_LowWind,admm,1,14,1.05,1.1025
Rainy_LowWind,admm,1,15,1.05,1.1025
Rainy_LowWind,admm,1,16,1.05,1.1025
Rainy_LowWind,admm,1,17,1.05,1.1025
Rainy_LowWind,admm,1,18,1.05,1.1025
Rainy_LowWind,admm,1,19,1.05,1.1025
Rainy_LowWind,admm,1,20,1.05,1.1025
Rainy_LowWind,admm,1,21,1.05,1.1025
Rainy_LowWind,admm,1,22,1.05,1.1025
Rainy_LowWind,admm,1,23,1.05,1.1025
Rainy_LowWind,admm,1,24,1.05,1.1025
Rainy_LowWind,admm,2,1,1.04877945915,1.09993835394
Rainy_LowWind,admm,2,2,1.04715773436,1.09653932064
Rainy_LowWind,admm,2,3,1.04661516417,1.09540330187
Rainy_LowWind,admm,2,4,1.04662304299,1.09541979413
Rainy_LowWind,admm,2,5,1.04660279747,1.09537741566
Rainy_LowWind,admm,2,6,1.04749763891,1.09725130352
Rainy_LowWind,admm,2,7,1.04773270384,1.0977438187
Rainy_LowWind,admm,2,8,1.04803600658,1.09837947108
Rainy_LowWind,admm,2,9,1.04778600904,1.09785552074
Rainy_LowWind,admm,2,10,1.04768455753,1.09764293209
Rainy_LowWind,admm,2,11,1.04762570689,1.09751962173
Rainy_LowWind,admm,2,12,1.04760434504,1.09747486375
Rainy_LowWind,admm,2,13,1.04759021458,1.09744525768
Rainy_LowWind,admm,2,14,1.04742122502,1.09709122262
Rainy_LowWind,admm,2,15,1.04664697681,1.09546989406
Rainy_LowWind,admm,2,16,1.04696056557,1.09612642586
Rainy_LowWind,admm,2,17,1.047663102,1.09759797529
Rainy_LowWind,admm,2,18,1.04754544935,1.09735146846
Rainy_LowWind,admm,2,19,1.04758874545,1.0974421796
Rainy_LowWind,admm,2,20,1.04770651391,1.09768893928
Rainy_LowWind,admm,2,21,1.04787912651,1.09805066378
Rainy_LowWind,admm,2,22,1.04807745492,1.09846635152
Rainy_LowWind,admm,2,23,1.04793521314,1.09816821093
Rainy_LowWind,admm,2,24,1.04686458521,1.09592545976
Rainy_LowWind,admm,3,1,1.04317411367,1.08821223143
Rainy_LowWind,admm,3,2,1.03274240582,1.06655687677
Rainy_LowWind,admm,3,3,1.02922714143,1.05930850866
Rainy_LowWind,admm,3,4,1.02926088644,1.05937797235
Rainy_LowWind,admm,3,5,1.02916442852,1.05917942093
Rainy_LowWind,admm,3,6,1.03506652941,1.07136272031
Rainy_LowWind,admm,3,7,1.03676442271,1.07488046819
Rainy_LowWind,admm,3,8,1.0388800479,1.07927175392
Rainy_LowWind,admm,3,9,1.03739755709,1.07619369145
Rainy_LowWind,admm,3,10,1.03681502949,1.07498540538
Rainy_LowWind,admm,3,11,1.03647158055,1.07427333728
Rainy_LowWind,admm,3,12,1.03635152077,1.07402447461
Rainy_LowWind,admm,3,13,1.03627781687,1.07387171374
Rainy_LowWind,admm,3,14,1.03517532468,1.07158795283
Rainy_LowWind,admm,3,15,1.0301709094,1.06125210257
Rainy_LowWind,admm,3,16,1.03219291989,1.06542222388
Rainy_LowWind,admm,3,17,1.03674506671,1.07484033335
Rainy_LowWind,admm,3,18,1.03602455813,1.07334688506
Rainy_LowWind,admm,3,19,1.03626839713,1.07385219089
Rainy_LowWind,admm,3,20,1.03693885609,1.07524219128
Rainy_LowWind,admm,3,21,1.03792645582,1.0772913277
Rainy_LowWind,admm,3,22,1.03906097593,1.07964771169
Rainy_LowWind,admm,3,23,1.03799657676,1.07743689336
Rainy_LowWind,admm,3,24,1.03097347577,1.06290630774
Rainy_LowWind,admm,4,1,1.04055458293,1.08275384005
Rainy_LowWind,admm,4,2,1.02343947821,1.04742836556
Rainy_LowWind,admm,4,3,1.01763650216,1.03558405053
Rainy_LowWind,admm,4,4,1.01766146464,1.0356348566
Rainy_LowWind,admm,4,5,1.01756391932,1.0354363299
Rainy_LowWind,admm,4,6,1.0274909698,1.05573769303
Rainy_LowWind,admm,4,7,1.0306015129,1.06213947838
Rainy_LowWind,admm,4,8,1.03435926094,1.06989908068
Rainy_LowWind,admm,4,9,1.03214863984,1.06533081472
Rainy_LowWind,admm,4,10,1.03131725219,1.06361527466
