Scenario,Method,Bus,TimeSlot,Voltage_pu,VoltageSq
Rainy_LowWind,centralized,1,1,1.05,1.1025
Rainy_LowWind,centralized,1,2,1.05,1.1025
Rainy_LowWind,centralized,1,3,1.05,1.1025
Rainy_LowWind,centralized,1,4,1.05,1.1025
Rainy_LowWind,centralized,1,5,1.05,1.1025
Rainy_LowWind,centralized,1,6,1.05,1.1025
Rainy_LowWind,centralized,1,7,1.05,1.1025
Rainy_LowWind,centralized,1,8,1.05,1.1025
Rainy_LowWind,centralized,1,9,1.05,1.1025
Rainy_LowWind,centralized,1,10,1.05,1.1025
Rainy_LowWind,centralized,1,11,1.05,1.1025
Rainy_LowWind,centralized,1,12,1.05,1.1025
Rainy_LowWind,centralized,1,13,1.05,1.1025
Rainy_LowWind,centralized,1,14,1.05,1.1025
Rainy_LowWind,centralized,1,15,1.05,1.1025
Rainy_LowWind,centralized,1,16,1.05,1.1025
Rainy_LowWind,centralized,1,17,1.05,1.1025
Rainy_LowWind,centralized,1,18,1.05,1.1025
Rainy_LowWind,centralized,1,19,1.05,1.1025
Rainy_LowWind,centralized,1,20,1.05,1.1025
Rainy_LowWind,centralized,1,21,1.05,1.1025
Rainy_LowWind,centralized,1,22,1.05,1.1025
Rainy_LowWind,centralized,1,23,1.05,1.1025
Rainy_LowWind,centralized,1,24,1.05,1.1025
Rainy_LowWind,centralized,2,1,1.04831550899863,1.09896540640707
Rainy_LowWind,centralized,2,2,1.04701734257151,1.09624531564551
Rainy_LowWind,centralized,2,3,1.04685049787709,1.09589596490552
Rainy_LowWind,centralized,2,4,1.04680239973802,1.09579526409727
Rainy_LowWind,centralized,2,5,1.04678691168677,1.09576283847874
Rainy_LowWind,centralized,2,6,1.04752221625022,1.09730279353778
Rainy_LowWind,centralized,2,7,1.04775617711454,1.09779300668167
Rainy_LowWind,centralized,2,8,1.04785666021648,1.09800358036004
Rainy_LowWind,centralized,2,9,1.04768378520666,1.09764131378495
Rainy_LowWind,centralized,2,10,1.04760900248434,1.09748462208623
Rainy_LowWind,centralized,2,11,1.0475633301149,1.09738893060142
Rainy_LowWind,centralized,2,12,1.04754537851977,1.09735132005813
Rainy_LowWind,centralized,2,13,1.04753185113526,1.09732297914286
Rainy_LowWind,centralized,2,14,1.04742613470739,1.09710150766807
Rainy_LowWind,centralized,2,15,1.0467416298053,1.09566803956745
Rainy_LowWind,centralized,2,16,1.04703833289762,1.09628927055703
Rainy_LowWind,centralized,2,17,1.04753342435465,1.09732627514018
Rainy_LowWind,centralized,2,18,1.04748550511874,1.09722588343386
Rainy_LowWind,centralized,2,19,1.04750655352953,1.09726997968731
Rainy_LowWind,centralized,2,20,1.04759306739224,1.09745123484827
Rainy_LowWind,centralized,2,21,1.04776626896782,1.09781415438674
Rainy_LowWind,centralized,2,22,1.04797649933481,1.09825474315803
Rainy_LowWind,centralized,2,23,1.04798532155073,1.09827323418579
Rainy_LowWind,centralized,2,24,1.04700114717886,1.09621140219386
Rainy_LowWind,centralized,3,1,1.04021165494143,1.08204028707598
Rainy_LowWind,centralized,3,2,1.03183721789861,1.06468804424073
Rainy_LowWind,centralized,3,3,1.03074510730088,1.06243547622471
Rainy_LowWind,centralized,3,4,1.03041792837895,1.06176110712477
Rainy_LowWind,centralized,3,5,1.03035223449349,1.06162572712573
Rainy_LowWind,centralized,3,6,1.03522404586069,1.07168882512818
Rainy_LowWind,centralized,3,7,1.03691467992999,1.07519205345432
Rainy_LowWind,centralized,3,8,1.03773197264602,1.0768876470518
Rainy_LowWind,centralized,3,9,1.03674252948638,1.07483507244582
Rainy_LowWind,centralized,3,10,1.03633069809841,1.07398131582114
Rainy_LowWind,centralized,3,11,1.03607162971165,1.07344442189336
Rainy_LowWind,centralized,3,12,1.03597340324172,1.07324089222424
Rainy_LowWind,centralized,3,13,1.03590354554079,1.07309615566397
Rainy_LowWind,centralized,3,14,1.03520685341944,1.07165322936657
Rainy_LowWind,centralized,3,15,1.03078043189832,1.06250829878448
Rainy_LowWind,centralized,3,16,1.0326934052164,1.06645566917744
Rainy_LowWind,centralized,3,17,1.03591363573522,1.07311706070216
Rainy_LowWind,centralized,3,18,1.03564007037655,1.07255035536954
Rainy_LowWind,centralized,3,19,1.03574128226985,1.072760003798
Rainy_LowWind,centralized,3,20,1.03621162813695,1.07373453828623
Rainy_LowWind,centralized,3,21,1.03720357420671,1.07579125434717
Rainy_LowWind,centralized,3,22,1.03841493365918,1.07830557444641
Rainy_LowWind,centralized,3,23,1.03831739280481,1.07810300820098
Rainy_LowWind,centralized,3,24,1.0318527356742,1.06472006811833
Rainy_LowWind,centralized,4,1,1.03572314648728,1.07272243616951
Rainy_LowWind,centralized,4,2,1.02195410664588,1.04439019609037
Rainy_LowWind,centralized,4,3,1.0201307311676,1.04066670867255
Rainy_LowWind,centralized,4,4,1.01956288119314,1.03950846870685
Rainy_LowWind,centralized,4,5,1.0195158765528,1.03941262254321
Rainy_LowWind,centralized,4,6,1.02774881181183,1.05626762018063
Rainy_LowWind,centralized,4,7,1.03084713816271,1.06264582225824
Rainy_LowWind,centralized,4,8,1.03248448280528,1.06602420723369
Rainy_LowWind,centralized,4,9,1.03107839666005,1.06312266005906
Rainy_LowWind,centralized,4,10,1.03052575630007,1.06198333439784
Rainy_LowWind,centralized,4,11,1.03016254246586,1.06123486389973
Rainy_LowWind,centralized,4,12,1.03003210547515,1.06096613830956
Rainy_LowWind,centralized,4,13,1.02994804178588,1.06079296877858
Rainy_LowWind,centralized,4,14,1.02877845842853,1.05838511652658
Rainy_LowWind,centralized,4,15,1.02149716485116,1.04345645779896
Rainy_LowWind,centralized,4,16,1.02463332054538,1.04987344157184
Rainy_LowWind,centralized,4,17,1.02996453608936,1.06082694560177
Rainy_LowWind,centralized,4,18,1.02957759436597,1.06003002282042
Rainy_LowWind,centralized,4,19,1.02968277800844,1.06024662332718
Rainy_LowWind,centralized,4,20,1.03030101359007,1.06152017860472
Rainy_LowWind,centralized,4,21,1.03171142130894,1.06442845685931
Rainy_LowWind,centralized,4,22,1.03344975984868,1.06801840613129
Rainy_LowWind,centralized,4,23,1.03301968361302,1.06712966673194
Rainy_LowWind,centralized,4,24,1.0221923053648,1.04487710914701
Rainy_LowWind,centralized,5,1,1.03123620717354,1.06344811498567
Rainy_LowWind,centralized,5,2,1.01176498129554,1.02366837737596
Rainy_LowWind,centralized,5,3,1.00916085976648,1.01840564088462
Rainy_LowWind,centralized,5,4,1.00833323999346,1.01673592287571
Rainy_LowWind,centralized,5,5,1.00831370613836,1.01669652998648
Rainy_LowWind,centralized,5,6,1.02013943367917,1.04068446414725
Rainy_LowWind,centralized,5,7,1.02476345284566,1.05014013428815
Rainy_LowWind,centralized,5,8,1.02730076507225,1.05534686191802
Rainy_LowWind,centralized,5,9,1.02548272229774,1.05161481373119
Rainy_LowWind,centralized,5,10,1.02479691537327,1.05020871775856
Rainy_LowWind,centralized,5,11,1.02433160076262,1.04925522832092
Rainy_LowWind,centralized,5,12,1.02417101230976,1.0489262624556
Rainy_LowWind,centralized,5,13,1.02407574633958,1.04873113424098
Rainy_LowWind,centralized,5,14,1.02240451604922,1.04531099443783
Rainy_LowWind,centralized,5,15,1.01210318982612,1.02435286685622
Rainy_LowWind,centralized,5,16,1.01653389129147,1.03334115214418
Rainy_LowWind,centralized,5,17,1.02409898097387,1.04877872283172
Rainy_LowWind,centralized,5,18,1.02360020036934,1.04775737019614
Rainy_LowWind,centralized,5,19,1.02370206227917,1.04796591231463
Rainy_LowWind,centralized,5,20,1.02445722043917,1.04951259650995
Rainy_LowWind,centralized,5,21,1.02628167301992,1.05325407237657
Rainy_LowWind,centralized,5,22,1.02854406488025,1.05790289340039
Rainy_LowWind,centralized,5,23,1.02773100146788,1.05623101137818
Rainy_LowWind,centralized,5,24,1.01226598315824,1.02468242065931
Rainy_LowWind,centralized,6,1,1.01997990701135,1.04035901070687
Rainy_LowWind,centralized,6,2,0.999723020556881,0.999446117831374
Rainy_LowWind,centralized,6,3,0.995423415764383,0.990867776652033
Rainy_LowWind,centralized,6,4,0.994027754763307,0.988091177239781
Rainy_LowWind,centralized,6,5,0.994076703170797,0.988188491786921
Rainy_LowWind,centralized,6,6,1.00884269800299,1.01776358931394
Rainy_LowWind,centralized,6,7,1.01382076984647,1.02783255337209
Rainy_LowWind,centralized,6,8,1.01370007415861,1.02758784034917
Rainy_LowWind,centralized,6,9,1.01082621363683,1.02176963417536
Rainy_LowWind,centralized,6,10,1.00991502400447,1.01992835570994
Rainy_LowWind,centralized,6,11,1.00920580279046,1.01849635238595
Rainy_LowWind,centralized,6,12,1.00900054167714,1.01808209310477
Rainy_LowWind,centralized,6,13,1.00893067668312,1.01794111035226
Rainy_LowWind,centralized,6,14,1.00751732044008,1.01509115098675
Rainy_LowWind,centralized,6,15,0.998357438919827,0.996717575846556
Rainy_LowWind,centralized,6,16,1.00262800450533,1.00526291541834
Rainy_LowWind,centralized,6,17,1.00897882998019,1.01803827934818
Rainy_LowWind,centralized,6,18,1.00820023273925,1.01646770929548
Rainy_LowWind,centralized,6,19,1.00815605998462,1.01637864128372
Rainy_LowWind,centralized,6,20,1.00908351486789,1.01824953997814
Rainy_LowWind,centralized,6,21,1.01197183559877,1.02408699604515
Rainy_LowWind,centralized,6,22,1.01563757102508,1.03151967567771
Rainy_LowWind,centralized,6,23,1.01597134889463,1.03219778177477
Rainy_LowWind,centralized,6,24,1.00029243690654,1.00058495933242
Rainy_LowWind,centralized,7,1,1.01631572059217,1.03289764392279
