Scenario,Method,Bus,TimeSlot,Voltage_pu,VoltageSq
Sunny_LowWind,centralized,1,1,1.05,1.1025
Sunny_LowWind,centralized,1,2,1.05,1.1025
Sunny_LowWind,centralized,1,3,1.05,1.1025
Sunny_LowWind,centralized,1,4,1.05,1.1025
Sunny_LowWind,centralized,1,5,1.05,1.1025
Sunny_LowWind,centralized,1,6,1.05,1.1025
Sunny_LowWind,centralized,1,7,1.05,1.1025
Sunny_LowWind,centralized,1,8,1.05,1.1025
Sunny_LowWind,centralized,1,9,1.05,1.1025
Sunny_LowWind,centralized,1,10,1.05,1.1025
Sunny_LowWind,centralized,1,11,1.05,1.1025
Sunny_LowWind,centralized,1,12,1.05,1.1025
Sunny_LowWind,centralized,1,13,1.05,1.1025
Sunny_LowWind,centralized,1,14,1.05,1.1025
Sunny_LowWind,centralized,1,15,1.05,1.1025
Sunny_LowWind,centralized,1,16,1.05,1.1025
Sunny_LowWind,centralized,1,17,1.05,1.1025
Sunny_LowWind,centralized,1,18,1.05,1.1025
Sunny_LowWind,centralized,1,19,1.05,1.1025
Sunny_LowWind,centralized,1,20,1.05,1.1025
Sunny_LowWind,centralized,1,21,1.05,1.1025
Sunny_LowWind,centralized,1,22,1.05,1.1025
Sunny_LowWind,centralized,1,23,1.05,1.1025
Sunny_LowWind,centralized,1,24,1.05,1.1025
Sunny_LowWind,centralized,2,1,1.04857911715576,1.09951816493516
Sunny_LowWind,centralized,2,2,1.04816925202007,1.09865878088032
Sunny_LowWind,centralized,2,3,1.0468068843556,1.09580465313428
Sunny_LowWind,centralized,2,4,1.04677951553673,1.09574735414731
Sunny_LowWind,centralized,2,5,1.04673035713705,1.09564444055226
Sunny_LowWind,centralized,2,6,1.04833044525133,1.09899672244086
Sunny_LowWind,centralized,2,7,1.0481332041122,1.0985832135625
Sunny_LowWind,centralized,2,8,1.04785102270536,1.09799176578466
Sunny_LowWind,centralized,2,9,1.04768582754756,1.09764559324402
Sunny_LowWind,centralized,2,10,1.04761000796696,1.09748672879254
Sunny_LowWind,centralized,2,11,1.04755898849752,1.09737983438195
Sunny_LowWind,centralized,2,12,1.04754768561226,1.0973561536316
Sunny_LowWind,centralized,2,13,1.04753161893882,1.09732249267658
Sunny_LowWind,centralized,2,14,1.04754830821495,1.09735745804401
Sunny_LowWind,centralized,2,15,1.04759597300222,1.09745732265046
Sunny_LowWind,centralized,2,16,1.04757910339678,1.09742197787359
Sunny_LowWind,centralized,2,17,1.04753157735352,1.09732240555276
Sunny_LowWind,centralized,2,18,1.04748848823008,1.09723213297454
Sunny_LowWind,centralized,2,19,1.04750798642346,1.09727298162093
Sunny_LowWind,centralized,2,20,1.04760046760488,1.09746673972597
Sunny_LowWind,centralized,2,21,1.04774234555285,1.09776402266458
Sunny_LowWind,centralized,2,22,1.04795465925141,1.09820896784673
Sunny_LowWind,centralized,2,23,1.04821172053368,1.09874781106418
Sunny_LowWind,centralized,2,24,1.04842054156917,1.0991856319842
Sunny_LowWind,centralized,3,1,1.04189659555099,1.08554851582075
Sunny_LowWind,centralized,3,2,1.03924070215001,1.08002123700524
Sunny_LowWind,centralized,3,3,1.03046393138058,1.06185591387633
Sunny_LowWind,centralized,3,4,1.03027036220733,1.06145701924281
Sunny_LowWind,centralized,3,5,1.02998749847322,1.06087424701112
Sunny_LowWind,centralized,3,6,1.04040881060069,1.08245049317554
Sunny_LowWind,centralized,3,7,1.03933335819031,1.08021382944715
Sunny_LowWind,centralized,3,8,1.03769586704346,1.07681271247907
Sunny_LowWind,centralized,3,9,1.03675561977863,1.07486221514257
Sunny_LowWind,centralized,3,10,1.03633714481245,1.07399467771801
Sunny_LowWind,centralized,3,11,1.03604378702713,1.07338672863753
Sunny_LowWind,centralized,3,12,1.03598819946036,1.07327154942113
Sunny_LowWind,centralized,3,13,1.03590205628992,1.07309307022568
Sunny_LowWind,centralized,3,14,1.035992192406,1.0732798227262
Sunny_LowWind,centralized,3,15,1.03628094747624,1.07387820210225
Sunny_LowWind,centralized,3,16,1.03617277805148,1.07365402597492
Sunny_LowWind,centralized,3,17,1.03590178957188,1.07309251763823
Sunny_LowWind,centralized,3,18,1.03565920717856,1.07258999341373
Sunny_LowWind,centralized,3,19,1.03575047367677,1.07277904372165
Sunny_LowWind,centralized,3,20,1.03625907899413,1.07383287879776
Sunny_LowWind,centralized,3,21,1.03705028384974,1.07547329123283
Sunny_LowWind,centralized,3,22,1.03827512832564,1.07801524209962
Sunny_LowWind,centralized,3,23,1.03976811311351,1.08111772904764
Sunny_LowWind,centralized,3,24,1.04096805613951,1.08361449390286
Sunny_LowWind,centralized,4,1,1.03847232744075,1.07842477486022
Sunny_LowWind,centralized,4,2,1.03407734415431,1.06931595369324
Sunny_LowWind,centralized,4,3,1.01966890325481,1.03972467226487
Sunny_LowWind,centralized,4,4,1.01932045794784,1.039014195991
Sunny_LowWind,centralized,4,5,1.01891665327513,1.03819114632139
Sunny_LowWind,centralized,4,6,1.03622480111571,1.0737618384473
Sunny_LowWind,centralized,4,7,1.03479927102439,1.0708095313126
Sunny_LowWind,centralized,4,8,1.03242550169869,1.06590241655779
Sunny_LowWind,centralized,4,9,1.03109978901576,1.06316677490835
Sunny_LowWind,centralized,4,10,1.03053629310292,1.06200505140231
Sunny_LowWind,centralized,4,11,1.03011702996531,1.06114109542455
Sunny_LowWind,centralized,4,12,1.03005629227396,1.06101596525318
Sunny_LowWind,centralized,4,13,1.029945607319,1.0607879540357
Sunny_LowWind,centralized,4,14,1.03006281934761,1.06102941180235
Sunny_LowWind,centralized,4,15,1.03050467445073,1.0619398840648
Sunny_LowWind,centralized,4,16,1.03032787599697,1.06157553205643
Sunny_LowWind,centralized,4,17,1.02994517131685,1.0607870559189
Sunny_LowWind,centralized,4,18,1.02960888024386,1.06009444627701
Sunny_LowWind,centralized,4,19,1.02969780459697,1.06027756879181
Sunny_LowWind,centralized,4,20,1.03037857644723,1.06168001080143
Sunny_LowWind,centralized,4,21,1.03146094131972,1.06391167346816
Sunny_LowWind,centralized,4,22,1.03322143359871,1.06754653084778
Sunny_LowWind,centralized,4,23,1.03538898681981,1.07203035402776
Sunny_LowWind,centralized,4,24,1.03710740566024,1.07559177087532
Sunny_LowWind,centralized,5,1,1.03510148941956,1.0714350933986
Sunny_LowWind,centralized,5,2,1.02887403640011,1.05858178277826
Sunny_LowWind,centralized,5,3,1.00850690423561,1.0170861758909
Sunny_LowWind,centralized,5,4,1.00798989027996,1.0160436189066
Sunny_LowWind,centralized,5,5,1.00746497066238,1.01498566711176
Sunny_LowWind,centralized,5,6,1.03207971109409,1.06518853005205
Sunny_LowWind,centralized,5,7,1.03032767367321,1.06157511513685
Sunny_LowWind,centralized,5,8,1.02721773717342,1.05517627956368
Sunny_LowWind,centralized,5,9,1.02551284820815,1.05167660183999
Sunny_LowWind,centralized,5,10,1.02481175589275,1.05023913501598
Sunny_LowWind,centralized,5,11,1.02426749162452,1.04912389439879
Sunny_LowWind,centralized,5,12,1.0242050825071,1.04899605103337
Sunny_LowWind,centralized,5,13,1.02407231702646,1.04872411049995
Sunny_LowWind,centralized,5,14,1.02421427666687,1.04901488452824
Sunny_LowWind,centralized,5,15,1.02481349186138,1.05024269310111
Sunny_LowWind,centralized,5,16,1.02456448049131,1.04973237468444
Sunny_LowWind,centralized,5,17,1.02407170285108,1.04872285258031
Sunny_LowWind,centralized,5,18,1.0236442755812,1.04784760293015
Sunny_LowWind,centralized,5,19,1.023723231704,1.04800925513049
Sunny_LowWind,centralized,5,20,1.02456647444504,1.04973646055675
Sunny_LowWind,centralized,5,21,1.0259289720265,1.05253025564335
Sunny_LowWind,centralized,5,22,1.0282227267595,1.05724197582473
Sunny_LowWind,centralized,5,23,1.03106515674208,1.06309535744758
Sunny_LowWind,centralized,5,24,1.0332977380262,1.06770421541006
Sunny_LowWind,centralized,6,1,1.02639501711574,1.05348673116002
Sunny_LowWind,centralized,6,2,1.01768448124119,1.03568170335915
Sunny_LowWind,centralized,6,3,0.994352654511438,0.988737201533943
Sunny_LowWind,centralized,6,4,0.993465296663435,0.986973295674566
Sunny_LowWind,centralized,6,5,0.992686212376516,0.985425916242433
Sunny_LowWind,centralized,6,6,1.0214874790746,1.04343666990619
Sunny_LowWind,centralized,6,7,1.01869063265377,1.03773060505653
Sunny_LowWind,centralized,6,8,1.01352826137889,1.02723953661371
Sunny_LowWind,centralized,6,9,1.01088861715338,1.02189579629027
Sunny_LowWind,centralized,6,10,1.00994577241403,1.01999046321697
Sunny_LowWind,centralized,6,11,1.00907293498006,1.01822818810927
Sunny_LowWind,centralized,6,12,1.00907115258284,1.01822459097487
Sunny_LowWind,centralized,6,13,1.00892356941597,1.01792676892306
Sunny_LowWind,centralized,6,14,1.0090902071614,1.01826304618904
Sunny_LowWind,centralized,6,15,1.01020424085393,1.02051260823926
Sunny_LowWind,centralized,6,16,1.00968837476959,1.01947061414485
Sunny_LowWind,centralized,6,17,1.0089222965353,1.01792420044606
Sunny_LowWind,centralized,6,18,1.00829160022449,1.01665195108327
Sunny_LowWind,centralized,6,19,1.00819995082922,1.01646714085204
Sunny_LowWind,centralized,6,20,1.00930998062206,1.01870663698331
Sunny_LowWind,centralized,6,21,1.0112413511239,1.02260907022289
Sunny_LowWind,centralized,6,22,1.01497299497716,1.03017018053291
Sunny_LowWind,centralized,6,23,1.01970826872201,1.03980495330003
Sunny_LowWind,centralized,6,24,1.02330642250708,1.04715603434425
Sunny_LowWind,centralized,7,1,1.02341763721619,1.04738366016517
Sunny_LowWind,centralized,7,2,1.0161684838006,1.03259838746961
Sunny_LowWind,centralized,7,3,1.00611995968902,1.01227737328463
Sunny_LowWind,centralized,7,4,1.00537570419476,1.01078030658512
Sunny_LowWind,centralized,7,5,1.00449537632669,1.00901096106169
Sunny_LowWind,centralized,7,6,1.01810366054685,1.03653506361889
Sunny_LowWind,centralized,7,7,1.01470607637481,1.02962842143195
Sunny_LowWind,centralized,7,8,1.00889596188606,1.01787106191
Sunny_LowWind,centralized,7,9,1.00598217648741,1.01200013941035
Sunny_LowWind,centralized,7,10,1.00513139148884,1.01028911415629
Sunny_LowWind,centralized,7,11,1.00427670639909,1.0085717030158
Sunny_LowWind,centralized,7,12,1.00437207336164,1.00876326174876
Sunny_LowWind,centralized,7,13,1.00425164255346,1.00852136157132
Sunny_LowWind,centralized,7,14,1.00440910689739,1.00883765401842
Sunny_LowWind,centralized,7,15,1.00560482621907,1.01124106651509
Sunny_LowWind,centralized,7,16,1.0049134248209,1.00985099138528
Sunny_LowWind,centralized,7,17,1.00416882660589,1.00835503232704
Sunny_LowWind,centralized,7,18,1.00353266471425,1.00707780914847
Sunny_LowWind,centralized,7,19,1.00339082676035,1.00679315122681
Sunny_LowWind,centralized,7,20,1.00434968016588,1.00871828004931
Sunny_LowWind,centralized,7,21,1.00615122223712,1.01234028200926
Sunny_LowWind,centralized,7,22,1.01037194455622,1.02085146634631
Sunny_LowWind,centralized,7,23,1.01589631858112,1.03204533010668
Sunny_LowWind,centralized,7,24,1.01997086998883,1.04034057562577
Sunny_LowWind,centralized,8,1,1.02082554564929,1.04208479465017
Sunny_LowWind,centralized,8,2,1.00919680452216,1.01847819025774
Sunny_LowWind,centralized,8,3,0.991482484995276,0.983037518052407
Sunny_LowWind,centralized,8,4,0.990006775426644,0.980113415390662
Sunny_LowWind,centralized,8,5,0.988726867243549,0.977580818009243
Sunny_LowWind,centralized,8,6,1.01519135315211,1.03061348351481
Sunny_LowWind,centralized,8,7,1.01126917899177,1.02266535237868
Sunny_LowWind,centralized,8,8,1.00493518488462,1.00989472581908
Sunny_LowWind,centralized,8,9,1.00172401141989,1.00345099505516
Sunny_LowWind,centralized,8,10,1.00080014306691,1.00160092636274
Sunny_LowWind,centralized,8,11,0.999897058220758,0.999794127038526
Sunny_LowWind,centralized,8,12,1.00000330723351,1.00000661447795
Sunny_LowWind,centralized,8,13,0.99986636306158,0.999732743981991
Sunny_LowWind,centralized,8,14,1.00004732900575,1.00009466025153
Sunny_LowWind,centralized,8,15,1.00130402057921,1.00260974162809
Sunny_LowWind,centralized,8,16,1.00054356249173,1.00108742044364
Sunny_LowWind,centralized,8,17,0.999752067906594,0.999504197283511
Sunny_LowWind,centralized,8,18,0.99905888271054,0.998118651122833
Sunny_LowWind,centralized,8,19,0.998950695220291,0.997902491481102
Sunny_LowWind,centralized,8,20,0.999987133077039,0.999974266319636
Sunny_LowWind,centralized,8,21,1.00192925941433,1.00386224087054
Sunny_LowWind,centralized,8,22,1.00655855217935,1.0131601189654
Sunny_LowWind,centralized,8,23,1.01263284376532,1.02542527627224
Sunny_LowWind,centralized,8,24,1.01710617454586,1.0345049702993
Sunny_LowWind,centralized,9,1,1.01660654738999,1.0334888721962
Sunny_LowWind,centralized,9,2,1.00042737088497,1.00085492441582
Sunny_LowWind,centralized,9,3,0.982566531878862,0.965436989568454
Sunny_LowWind,centralized,9,4,0.980236615046101,0.960863821477039
Sunny_LowWind,centralized,9,5,0.97841640431572,0.957298660234103
Sunny_LowWind,centralized,9,6,1.01040762597174,1.02092357062184
Sunny_LowWind,centralized,9,7,1.00562661349534,1.01128488577011
Sunny_LowWind,centralized,9,8,0.998382819745373,0.996768254762722
Sunny_LowWind,centralized,9,9,0.994752180531563,0.9895319006723
Sunny_LowWind,centralized,9,10,0.993892106798504,0.987821519956369
Sunny_LowWind,centralized,9,11,0.99298642136205,0.986022033009411
Sunny_LowWind,centralized,9,12,0.993199240201866,0.986444730737564
Sunny_LowWind,centralized,9,13,0.993083362938527,0.986214565745294
Sunny_LowWind,centralized,9,14,0.993265197355266,0.986575752277196
Sunny_LowWind,centralized,9,15,0.994634599786715,0.989297987092879
Sunny_LowWind,centralized,9,16,0.993659604027604,0.987359408676295
Sunny_LowWind,centralized,9,17,0.992869671005283,0.985790183602139
Sunny_LowWind,centralized,9,18,0.992145327398851,0.984352350679373
Sunny_LowWind,centralized,9,19,0.991999559306424,0.98406312566414
Sunny_LowWind,centralized,9,20,0.99291228576071,0.985874807214557
Sunny_LowWind,centralized,9,21,0.994781187041448,0.989589610091593
Sunny_LowWind,centralized,9,22,1.00010449534805,1.00020900161538
Sunny_LowWind,centralized,9,23,1.00724730953583,1.01454714256717
Sunny_LowWind,centralized,9,24,1.01239383787041,1.02494128295798
Sunny_LowWind,centralized,10,1,1.01261183880159,1.02538273608114
Sunny_LowWind,centralized,10,2,0.991707444824808,0.98348365612095
Sunny_LowWind,centralized,10,3,0.973409872082953,0.947526779068552
Sunny_LowWind,centralized,10,4,0.970186176017931,0.941261216136297
Sunny_LowWind,centralized,10,5,0.967816338809698,0.936668465667007
Sunny_LowWind,centralized,10,6,1.00587072756009,1.01177592056226
Sunny_LowWind,centralized,10,7,1.00027140849035,1.00054289064328
Sunny_LowWind,centralized,10,8,0.992153071373281,0.984367717035435
Sunny_LowWind,centralized,10,9,0.988129527395948,0.976399962911739
Sunny_LowWind,centralized,10,10,0.987352143316194,0.974864254911083
Sunny_LowWind,centralized,10,11,0.986453026104497,0.973089572710719
Sunny_LowWind,centralized,10,12,0.986778205531669,0.9737312269123
Sunny_LowWind,centralized,10,13,0.986688154184638,0.973553513608288
Sunny_LowWind,centralized,10,14,0.986866365936905,0.973905224217514
Sunny_LowWind,centralized,10,15,0.988345013792074,0.976825866287654
Sunny_LowWind,centralized,10,16,0.987152992518729,0.974471030638682
Sunny_LowWind,centralized,10,17,0.986373811503685,0.972933296020307
Sunny_LowWind,centralized,10,18,0.985627043412003,0.971460668705087
Sunny_LowWind,centralized,10,19,0.985434364098942,0.971080885947086
Sunny_LowWind,centralized,10,20,0.986199139771406,0.97258874328586
Sunny_LowWind,centralized,10,21,0.987962120324521,0.976069151196123
Sunny_LowWind,centralized,10,22,0.993951752687804,0.987940086671158
Sunny_LowWind,centralized,10,23,1.00213397088686,1.00427249560547
Sunny_LowWind,centralized,10,24,1.00792416028265,1.01591111288148
Sunny_LowWind,centralized,11,1,1.01210972382877,1.02436609306875
Sunny_LowWind,centralized,11,2,0.990348547045245,0.980790244634628
Sunny_LowWind,centralized,11,3,0.970811218819356,0.942474422585524
Sunny_LowWind,centralized,11,4,0.967774993921597,0.936588438859948
Sunny_LowWind,centralized,11,5,0.965626493243479,0.932434524453699
Sunny_LowWind,centralized,11,6,1.00531468691628,1.01065761972957
Sunny_LowWind,centralized,11,7,0.99961036945377,0.999220890719503
Sunny_LowWind,centralized,11,8,0.991384113714369,0.982842460925224
