TypicalScenario,TypicalScenarioCN,DDREScenarioId,PVLabel,WindLabel,RepresentativeDays,TotalObjective_Yuan,AnnualObjective_Yuan,GridEnergy_MWh,AnnualGridEnergy_MWh,GridPeak_MW,GridPeakValleyDiff_MW,GasEnergy_MWhth,AnnualGasEnergy_MWhth,CarbonEmission_tCO2,AnnualCarbonEmission_tCO2,CarbonQuota_tCO2,AnnualCarbonQuota_tCO2,CarbonSurplusBeforeTrade_tCO2,AnnualCarbonSurplusBeforeTrade_tCO2,CarbonBuyMarket_tCO2,AnnualCarbonBuyMarket_tCO2,CarbonSellMarket_tCO2,AnnualCarbonSellMarket_tCO2,CarbonTradeAbs_tCO2,AnnualCarbonTradeAbs_tCO2,CarbonUnusedAllowance_tCO2,AnnualCarbonUnusedAllowance_tCO2,RenewableAvailable_MWh,RenewableUse_MWh,RenewableUseRate_percent,RenewableCurtailment_MWh,AnnualRenewableCurtailment_MWh,RenewableCurtailmentRate_percent,H2Shortage_kg,AnnualH2Shortage_kg,HeatDump_MWh,StorageCharge_MWh,StorageDischarge_MWh,StorageSOCSwing_MWh,AvgMinimumVoltage_pu,GridVoltageDeviation_pu
Sunny_LowWind,晴天少风,116,0,0,94,27518.4976274459,2586738.776979915,20.709337669713,1946.677740953022,6.95613867989898,6.9561386790973,70.3783771298446,6615.567450205392,45.9290313766276,4317.328949402994,41.7810707426669,3927.4206498106882,-4.14796063396065,-389.9082995923011,6.95012636174058,653.3118780036145,2.80216572778569,263.4035784118549,1.76709424471669,166.10685900336887,0,0,89.0482543001175,89.0482542883922,99.9999999868327,1.17252295928072e-08,1.1021715817238766e-06,1.31672761975658e-08,2.45997719919895e-08,2.312378567247013e-06,1.42042142661613e-08,12.9637804477337,11.6998118540804,3.99999786177491,0.96021532674362,0.0252945559174471
Sunny_LowWind,晴天少风,116,0,0,94,27523.4301792809,2587202.4368524044,20.4072510451306,1918.2815982422765,6.88854999267553,6.88854999247175,70.780326820419,6653.350721119386,45.7373520978527,4299.311097198154,41.713669192515,3921.08490409641,-4.02368290533776,-378.22619310174946,6.84679247601155,643.5984927450857,2.82114637754348,265.1877594890871,0.0825786862195598,7.762396504638621,0,0,89.0482543001175,89.0482542925283,99.9999999914775,7.58915435356e-09,7.1338050923464e-07,8.52251895694938e-09,6.83391345476331e-09,6.423878647477512e-07,3.50587650577161e-09,12.7211415990123,11.4808302931087,3.9999999664881,0.975153844513192,0.0232374030803402
Sunny_HighWind,晴天多风,178,0,2,50,25885.8715651339,1294293.578256695,11.0577040334635,552.885201673175,4.12268206729481,4.12268206692364,59.2223592037452,2961.11796018726,31.7701900780722,1588.50950390361,30.5215942212173,1526.079711060865,-1.24859585685491,-62.4297928427455,3.60533751789988,180.266875894994,2.35674166104895,117.83708305244751,2.07299057010474,103.64952850523701,0,0,142.869014259615,122.890769506771,86.0163907083866,19.9782447528439,998.912237642195,13.9836092916134,1.38028611484985e-08,6.90143057424925e-07,5.64730165077365,23.2611678164599,20.9932039543595,3.99999994073538,0.961888242119994,0.0246727626260634
Sunny_HighWind,晴天多风,178,0,2,50,25887.3089781072,1294365.44890536,11.0577056471019,552.885282355095,4.08049146056754,4.08049146056754,59.2223642123757,2961.1182106187853,31.7701934977101,1588.509674885505,30.5215972964423,1526.079864822115,-1.24859620126784,-62.429810063392,3.60533771920843,180.26688596042152,2.35674151794058,117.83707589702901,0.914717769161421,45.73588845807105,0,0,142.869014259615,122.89077004074,86.0163910821341,19.9782442188745,998.9122109437251,13.9836089178658,0.0,0.0,5.6473021343871,23.2611928046738,20.9932265062181,4.0,0.971104971818908,0.0234302242685291
Cloudy_MidWind,多云中风,137,1,1,72,32770.4213023647,2359470.3337702584,22.4171472188381,1614.0345997563431,6.97627480358922,6.97627479608815,86.7258576591481,6244.261751458664,53.2466639643699,3833.7598054346327,49.2273141390755,3544.366618013436,-4.01934982529438,-289.3931874211953,7.40336065206786,533.0419669488859,3.38401082706124,243.64877954840927,2.03703298436387,146.66637487419862,0,0,74.291597892814,74.1309435362392,99.7837516473847,0.160654356574772,11.567113673383584,0.216248352615271,1.75801278759122e-07,1.2657692070656784e-05,1.23786441168541e-07,12.0816247382848,10.9036663261367,3.88299819271336,0.958438497332056,0.0254471965401798
Cloudy_MidWind,多云中风,137,1,1,72,32778.1347622853,2360025.7028845414,21.9989673284175,1583.92564764606,6.85564861021557,6.85564861020425,87.2761154405863,6283.880311722213,52.9792580679155,3814.506580889916,49.1316713487425,3537.48033710946,-3.847586719173,-277.026243780456,7.2581697779035,522.588224009052,3.41060602716749,245.56363395605928,0.529337003461976,38.11226424926227,0,0,74.291597892814,74.1309397693436,99.7837465769653,0.16065812347038,11.567384889867359,0.216253423034693,7.39475573332465e-10,5.324224127993748e-08,3.43604478203474e-10,12.1415333700864,10.957733866503,3.88301545151966,0.973531864195419,0.0233261708283335
Rainy_LowWind,阴天少风,183,2,0,70,55591.8235352406,3891427.6474668416,46.1016723530476,3227.1170647133317,7.00030810652822,7.0003080987359,120.560168723607,8439.21181065249,90.153806347393,6310.76644431751,79.3078843732671,5551.551906128697,-10.8459219741259,-759.2145381888131,13.8552267466763,969.8658722673409,3.00930477257344,210.6513340801408,4.51353736293871,315.94761540570966,0,0,21.223752328795,21.223752299128,99.9999998602177,2.96670406658354e-08,2.076692846608478e-06,1.39782260018108e-07,1.32427441400562e-07,9.269920898039339e-06,6.7305888525064e-08,12.2614293734152,11.0659400095068,3.46999997214414,0.953889205213755,0.0262822489938819
Rainy_LowWind,阴天少风,183,2,0,70,55598.0380066261,3891862.6604638267,46.0855735794878,3225.990150564146,6.98990487331006,6.98990487328467,120.560167961865,8439.21175733055,90.1364194169141,6309.549359183987,79.2961641770767,5550.731492395369,-10.8402552398375,-758.817866788625,13.9259133438568,974.813934069976,3.07399991502876,215.1799940520132,3.1165212406719,218.156486847033,0,0,21.223752328795,21.2237523284955,99.9999999985887,2.99528868125554e-10,2.096702076878878e-08,1.41129081929199e-09,5.67405210957348e-10,3.971836476701436e-08,2.7524160728376005e-10,12.4169395918129,11.2062879816107,3.46999999983231,0.965984940133543,0.0250688097957738
Rainy_HighWind,阴天多风,40,2,2,79,37271.7818161836,2944470.763478504,27.5029631576562,2172.7340894548397,7.1134,7.1134,93.8991275742925,7418.031078369108,61.1409830608441,4830.137661806684,55.6516444094258,4396.479908344638,-5.48933865141829,-433.6577534620449,8.35748583868055,660.2413812557634,2.86814718726228,226.58362779372013,7.88597107658711,622.9917150503817,0,0,64.4433850807762,64.4433850807762,100.0,0.0,0.0,0.0,0.0,0.0,8.881784197001249e-16,12.5977019717271,11.3694260294841,3.92723605667311,0.959122822919616,0.0258465221719668
Rainy_HighWind,阴天多风,40,2,2,79,37272.1882015447,2944502.867922031,27.4180059808547,2166.0224724875216,7.0733676691999,7.07336766865997,94.073835161871,7431.832977787809,61.1077220706144,4827.510043578538,55.6560873801924,4396.8309030352,-5.45163469042203,-430.6791405433404,8.32921086590842,658.0076584067652,2.87750922434048,227.3232287228979,2.28928881924125,180.85381672005875,0,0,64.4433850807762,64.4433850762249,99.9999999929375,4.55130281379335e-09,3.5955292228967465e-07,7.06248253112176e-09,2.49194024472927e-08,1.9686327933361234e-06,1.34414214511023e-08,13.0477005948521,11.775549786854,3.92723565636381,0.970865093957945,0.0238032992101602
