Scenario,Method,Community,TimeSlot,Data_Pload,Data_Hload,Data_H2load,Data_Ppv,Data_Pwind,Data_PcompFixed,Pgrid,Pch,Pdis,SOC_e,PpvUse,PpvCurt,PwindUse,PwindCurt,Pchp,Hchp,Fgas,Peb,Heb,Pelec,H2prod,H2cons_fc,Pfc,Pcomp,Hch,Hdis,SOC_th,H2ch,H2dis,SOC_h2,H2short,Hdump,Qpv,Qes,QinjLocal,PinjLocal,V,CarbonEmission_kg,CarbonQuota_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeWithCommunities_kg,CarbonUnusedAllowance_kg,Data_Emax,Data_SOC0_e,Data_EthMax,Data_SOC0_th,Data_EH2Max,Data_SOC0_h2
S1_Normal_NoStorage_NoCarbon,admm,1,1,0.22,0.625,1.4,0,0,0,0,0,0,0,0,0,0,0,0.402983660544649,0.518121849271691,1.15138188727042,0.110183660544649,0.106878150728309,0.07,1.4,0,0,0.0028,0,0,0,0,0,0,0,1.11022302462516e-16,0,0,0.044762332897399,0,0,385.487008081672,436.885275825895,0,0,0,4.54747350886464e-13,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,2,0.2,0.61,1.4,0,0,0,0.287739617083947,0,0,0,0,0,0,0,0.264,0.339428571428571,0.754285714285714,0.278939617083947,0.270571428571429,0.07,1.4,0,0,0.0028,0,0,0,0,0,0,0,0,0,0,0.0407011759165661,0.287739617083947,0,563.29649479352,495.683844025685,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,3,0.28,0.6,2.8,0,0,0,0.430230338733433,0,0,0,0,0,0,0,0.263999999999999,0.339428571428571,0.754285714285712,0.268630338733432,0.260571428571429,0.14,2.8,0,0,0.0056,0,0,0,0,0,0,0,0,0,0,0.0570354056590956,0.430230338733433,0,717.186474174964,599.41708938651,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,4,0.27,0.59,2.8,0,0,0,0.409921060382917,0,0,0,0,0,0,0,0.263999999999999,0.339428571428571,0.754285714285712,0.258321060382917,0.250571428571429,0.14,2.8,0,0,0.0056,0,0,0,0,0,0,0,0,0.108296747492096,0,-0.0532917091209146,0.409921060382917,0,695.252453556407,584.631934747334,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,5,0.29,0.61,3.15,0,0,0,0.468739617083948,0,0,0,0,0,0,0,0.263999999999999,0.339428571428571,0.754285714285712,0.278939617083948,0.270571428571429,0.1575,3.15,0,0,0.0063,0,0,0,0,0,0,0,0,0.219497254779618,0,-0.160408643195757,0.468739617083948,0,758.776494793521,627.451844025685,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,6,0.38,0.69,3.5,0,0,0,0.525688404937226,0,0,0,0,0,0,0,0.321504479447513,0.413362902146803,0.918584226992895,0.285192884384739,0.276637097853197,0.175,3.5,0,0,0.007,0,0,0,0,0,0,0,0,0.375718220658225,0,-0.298331929617303,0.525688404937226,0,875.288948777804,731.252693099316,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,7,0.4,0.78,4.2,0,0,0,0.0117333333333334,0,0,0,0,0,0,0,0.606666666666667,0.78,1.73333333333333,0,0,0.21,4.2,0,0,0.0084,0,0,0,0,0,0,0,1.11022302462516e-16,0.539956363379995,0,-0.458464099126394,0.0117333333333334,0,592.998552,666.245292266667,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,8,0.42,0.86,4.9,0,0,0,0.0059111111111112,0,0,0,0,0,0,0,0.668888888888889,0.86,1.91111111111111,0,0,0.245,4.9,0,0,0.0098,0,0,0,0,0,0,0,0,0.42220107950705,0,-0.336602842040769,0.0059111111111112,0,646.231224,729.463476088889,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,9,0.5,0.83,5.6,0.295662387039579,0,0,0,0,0,0,0.295662387039579,0,0,0,0.581044989993747,0.747057844277674,1.66012854283928,0.0855073770333255,0.0829421557223258,0.28,5.6,0,0,0.0112,0,0,0,0,0,0,0,0,0.00311129160428794,0,0.0987764387127141,0,0,555.817311428482,629.926286285612,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,10,0.54,0.75,6.3,0.598635786495834,0,0,0,0,0,0,0.598635786495834,0,0,0,0.448148638992609,0.576191107276211,1.28042468283602,0.179184425488442,0.173808892723789,0.315,6.3,0,0,0.0126,0,0,0,0,0,0,0,0,0.208471448469194,0,-0.0984165717268315,0,0,428.691023818802,485.849826994643,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,11,0.6,0.68,7,0.950886295761041,0,0,0,0,0,0,0.950886295761041,0,0,0,0.307095760087557,0.394837405826859,0.877416457393021,0.293982055848598,0.285162594173141,0.35,7,0,0,0.014,0,0,0,0,0,0,0,0,0.319141372504178,0,-0.196858176123776,0,0,293.762346569392,332.930659445311,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,12,0.58,0.64,7,1.58618670324544,0,0,0.0176071111875454,0,0,0,1.58618670324544,0,0,0,0,0,0,0.65979381443299,0.64,0.35,7,0,0,0.014,0,0,0,0,0,0,0,0,0.0274514948165009,0,0.0907705283512215,0.0176071111875454,0,19.015680082549,12.8179769445327,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,13,0.56,0.61,7,2.42374339995963,0,0,0,0,0,0,2.42374339995963,0,0,0,0,0,0,1.15974339995963,1.12495109796084,0.85,17,10,0.18,0.034,0,0,0,0,0,0,0,0.514951097960838,0.0295961824403223,0,0.08520466751472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,14,0.55,0.6,7,2.64919256884466,0,0,0,0,0,0,2.64919256884466,0,0,0,0,0,0,1.29319256884466,1.25439679177932,1,20,13,0.234,0.04,0,0,0,0,0,0,0,0.654396791779322,0.0262388935843595,0,0.0867233697643428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1_Normal_NoStorage_NoCarbon,admm,1,15,0.56,0.61,6.65,3.02013991224121,0,0,0,0,0,0,3.02013991224121,0,0,0,0,0,0,1.66043991224121,1.61062671487397,1,20,13.35,0.2403,0.04,0,0,0,0,0,0,0,1.00062671487397,0.0173879086188942,0,0.0976049413361482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
