Scenario,Method,Community,TimeSlot,Data_Pload,Data_Hload,Data_H2load,Data_Ppv,Data_Pwind,Data_PcompFixed,Pgrid,Pch,Pdis,SOC_e,PpvUse,PpvCurt,PwindUse,PwindCurt,Pchp,Hchp,Fgas,Peb,Heb,Pelec,H2prod,H2cons_fc,Pfc,Pcomp,Hch,Hdis,SOC_th,H2ch,H2dis,SOC_h2,H2short,Hdump,Qpv,Qes,QinjLocal,PinjLocal,V,CarbonEmission_kg,CarbonQuota_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeWithCommunities_kg,CarbonUnusedAllowance_kg,Data_Emax,Data_SOC0_e,Data_EthMax,Data_SOC0_th,Data_EH2Max,Data_SOC0_h2
S2_Normal_WithStorage_NoCarbon,centralized,1,1,0.22,0.625,1.4,0,0,0,0,0,0.838556701030928,2.86730873575692,0,0,0,0,0,0,0,0.618556701030928,0.6,0,0,0,0,0,0,0.025,4.97368421052632,0,1.4,18.6,0,0,0,0,0,0,0,0,436.885275825895,0,0,0,-1.59161572810262e-12,7.5,3.75,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,2,0.2,0.61,1.4,0,0,0,0,0,0.818556701030928,2.00567010309278,0,0,0,0,0,0,0,0.618556701030928,0.6,0,0,0,0,0,0,0.01,4.96315789473684,0,1.4,17.2,0,0,0,0,0,0,0,0,495.683844025685,0,0,0,0,7.5,3.75,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,3,0.28,0.6,2.8,0,0,0,1.37329240476011,0,0,2.00567010309278,0,0,0,0,0,0,0,0.618556701030928,0.6,0.456476638201136,9.12953276402272,0,0,0.0182590655280454,0,0,4.96315789473684,6.32953276402272,0,23.5295327640227,0,0,0.318668006225821,0.318668006225821,0,0,0,1483.15579714092,599.41708938651,0,0,0,0,7.5,3.75,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,4,0.27,0.59,2.8,0,0,0,2.45747277262612,1.08387108951549,0,3.0353476381325,0,0,0,0,0,0,0,0.628865979381443,0.61,0.456476638201136,9.12953276402272,0,0,0.0182590655280454,0.0200000000000001,0,4.98215789473684,6.32953276402272,0,29.8590655280454,0,0,0.906603958786312,0.906603958786312,0,0,0,2654.07059443621,584.631934747334,0,0,0,0,7.5,3.75,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,5,0.29,0.61,3.15,0,0,0,2.23822152394791,0.844619840837283,0,3.83773648692792,0,0,0,0,0,0,0,0.628865979381443,0.61,0.456476638201136,9.12953276402272,0,0,0.0182590655280454,0,0,4.98215789473684,5.97953276402272,0,35.8385982920682,0,0,0.906603958786312,0.906603958786312,0,0,0,2417.27924586374,627.451844025685,0,0,0,0,7.5,3.75,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,6,0.38,0.69,3.5,0,0,0,0,0,0.309979381443299,3.51144240119813,0,0,0,0,0.336,0.432,0.96,0.265979381443299,0.258,0,0,0,0,0,0,0,4.98215789473684,0,3.5,32.3385982920682,0,0,0,0,0,0,0,321.4116288,731.252693099316,0,0,0,0,7.5,3.75,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,7,0.4,0.78,4.2,0,0,0,0,0,0.312807549354356,3.1821712966146,0,0,0,0,0.353171832088943,0.454078069828642,1.00906237739698,0.265979381443299,0.258,0,0,0,0,0,0,0.0679219301713584,4.91066112613541,0,4.2,28.1385982920682,0,5.55111512312578e-17,0,0,0,0,0,337.837898208296,666.245292266667,0,0,0,0,7.5,3.75,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,8,0.42,0.86,4.9,0,0,0,0,0,0.432738369206972,2.72665722376516,0,0,0,0,0.353171832088943,0.454078069828642,1.00906237739698,0.365910201295915,0.354932895257038,0,0,0,0,0,0,0.0509890349143207,4.85698845780455,0,4.9,23.2385982920682,0,-5.55111512312578e-17,0,0,0,0,0,337.837898208296,729.463476088889,0,0,0,0,7.5,3.75,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,9,0.5,0.83,5.6,0.295662387039579,0,0,0,0,0.217075982167393,2.49815618990474,0.295662387039579,0,0,0,0.353171832088943,0.454078069828642,1.00906237739698,0.365910201295915,0.354932895257038,0,0,0,0,0,0,0.0209890349143206,4.8348947368421,0,5.6,17.6385982920682,0,-5.55111512312578e-17,0,0,0,0,0,337.837898208296,629.926286285612,0,0,0,0,7.5,3.75,10,5,40,20
S2_Normal_WithStorage_NoCarbon,centralized,1,10,0.54,0.75,6.3,0.598635786495834,0,0,0,0,0,2.49815618990474,0.598635786495834,0,0,0,0.307274414800082,0.395067104742962,0.877926899428805,0.365910201295915,0.354932895257038,0,0,0,0,0,0,0,4.8348947368421,0,6.3,11.3385982920682,0,0,0,0,0,0,0,293.933244492444,485.849826994643,0,0,0,0,7.5,3.75,10,5,40,20
