Scenario,Method,Community,TimeSlot,Data_Pload,Data_Hload,Data_H2load,Data_Ppv,Data_Pwind,Data_PcompFixed,Pgrid,Pch,Pdis,SOC_e,PpvUse,PpvCurt,PwindUse,PwindCurt,Pchp,Hchp,Fgas,Peb,Heb,Pelec,H2prod,H2cons_fc,Pfc,Pcomp,Hch,Hdis,SOC_th,H2ch,H2dis,SOC_h2,H2short,Hdump,Qpv,Qes,QinjLocal,PinjLocal,V,CarbonEmission_kg,CarbonQuota_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeWithCommunities_kg,CarbonUnusedAllowance_kg,Data_Emax,Data_SOC0_e,Data_EthMax,Data_SOC0_th,Data_EH2Max,Data_SOC0_h2
S3_Normal_WithStorage_Carbon,centralized,1,1,0.22,0.625,1.4,0,0,0,0,0,0.838556701030928,2.86730873575692,0,0,0,0,0,0,0,0.618556701030928,0.6,0,0,0,0,0,0,0.025,4.97368421052632,0,1.4,18.6,0,0,0,0,0,0,0,0,436.885275825895,0,0,8948.41969548475,-6.13908923696727e-11,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,2,0.2,0.61,1.4,0,0,0,0,0,0.818556701030928,2.00567010309278,0,0,0,0,0,0,0,0.618556701030928,0.6,0,0,0,0,0,0,0.01,4.96315789473684,0,1.4,17.2,0,0,0,0,0,0,0,0,495.683844025685,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,3,0.28,0.6,2.8,0,0,0,1.45842783274125,0.0851354279811389,0,2.08654875967487,0,0,0,0,0,0,0,0.618556701030928,0.6,0.456476638201136,9.12953276402272,0,0,0.0182590655280454,0,0,4.96315789473684,6.32953276402272,0,23.5295327640227,0,0,0.263451436882444,0.263451436882444,0,0,0,1575.10205936055,599.41708938651,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,4,0.27,0.59,2.8,0,0,0,2.90959450226655,1.54630209750644,0,3.55553575230591,0,0,0,0,0,0,0,0.618556701030928,0.6,0.456476638201136,9.12953276402272,0,0,0.0182590655280454,0.01,0,4.97265789473684,6.32953276402272,0,29.8590655280454,0,0,0.981141204475076,0.981141204475076,0,0,0,3142.36206244787,584.631934747334,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,5,0.29,0.61,3.15,0,0,0,2.69911575042718,1.30551406731656,0,4.79577411625664,0,0,0,0,0,0,0,0.628865979381443,0.61,0.456476638201136,9.12953276402272,0,0,0.0182590655280454,0,0,4.97265789473684,5.97953276402272,0,35.8385982920682,0,0,0.981141204475076,0.981141204475076,0,0,0,2915.04501046136,627.451844025685,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,6,0.38,0.69,3.5,0,0,0,0,0,0.854778313290043,3.89600747068817,0,0,0,0,0,0,0,0.474778313290043,0.460534963891342,0,0,0,0,0,0,0.229465036108658,4.73111575146457,0,3.5,32.3385982920682,0,0,0,0,0,0,0,0,731.252693099316,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,7,0.4,0.78,4.2,0,0,0,0,0,0.874778313290043,2.97518819354076,0,0,0,0,0,0,0,0.474778313290043,0.460534963891342,0,0,0,0,0,0,0.319465036108658,4.39483676608704,0,4.2,28.1385982920682,0,0,0,0,0,0,0,0,666.245292266667,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,8,0.42,0.86,4.9,0,0,0,0,0,0.894778313290043,2.0333162848144,0,0,0,0,0,0,0,0.474778313290043,0.460534963891342,0,0,0,0,0,0,0.399465036108658,3.97434725439371,0,4.9,23.2385982920682,0,0,0,0,0,0,0,0,729.463476088889,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,9,0.5,0.83,5.6,0.295662387039579,0,0,0,0,0.679115926250464,1.31845741507706,0.295662387039579,0,0,0,0,0,0,0.474778313290043,0.460534963891342,0,0,0,0,0,0,0.369465036108658,3.58543669006881,0,5.6,17.6385982920682,0,0,0,0,0,0,0,0,629.926286285612,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,10,0.54,0.75,6.3,0.598635786495834,0,0,0,0,0.41614252679421,0.880412650030529,0.598635786495834,0,0,0,0,0,0,0.474778313290043,0.460534963891342,0,0,0,0,0,0,0.289465036108658,3.28073665205969,0,6.3,11.3385982920682,0,5.55111512312578e-17,0,0,0,0,0,0,485.849826994643,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,11,0.6,0.68,7,0.950886295761041,0,0,0,0,0.123892017529002,0.75,0.950886295761041,0,0,0,0,0,0,0.474778313290043,0.460534963891342,0,0,0,0,0,0,0.219465036108658,3.0497208245769,0,7,4.33859829206818,0,0,0.00755588501978893,0.00755588501978893,0,0,0,0,332.930659445311,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,12,0.58,0.64,7,1.58618670324544,0,0,0,0,0,0.75,1.58618670324544,0,0,0,0,0,0,0.65979381443299,0.64,0.333070085396591,6.66140170793182,0,0,0.0133228034158636,0,0,3.0497208245769,0,0.338598292068178,4,0,0,0.0120425162020084,0.0120425162020084,0,0,0,0,12.8179769445327,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,13,0.56,0.61,7,2.42374339995963,0,0,0,0.362177638531788,0,1.0940687566052,2.42374339995963,0,0,0,0,0,0,0.919599094761173,0.892011121918338,0.559583333333333,11.1916666666667,0,0,0.0223833333333333,0.282011121918338,0,3.31763139039932,4.19166666666666,0,8.19166666666666,0,0,0.014763443229624,0.014763443229624,0,0,0,0,0,0,8172.22227270589,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,14,0.55,0.6,7,2.64919256884466,0,0,0,0.597626807416823,0,1.66181422365118,2.64919256884466,0,0,0,0,0,0,0.919599094761173,0.892011121918338,0.559583333333333,11.1916666666667,0,0,0.0223833333333333,0.292011121918338,0,3.59504195622174,4.19166666666666,0,12.3833333333333,0,0,0.0130707220290897,0.0130707220290897,0,0,0,0,0,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,15,0.56,0.61,6.65,3.02013991224121,0,0,0,0.95857415081337,0,2.57245966692388,3.02013991224121,0,0,0,0,0,0,0.919599094761173,0.892011121918338,0.559583333333333,11.1916666666667,0,0,0.0223833333333333,0.282011121918338,0,3.86295252204416,4.54166666666666,0,16.925,0,0,0.00864329173411261,0.00864329173411261,0,0,0,0,0,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,16,0.6,0.64,6.65,2.6680654368279,0,0,0,0.566499675400064,0,3.11063435855394,2.6680654368279,0,0,0,0,0,0,0.919599094761173,0.892011121918338,0.559583333333333,11.1916666666667,0,0,0.0223833333333333,0.252011121918338,0,4.10236308786658,4.54166666666666,0,21.4666666666667,0,0,0.00755331185145544,0.00755331185145544,0,0,0,0,0,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,17,0.68,0.7,6.3,2.41792422347496,0,0,0,0.50035846204712,0,3.58597489749871,2.41792422347496,0,0,0,0.264,0.339428571428572,0.754285714285715,0.919599094761173,0.892011121918338,0.559583333333333,11.1916666666667,0,0,0.0223833333333333,0.531439693346909,0,4.60723079654615,4.89166666666666,0,26.3583333333333,0,0,0.0117961528367182,0.0117961528367182,0,0,0,252.537708342857,0,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,18,0.78,0.79,5.95,1.49965912089712,0,0,0,0,0,3.58597489749871,1.49965912089712,0,0,0,0.291011287889501,0.374157370143644,0.831460822541432,0.428703742119954,0.415842629856356,0.559583333333333,11.1916666666667,0,0,0.0223833333333333,0,0,4.60723079654615,5.24166666666666,0,31.6,0,0,0.0150400299980558,0.0150400299980558,0,0,0,278.376226308781,286.209402788572,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,19,0.86,0.87,5.6,0.824866492907301,0,0,0,0,0,3.58597489749871,0.824866492907301,0,0,0,0.624405098996797,0.802806555853025,1.78401456856228,0.0692715919040981,0.0671934441469751,0.5,10,0,0,0.02,0,0,4.60723079654615,4.4,0,36,0,0,0.00936789417139767,0.00936789417139767,0,0,0,597.29482112972,570.268713750067,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,20,0.92,0.93,4.9,0.0617679036050314,0,0,0,0,0,3.58597489749871,0.0617679036050314,0,0,0,0.858232096394969,1.10344126679353,2.45209170398562,0,0,0,0,0,0,0,0.173441266793531,0,4.772,0,4.9,31.1,0,0,0,0,0,0,0,820.969571401028,1067.88555310887,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,21,0.78,0.95,4.2,0,0,0,0,0,0,3.58597489749871,0,0,0,0,0.78,1.00285714285714,2.22857142857143,0,0,0,0,0,0,0,0.0528571428571429,0,4.82221428571429,0,4.2,26.9,0,0,0,0,0,0,0,746.134138285714,989.973132888889,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,22,0.76,0.89,3.5,0,0,0,0,0,0,3.58597489749871,0,0,0,0,0.76,0.977142857142857,2.17142857142857,0,0,0,0,0,0,0,0.0871428571428572,0,4.905,0,3.5,23.4,0,0,0,0,0,0,0,727.002493714286,932.294695022222,0,0,0,0,7.5,3.75,10,5,40,20
S3_Normal_WithStorage_Carbon,centralized,1,23,0.42,0.79,3.15,0,0,0,0,0.0263290013164705,0,3.61098744874935,0,0,0,0,0.570661869470477,0.733708117890614,1.63046248420136,0.0580328681540067,0.0562918821093865,0.0637499999999999,1.275,0,0,0.00255,0,0,4.905,0,1.875,21.525,0,0,0,0,0,0,0,545.885002858807,651.849233906554,0,0,0,0,7.5,3.75,10,5,40,20
