Scenario,Method,Community,TimeSlot,Data_Pload,Data_Hload,Data_H2load,Data_Ppv,Data_Pwind,Data_PcompFixed,Pgrid,Pch,Pdis,SOC_e,PpvUse,PpvCurt,PwindUse,PwindCurt,Pchp,Hchp,Fgas,Peb,Heb,Pelec,H2prod,H2cons_fc,Pfc,Pcomp,Hch,Hdis,SOC_th,H2ch,H2dis,SOC_h2,H2short,Hdump,Qpv,Qes,QinjLocal,PinjLocal,V,CarbonEmission_kg,CarbonQuota_kg,CarbonBuyMarket_kg,CarbonSellMarket_kg,CarbonTradeWithCommunities_kg,CarbonUnusedAllowance_kg,Data_Emax,Data_SOC0_e,Data_EthMax,Data_SOC0_th,Data_EH2Max,Data_SOC0_h2
Rainy_LowWind,centralized,1,1,0.231,0.65625,1.4,0,0,0,0,0,0.880484536082474,2.82317417254476,0,0,0,0,0,0,0,0.649484536082474,0.63,0,0,0,0,0,0,0.02625,4.97236842105263,0,1.4,18.6,0,0,0,0,0,0,0,0,457.03258980345,0,0,4656.98510813001,-7.32143234927207e-11,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,2,0.21,0.6405,1.4,0,0,0,0,0,0.859484536082474,1.91845360824742,0,0,0,0,0,0,0,0.649484536082474,0.63,0,0,0,0,0,0,0.0105,4.96131578947368,0,1.4,17.2,0,1.11022302462516e-16,0,0,0,0,0,0,525.854565675169,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,3,0.294,0.63,2.8,0,0,0,1.42101786941581,0,0,1.91845360824742,0,0,0,0,0,0,0,0.649484536082474,0.63,0.459166666666667,9.18333333333333,0,0,0.0183666666666667,0,0,4.96131578947368,6.38333333333333,0,23.5833333333333,0,0,0.42562436948097,0.42562436948097,0,0,0,1534.69929896907,632.124824083679,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,4,0.2835,0.6195,2.8,0,0,0,1.95644016294755,0.545922293531739,0,2.43707978710258,0,0,0,0,0,0,0,0.649484536082474,0.63,0.459166666666667,9.18333333333333,0,0,0.0183666666666667,0.0105000000000001,0,4.97129078947368,6.38333333333333,0,29.9666666666667,0,0,0.950853756344624,0.950853756344624,0,0,0,2112.95537598335,616.600411712545,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,5,0.3045,0.6405,3.15,0,0,0,1.62150504226296,0.17916243057911,0,2.60728409615273,0,0,0,0,0,0,0,0.660309278350515,0.6405,0.459166666666667,9.18333333333333,0,0,0.0183666666666667,0,0,4.97129078947368,6.03333333333333,0,36,0,0,0.95085375634462,0.95085375634462,0,0,0,1751.225445644,660.898565675169,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,6,0.399,0.7245,3.5,0,0,0,0,0,0.294970360824742,2.29678897949511,0,0,0,0,0.336,0.432,0.96,0.231970360824742,0.225011249999999,0,0,0,0,0,0,0.0674887500000004,4.90025,0,3.5,32.5,0,0,0,0,0,0,0,321.4116288,734.316612862196,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,7,0.42,0.819,4.2,0,0,0,0,0,0,2.29678897949511,0,0,0,0,0.543685877137429,0.699024699176694,1.55338822039265,0.123685877137429,0.119975300823306,0,0,0,0,0,0,0,4.90025,0,4.2,28.3,0,0,0,0,0,0,0,520.080247994934,691.60779688,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,8,0.441,0.903,4.9,0,0,0,0,0,0,2.29678897949511,0,0,0,0,0.589955034832172,0.758513616212793,1.68558581380621,0.148955034832172,0.144486383787207,0,0,0,0,0,0,0,4.90025,0,4.9,23.4,0,0,0,0,0,0,0,564.340501976694,758.372389202006,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,9,0.525,0.8715,5.6,0.266096148335621,0,0,0,0,0,2.29678897949511,0.266096148335621,0,0,0,0.521030120603978,0.669895869347972,1.48865748743994,0.207839309950544,0.201604130652028,0.0521989990279373,1.04397998055875,0,0,0.00208795996111749,0,0,4.90025,0,4.55602001944125,18.8439799805587,0,0,0,0,0,0,0,498.408153920194,661.526617727031,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,10,0.567,0.7875,6.3,0.53877220784625,0,0,0,0,0,2.29678897949511,0.53877220784625,0,0,0,0.384596273607324,0.494480923209417,1.09884649602093,0.302081522464519,0.293019076790584,0.0521989990279373,1.04397998055875,0,0,0.00208795996111749,0,0,4.90025,0,5.25602001944125,13.5879599611175,0,0,0.0114670091828438,0.0114670091828438,0,0,0,367.897960507561,516.460094819798,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,11,0.63,0.714,7,0.855797666184937,0,0,0,0,0,2.29678897949511,0.855797666184937,0,0,0,0.264,0.339428571428571,0.754285714285714,0.386156111929308,0.374571428571429,0.0996553406304128,1.99310681260826,0,0,0.00398621362521651,0,0,4.90025,0,5.00689318739174,8.58106677372575,0,0,0.0229737838013719,0.0229737838013719,0,0,0,252.537708342857,363.257365360954,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,12,0.609,0.672,7,1.4275680329209,0,0,0,0,0,2.29678897949511,1.4275680329209,0,0,0,0,0,0,0.692783505154639,0.672,0.120946661313712,2.41893322627425,0,0,0.0048378664525485,0,0,4.90025,0,4.58106677372575,4,0,0,0.0275744114389186,0.0275744114389186,0,0,0,0,57.9464717898939,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,13,0.588,0.6405,7,2.18136905996366,0,0,0,0.254801027042764,0,2.53884995518573,2.18136905996366,0,0,0,0,0,0,0.692783505154639,0.672,0.620946661313712,12.4189332262743,0,0,0.0248378664525485,0.0315000000000001,0,4.930175,5.41893322627425,0,9.41893322627425,0,0,0.0304978878494665,0.0304978878494665,0,0,0,0,0,0,4646.01518816899,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,14,0.5775,0.63,7,2.3842733119602,0,0,0,0.422635938747122,0,2.9403540969955,2.3842733119602,0,0,0,0,0,0,0.692783505154639,0.672,0.664763334671572,13.2952666934314,0,0,0.0265905333868629,0.042,0,4.970075,6.29526669343144,0,15.7141999197057,0,0,0.0287244361989559,0.0287244361989559,0,0,0,0,0,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,15,0.588,0.6405,6.65,2.71812592101709,0,0,0,0.745988547804014,0,3.64904321740931,2.71812592101709,0,0,0,0,0,0,0.692783505154639,0.672,0.664763334671572,13.2952666934314,0,0,0.0265905333868629,0.0315000000000001,0,5,6.64526669343144,0,22.3594666131371,0,0,0.0240756343892299,0.0240756343892299,0,0,0,0,0,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,16,0.63,0.672,6.65,2.40125889314511,0,0,0,0.387121519932039,0,4.01680866134475,2.40125889314511,0,0,0,0,0,0,0.692783505154639,0.672,0.664763334671572,13.2952666934314,0,0,0.0265905333868629,0,0,5,6.64526669343144,0,29.0047333065686,0,0,0.0229311555124405,0.0229311555124405,0,0,0,0,0,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,17,0.714,0.735,6.3,2.17613180112746,0,0,0,0.0130459743061418,0,4.02920233693558,2.17613180112746,0,0,0,0,0,0,0.757731958762887,0.735,0.664763334671572,13.2952666934314,0,0,0.0265905333868629,0,0,5,6.99526669343144,0,36,0,0,0.0273861385469662,0.0273861385469662,0,0,0,0,0,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,18,0.819,0.8295,5.95,1.34969320880741,0,0,0,0,0,4.02920233693558,1.34969320880741,0,0,0,0.268659285129684,0.345419080881022,0.767597957513382,0.499052493937091,0.484080919118978,0.28875,5.775,0,0,0.01155,0,0,5,0,0.174999999999997,35.825,0,0,0.0307577207691971,0.0307577207691971,0,0,0,256.99469769576,286.209402788571,0,0,0,0,7.5,3.75,10,5,40,20
Rainy_LowWind,centralized,1,19,0.903,0.9135,5.6,0.742379843616571,0,0,0,0,0,4.02920233693558,0.742379843616571,0,0,0,0.603175925385908,0.775511904067596,1.72335978681688,0.142255769002479,0.137988095932404,0.28875,5.775,0,0,0.01155,0,0,5,0.175,0,36,0,0,0.0248093820051235,0.0248093820051235,0,0,0,576.987370926285,611.221782071334,0,0,0,0,7.5,3.75,10,5,40,20
